DOEID,Census Region,Census Division,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009","Natural gas usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Natural gas usage for clothes dryers, in thousand Btu, 2015","Natural gas usage for swimming pool heaters, in thousand Btu, 2015","Natural gas usage for hot tub heaters, in thousand Btu, 2015","Natural gas usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","Electricity usage for space heating, main and secondary, in thousand Btu, 2015","Electricity usage for air conditioning (central systems and individual units), in thousand Btu, 2015","Electricity usage for water heating, main and secondary, in thousand Btu, 2015","Electricity usage for all refrigerators, in thousand Btu, 2015","Electricity usage for freezers, in thousand Btu, 2015","Electricity usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Electricity usage for microwaves, in thousand Btu, 2015","Electricity usage for clothes washers, in thousand Btu, 2015","Electricity usage for clothes dryers, in thousand Btu, 2015","Electricity usage for dishwashers, in thousand Btu, 2015","Electricity usage for indoor and outdoor lighting, in thousand Btu, 2015","Electricity usage for all televisions and related peripherals, in thousand Btu, 2015","Electricity usage for air handlers and boiler pumps used for heating, in thousand Btu, 2015","Electricity usage for air handlers used for cooling, in thousand Btu, 2015","Electricity usage for evaporative coolers, in thousand Btu, 2015","Electricity usage for ceiling fans, in thousand Btu, 2015","Electricity usage for dehumidifiers, in thousand Btu, 2015","Electricity usage for humidifiers, in thousand Btu, 2015","Electricity usage for swimming pool pumps, in thousand Btu, 2015","Electricity usage for hot tub pumps, in thousand Btu, 2015","Electricity usage for hot tub heaters, in thousand Btu, 2015","Electricity usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015"
10001,4,10,12085.16227,2031,1768,5270.742,17983.771,299.946,30990.8,17535.625,12469.727,985.448,0,0,0,0,0,6795.016,0,1443.108,928.253,0,342.236,85.063,1727.078,631.643,1397.731,893.129,454.143,347.526,0,1189.388,0,0,0,0,0,1749.457
10002,3,7,14410.19627,1915,2795,12173,41534,0,0,0,0,0,0,0,0,0,11570.02,7587.322,7129.985,2568.243,921.81,1006.82,675.033,0,0,0,3785.945,1519.169,0,0,0,1428.57,0,152.503,0,0,0,3188.852
10003,3,6,23325.95385,2263,2235,19655.394,67064.204,294.42,29483.956,18444.442,11039.514,0,0,0,0,0,12460.003,23328.992,0,4998.729,0,4650.068,497.226,89.824,1819.709,764.525,3130.138,6339.003,684.194,900.897,0,3847.765,0,0,0,0,0,3553.13
10004,2,4,12165.33319,3754,1374,9852.535,33616.851,0,0,0,0,0,0,0,0,0,4818.534,12061.243,0,2183.613,1650.001,384.6,0,132.916,1702.112,0,1653.232,1638.915,1704.342,670.313,0,3111.853,0,0,0,0,0,1905.175
10005,1,2,16717.67092,5401,993,3115.655,10630.615,252.37,25951.531,17331.011,5339.841,2265.816,0,0,0,1014.863,0,1135.176,0,1062.732,0,0,194.038,96.856,1002.376,0,2060.978,1224.799,356.691,54.517,0,337.87,532.87,0,0,0,0,2571.711
10006,1,1,26058.89431,7597,408,2777,9475,0,0,0,0,0,0,0,0,0,0,536.377,0,775.428,0,1084.156,105.424,0,0,0,898.912,2309.173,222.49,0,0,0,0,0,0,0,0,3543.161
10007,3,5,45952.75539,1579,2582,2397.758,8181.149,432.74,44480.571,10345.797,13731.855,0,0,0,0,20402.92,0,3189.596,0,1601.216,0,401.253,330.348,53.989,0,0,588.322,901.652,83.981,153.961,0,87.293,0,0,0,0,0,789.539
10008,2,3,15280.98355,6560,673,13890.899,47395.746,824.741,83739.342,17341.172,66398.17,0,0,0,0,0,0,2308.731,0,3523.125,1664.029,1800.581,1868.585,247.227,2520.619,455.701,735.618,2435.429,1588.829,0,0,2152.904,8788.649,0,0,0,0,17305.718
10009,1,2,14034.71499,5301,1083,10422.424,35561.312,0,0,0,0,0,0,0,0,0,0,2746.309,11380.048,4235.489,894.478,787.067,401.328,52.191,1070.033,513.39,3259.791,5291.091,770.955,140.105,0,971.85,0,0,0,0,0,3047.186
10010,3,7,43359.15609,1400,3390,18505.802,63141.798,0,0,0,0,0,0,0,0,0,8769.67,10585.792,10797.754,2559.876,0,1036.644,496.941,807.483,10224.429,1830.152,7984.893,3921.45,129.248,512.373,0,803.66,0,0,0,0,0,2681.434
10011,1,1,12617.29519,6400,771,2469.205,8424.926,0,0,0,0,0,0,0,0,0,0,269.094,1305.911,1464.45,0,571.391,243.434,67.08,447.497,0,787.006,1405.637,128.161,0,0,38.184,0,0,0,0,0,1697.083
10012,2,4,46656.39005,4007,1706,11065.529,37755.586,78.531,7710.993,6349.272,0,945.827,415.894,0,0,0,29854.88,0,0,1843.812,0,0,135.399,54.513,0,0,1914.914,671.12,405.59,0,0,105.995,0,0,0,0,0,2769.363
10013,3,6,19773.98254,1327,2935,14766.758,50384.179,7.634,777.916,0,777.916,0,0,0,0,0,13041.975,10480.076,4539.776,6096.702,0,1900.735,854.548,253.386,2837.993,229.03,3468.741,2041.095,234.503,559.442,0,207.358,0,0,0,0,0,3638.82
10014,2,3,13323.80513,6449,674,6750.579,23032.974,118.88,11867.343,11867.343,0,0,0,0,0,0,14957.604,856.899,0,1779.754,0,701.008,131.705,0,0,0,509.643,1123.165,0,0,0,0,0,301.212,0,0,0,2671.985
10015,4,8,8939.448526,5274,1053,16585.761,56590.618,1119.81,95332.724,35184.304,59167.96,980.459,0,0,0,0,7085.453,5561.327,0,3747.175,1793.094,1129.967,356.855,93.356,1888.255,787.932,10332.656,4067.586,2309.732,330.989,0,1494.611,0,0,0,0,0,15611.629
10016,3,7,52454.76377,1013,3705,20554.014,70130.297,0,0,0,0,0,0,0,0,0,6735.761,8346.723,26798.316,1873.67,0,1188.484,708.872,489.676,6181.64,1201,9801.11,2725.07,114.92,420.081,0,1182.781,0,0,0,0,0,2362.193
10017,3,5,29285.59493,2446,2019,11924,40685,0,0,0,0,0,0,0,0,0,0,4403.312,14369.812,2040.055,1029.806,0,435.184,249.796,3174.02,0,2197.85,6905.438,198.449,153.868,0,2637.493,0,0,0,0,0,2889.609
10018,1,2,43752.28522,6647,609,2297.369,7838.623,457.779,48668.277,27349.164,19026.258,2292.855,0,0,0,0,0,0,0,3547.506,0,0,146.453,75.356,784.983,86.741,445.642,887.039,223.603,0,0,115.389,0,0,0,0,0,1525.913
10019,4,10,12939.02491,3927,521,4732.068,16145.815,548.313,55546.73,19508.491,28805.848,7232.391,0,0,0,0,248.534,869.949,0,4577.054,863.401,1544.406,93.307,85.965,1754.607,605.519,1730.438,1030.182,197.999,44.203,0,0,0,0,0,0,0,2500.249
10020,3,5,25702.10247,4001,1742,8973.455,30617.427,0,0,0,0,0,0,0,0,0,0,6552.888,0,2591.585,994.024,1074.968,237.694,165.122,1690.857,0,11756.009,1917.531,0,0,0,108.12,0,472.74,0,0,0,3055.888
10021,4,10,25946.70986,2034,420,3677.314,12546.996,557.226,57325.953,15962.538,38032.785,3330.629,0,0,0,0,307.905,0,0,2003.025,0,0,489.25,101.874,1052.56,217.056,1985.118,2778.68,0,0,0,1126.422,0,0,0,0,0,2485.107
10022,3,5,28387.66056,4089,1548,16276.03,55533.815,809.909,85883.647,30833.748,52742.255,2307.644,0,0,0,0,0,7425.076,0,1707.111,1115.283,0,675.578,142.195,3017.249,0,4135.819,3360.396,941.185,0,0,354.703,0,0,0,0,0,32659.221
10023,2,3,16319.16056,6014,781,5523.941,18847.687,945.552,94977.01,16128.166,73648.676,3378.769,1821.399,0,0,0,0,2292.451,0,1866.283,2983.401,0,134.615,215.358,0,321.798,1353.972,2589.485,1652.726,111.925,0,1368.049,0,984.369,0,0,0,2973.254
10024,3,5,34846.5948,3981,1369,7794,26594,0,0,0,0,0,0,0,0,0,9923.744,3006.74,5672.054,1950.586,0,1649.995,496.081,58.202,1130.498,214.171,412.692,527.512,179.693,150.282,0,0,0,0,0,0,0,1220.872
10025,2,3,16565.80494,6461,597,10495.739,35811.463,910.706,92191.837,35865.604,56326.233,0,0,0,0,0,0,2358.055,0,2567.914,812.642,1063.158,471.445,380.807,7646.173,713.411,14308.135,642.897,1360.777,134.249,0,0,0,0,0,0,0,3351.8
10026,1,2,17241.34428,4876,1205,11845.598,40417.181,0,0,0,0,0,0,0,0,0,20260.666,3490.825,5784.734,1578.691,0,627.9,226.933,108.76,2200.774,0,1961.444,1071.954,358.325,172.206,0,0,0,1047.976,0,0,0,1525.992
10027,3,5,19686.5974,4612,1382,10648.085,36331.266,621.7,64529.384,14282.028,50247.357,0,0,0,0,0,0,12301.174,0,1011.815,2040.088,843.691,171.986,182.456,2326.171,349.87,5758.854,2574.971,2218.791,576.396,0,0,0,1347.708,0,0,0,4627.295
10028,3,5,20302.2572,3585,1780,14263.18,48665.97,0,0,0,0,0,0,0,0,0,21900.855,4989.204,8928.455,4609.47,0,304.421,236.241,108.249,1117.137,0,2087.634,2713.831,0,0,0,104.737,0,0,0,0,0,1565.736
10029,3,5,21533.3464,892,2936,12714.271,43381.094,262.958,26866.642,7452.011,16185.722,3228.909,0,0,0,0,0,24313.856,2533.453,2737.598,0,0,237.483,164.763,1687.603,600.982,4050.677,1979.724,330.536,1357.685,0,633.887,0,0,0,0,0,2752.847
10030,1,2,16004.62884,7218,540,12340.971,42107.392,1101.66,111298.01,0,111298.01,0,0,0,0,0,0,1707.463,4464.753,11074.252,3239.378,737.048,128.409,139.209,1437.169,207.29,3953.798,951.454,838.653,102.517,0,957.317,5724.682,998.574,2620.037,0,0,2825.388
10031,4,9,10172.87128,739,4833,13160.886,44904.945,166.3,16444.053,8080.701,8363.352,0,0,0,0,0,748.861,31966.971,0,3199.133,0,305.594,338.501,218.696,2232.585,128.278,312.608,868.891,318.578,2025.568,0,315.82,0,0,0,0,0,1924.86
10032,3,7,31602.11995,1301,3616,9212.142,31431.827,559.597,56123.215,16112.143,36651.781,0,3359.291,0,0,0,0,17676.237,0,2380.591,1544.465,229.213,337.871,380.892,0,0,4127.752,1367.439,372.336,939.62,0,173.866,0,0,0,0,0,1901.547
10033,1,2,27889.56399,5401,774,4267.968,14562.306,68.842,6979.295,6979.295,0,0,0,0,0,0,6603.793,0,0,976.533,892.649,301.311,229.722,0,0,0,459.103,1906.468,0,0,0,0,0,0,0,0,0,3192.728
10034,1,2,13072.70293,5411,959,8204,27993,0,0,0,0,0,0,0,0,0,8405.343,1776.652,6568.042,1846.806,0,242.951,331.779,277.317,2263.606,426.643,3573.995,1355.806,142.352,81.697,0,0,0,0,0,0,0,699.064
10035,3,5,17712.92803,2616,1959,14131.819,48217.765,0,0,0,0,0,0,0,0,0,24910.271,6931.192,5236.935,2144.167,0,295.521,326.047,43.753,576.234,128.376,1745.511,756.684,0,341.172,0,1834.942,0,0,0,0,0,2946.962
10036,1,2,33033.60303,4588,1495,2982.857,10177.509,657.589,69430.388,0,68064.896,909.39,456.102,0,0,0,0,2447.16,2019.879,1451.924,0,0,288.536,149.713,0,0,624.601,1924.044,72.372,0,0,190.196,0,0,0,0,0,1009.082
10037,3,6,16653.49004,1288,2921,18036.833,61541.675,0,0,0,0,0,0,0,0,0,16143.893,0,17256.76,9202.312,827.84,1315.436,527.513,559.448,5665.443,0,5053.81,2002.209,300.02,0,0,1151.432,0,0,0,0,0,1535.559
10038,3,6,33841.0739,2826,1871,8658.848,29543.988,596,62190.919,16073.436,46117.483,0,0,0,0,0,0,9746.596,0,1510.763,2309.779,936.165,203.266,218.523,2782.396,535.305,3938.061,3834.02,582.017,496.566,0,1092.911,0,0,0,0,0,1357.62
10039,4,8,12257.66339,5400,682,5477,18689,0,0,0,0,0,0,0,0,0,0,0,0,2084.162,0,0,0,302.771,3859.641,0,3898.408,1592.595,0,0,0,1580.96,0,0,0,0,0,5368.997
10040,3,5,47749.15653,2511,1998,22015,75114,0,0,0,0,0,0,0,0,0,34871.397,4102.514,14463.645,2021.139,0,807.238,237.898,277.88,2828.923,0,4192.522,9504.894,491.591,0,0,0,0,0,0,0,0,1315.527
10041,2,4,11489.7858,4262,1584,18936.824,64612.442,1210.047,118554.169,33114.352,85439.817,0,0,0,0,0,21194.795,14724.895,0,4753.94,0,1120.764,682.984,277.876,2829.104,0,9231.537,4008.504,1618.859,816.928,0,638.713,0,0,0,0,0,2713.543
10042,2,4,11663.23498,4115,1507,15903.73,54263.527,723.95,71120.301,8952.091,59246.882,2921.328,0,0,0,0,0,11082.127,0,1460.836,864.306,567.309,245.791,143.332,1831.402,240.396,6935.888,401.819,1402.684,495.176,0,72.375,4474.789,940.753,3888.448,0,0,19216.094
10043,4,10,17399.05558,1956,1787,9687.156,33052.575,403.7,41564.799,14089.176,25609.202,0,1866.42,0,0,0,0,10455.204,0,3856.742,0,758.186,250.137,120.257,0,121.924,6414.44,1946.944,721.772,501.279,0,958.441,0,0,0,0,0,6947.25
10044,1,1,24106.01907,6404,768,5730.847,19553.648,0,0,0,0,0,0,0,0,0,3266.876,636.69,7159.345,1497.777,0,802.439,228.687,0,0,320.217,1773.309,1588.153,63.908,27.814,0,0,0,0,0,0,0,2188.434
10045,4,10,9464.488234,1958,315,8934.666,30485.081,328.523,33393.08,12960.626,19444.59,987.864,0,0,0,0,2311.384,0,0,6620.832,0,435.421,249.436,170.2,1915.516,0,3179.788,2741.074,680.674,0,0,115.469,0,0,0,0,0,12065.289
10046,1,1,15510.34635,6199,900,3104.036,10590.971,285.39,29450.453,0,13089.597,4514.705,2055.921,0,0,9790.231,0,2047.424,0,1966.94,970.821,0,100.464,170.128,0,522.668,2562.137,375.406,93.87,0,0,0,0,0,0,0,0,1781.113
10047,4,10,7624.840738,4355,213,7719.832,26340.068,0,0,0,0,0,0,0,0,0,7153.743,0,8181.284,3519.76,0,410.96,161.754,144.168,1626.366,224.256,2426.082,756.24,0,0,0,0,0,0,0,0,0,1735.456
10048,3,5,24218.45034,2464,2144,26326.341,89825.475,0,0,0,0,0,0,0,0,0,42044.092,9336.54,23825.553,1632.796,0,632.808,169.709,304.413,3403.789,0,1326.347,3732.297,721.548,465.589,0,108.816,0,0,0,0,0,2121.176
10049,3,7,24478.43262,1141,3454,23277.278,79422.071,0,0,0,0,0,0,0,0,0,21590.346,26462.314,17678.28,791.139,0,577.007,0,353.185,3946.138,0,2876.358,1535.811,371.139,1352.412,0,111.969,0,0,0,0,0,1775.973
10050,3,7,45315.00396,1338,3119,12389.232,42272.061,424.88,45638.027,12449.791,29410.309,3777.926,0,0,0,0,0,21089.869,0,5215.655,1839.21,0,674.655,379.115,3852.169,0,1966.173,1218.422,489.968,1246.07,0,1713.232,0,0,0,0,0,2587.524
10051,2,3,27570.13073,6202,617,23652.302,80701.653,0,0,0,0,0,0,0,0,0,51856.099,1528.4,10758.944,2774.505,812.966,1601.123,472.941,148.184,1670.03,0,1707.465,3160.885,0,0,0,0,1757.071,0,0,0,0,2453.04
10052,1,2,22329.9698,7088,406,12756.136,43523.935,0,0,0,0,0,0,0,0,0,11892.053,1379.096,0,3243.486,1543.377,653.294,237.662,220.201,2802.861,0,12648.504,3545.66,1155.547,72.617,0,2298.553,0,0,0,0,0,1831.023
10053,3,7,14411.32487,1431,3318,5454.763,18611.65,181.958,18341.659,14269.496,0,1540.546,0,0,0,2531.617,4619.684,6536.73,0,1939.535,0,0,703.409,0,0,0,723.139,1614.575,0,0,0,94.223,0,0,0,0,0,2380.355
10054,2,3,18596.08587,4904,1211,8265.477,28201.808,401.833,40019.487,0,40019.487,0,0,0,0,0,0,4436.692,11215.915,1484.128,2928.999,804.066,237.135,132.167,1691.921,128.431,1114.073,793.105,945.182,197.813,0,145.622,0,0,0,0,0,1946.561
10055,1,1,18302.65321,7943,343,2716.328,9268.111,0,0,0,0,0,0,0,0,0,0,0,0,1467.943,0,337.888,665.364,53.646,0,0,2714.449,1856.764,112.955,0,0,0,0,0,0,0,0,2059.1
10056,2,4,18509.76615,8124,400,22876.274,78053.848,0,0,0,0,0,0,0,0,0,48779.339,856.719,11517.039,1723.152,1845.11,534.627,507.233,192.538,3877.422,423.044,2125.494,2043.355,0,46.634,0,58.793,0,0,0,0,0,3523.348
10057,4,10,5894.194742,689,1523,3070.259,10475.725,113.501,11476.142,9693.01,173.733,1088.401,0,0,0,520.998,761.25,1083.761,0,1942.377,0,0,91.763,109.565,1409.053,115.247,1430.053,1299.64,3.15,58.232,0,312.258,0,0,0,0,0,1859.375
10058,3,7,8540.345269,2132,2954,9553.753,32597.404,552.8,55077.675,27155.179,27922.496,0,0,0,0,0,0,10677.784,0,2018.078,0,940.584,327.18,309.911,3935.244,724.786,7324.741,1606.616,547.639,534.801,0,2150.08,0,0,0,0,0,1499.96
10059,3,6,10773.52106,2696,2141,2242.215,7650.437,608,62931.948,19581.214,38134.441,1969.705,3246.587,0,0,0,0,832.816,0,2124.812,907.28,400.203,87.49,251.179,0,310.062,160.13,1392.034,62.39,41.973,0,29.929,0,0,0,0,0,1050.14
10060,3,5,24342.44403,3514,1828,11709.85,39954.008,0,0,0,0,0,0,0,0,0,4153.278,16400.516,6239.152,1865.053,0,1555.663,1408.051,173.902,1778.779,0,923.497,2238.809,0,796.167,0,237.766,0,0,0,0,0,2183.376
10061,4,10,10215.878,1026,2567,9167.263,31278.701,641.118,58840.067,36969.407,15686.264,4276.016,1908.38,0,0,0,4878.879,9688.024,0,2006.5,0,134.437,718.673,221.017,0,0,3714.252,3653.762,250.188,507.139,0,217.203,608.758,324.715,0,0,0,4355.153
10062,3,5,20093.18891,93,5039,12146.645,41444.353,0,0,0,0,0,0,0,0,0,69.622,7676.992,4404.673,1830.304,0,69.807,166.854,0,0,0,1560.621,1355.48,1.113,341.204,0,0,0,0,0,0,0,23967.683
10063,2,4,6632.593661,7109,565,3237.353,11045.848,887.237,86795.013,9816.311,74552.76,2425.942,0,0,0,0,286.736,830.24,0,1831.988,0,0,466.588,201.264,532.357,0,1803.842,869.947,126.254,0,0,592.846,2072.609,0,0,0,0,1431.178
10064,4,9,13576.61691,4030,1376,11924,40686,0,0,0,0,0,0,0,0,0,0,3663.263,21826.544,1657.498,1695.634,0,304.415,0,0,0,5121.392,2893.803,0,0,0,1085.408,0,0,0,0,0,2436.728
10065,4,10,16050.14949,2019,1541,8100.964,27640.488,55.083,5671.362,5671.362,0,0,0,0,0,0,7789.881,0,0,1974.244,0,415.6,0,0,0,0,626.698,210.753,0,0,0,0,0,0,0,0,0,16623.311
10066,2,3,25404.68534,6055,769,2820.145,9622.335,890.378,89743.849,9776.8,77249.799,1805.624,911.626,0,0,0,0,1316.125,0,1458.673,0,0,332.797,53.418,0,126.135,1159.879,2017.191,435.17,83.608,0,87.668,0,0,0,0,0,2551.671
10067,2,3,28079.82902,6800,620,7689.609,26236.946,650.519,66218.645,28667.524,37551.122,0,0,0,0,0,0,2304.435,0,2423.749,1486.179,369.227,198.537,303.766,3088.765,0,1473.712,7101.113,1555.692,108.995,0,879.645,0,0,2414.677,0,0,2528.454
10068,1,2,26688.57188,5250,903,7864.04,26832.106,1141.89,115779.773,22641.367,89462.206,3676.199,0,0,0,0,0,6510.149,0,2379.524,1522.738,0,668.313,296.2,3762.796,353.061,4157.385,1617.319,2506.097,413.319,0,820.992,0,0,0,0,0,1824.214
10069,4,10,18109.06173,4870,1295,20692.415,70602.521,0,0,0,0,0,0,0,0,0,44679.585,2073.05,10558.482,2977.347,904.492,708.383,203.253,138.451,2235.938,0,2443.693,1513.061,880.717,0,0,0,0,0,0,0,0,1286.068
10070,3,6,10212.44273,2069,2231,9543.238,32561.527,0,0,0,0,0,0,0,0,0,3800.502,4386.479,6888.455,2539.674,0,559.334,222.995,253.909,2592.397,0,5891.077,4011.739,0,219.719,0,0,0,0,0,0,0,1195.246
10071,1,1,6979.082859,5569,1017,5867.71,20020.625,788.533,80811.448,28757.472,50382.971,1671.006,0,0,0,0,0,3164.602,0,1849.671,908.365,0,261.949,221.082,2256.528,0,3977.096,3208.835,1624.875,221.482,0,0,0,0,0,0,0,2326.141
10072,4,10,19565.15442,2093,1522,2483.852,8474.903,208.347,21529.163,14597.178,6931.985,0,0,0,0,0,0,1778.349,0,1911.99,0,224.843,206.376,0,0,0,470.034,1462.164,129.989,77.23,0,0,0,0,0,0,0,2213.927
10073,4,8,20966.4187,5632,700,13752.294,46922.828,1188.864,100853.571,37764.924,63088.647,0,0,0,0,0,10953.533,2737.55,0,3830.249,0,851.346,683.424,168.561,3396.013,433.741,14429.166,3046.894,1188.147,169.37,0,1871.591,0,0,0,0,0,3163.244
10074,3,6,24745.29793,2340,2008,22732.634,77563.748,0,0,0,0,0,0,0,0,0,7655.889,7069.305,13939.754,2763.115,1528.362,524.786,666.679,158.042,2663.927,317.674,13584.742,5538.242,155.625,404.721,0,1330.859,4484.964,0,4256.86,0,0,10520.203
10075,1,1,11531.35701,7652,427,12875.97,43932.809,0,0,0,0,0,0,0,0,0,0,737.805,26224.567,1077.652,926.163,1419.723,239.25,319.983,4059.539,129.958,1679.96,1838.299,655.733,0,0,761.306,0,0,0,0,0,3862.87
10076,2,4,12792.80085,4285,1192,13050.014,44526.648,1141.311,112074.614,15353.038,96721.576,0,0,0,0,0,0,11489.254,0,3206.075,1896.09,675.301,511.467,507.611,5662.482,432.752,11647.949,1949.938,1682.339,613.102,0,110.094,0,0,0,255.703,914.368,2972.126
10077,3,7,22657.69701,1941,2830,12799.182,43670.808,0,0,0,0,0,0,0,0,0,8972.168,8545.778,9829.237,2814.04,0,866.274,335.711,144.402,2698.777,223.937,3798.992,1796.419,209.429,469.484,0,810.835,0,0,0,0,0,2155.327
10078,4,10,19982.76995,4059,582,28598.001,97576.38,0,0,0,0,0,0,0,0,0,36301.57,0,25852.979,1367.779,0,2204.993,241.386,591.179,11847.238,772.157,12860.832,2320.846,0,0,0,0,0,0,0,0,0,3215.42
10079,3,7,19071.25586,1203,3352,16013.85,54639.257,336.015,34698.577,11307.694,21976.968,961.405,452.511,0,0,0,3835.787,25814.873,0,4168.986,2748.055,0,845.962,218.044,0,128.198,6002.325,4234.391,432.353,1550.988,0,2076.986,0,0,0,0,0,2582.311
10080,3,7,18066.71879,3190,2177,10750.18,36679.614,823.952,82663.43,13766.776,57514.854,10338.799,0,0,0,1043.002,0,8401.219,0,5459.486,2772.112,583.51,997.628,106.532,2156.61,585.699,3681.406,6238.94,1171.074,615.341,0,1463.922,0,0,0,0,0,2446.134
10081,2,3,10687.38473,6539,600,8000.073,27296.25,0,0,0,0,0,0,0,0,0,11175.369,646.123,7389.177,2098.49,0,352.438,165.064,0,0,0,147.001,3374.738,0,0,0,59.152,0,0,0,0,0,1888.698
10082,3,6,15296.88135,3144,1910,23987.674,81845.943,0,0,0,0,0,0,0,0,0,32718.006,18638.482,11615.226,7806.34,0,0,342.671,104.081,1179.13,108.618,2910.615,1479.553,964.405,1077.719,0,0,0,0,0,0,0,2901.099
10083,2,3,13155.81276,5444,1161,22091.804,75377.235,3057.042,306594.198,37229.464,269364.733,0,0,0,0,0,0,9000.769,0,2571.086,902.603,667.694,1690.737,544.858,11028.344,106.824,15373.941,7600.554,3741.344,809.415,0,887.88,9417.327,3647.705,0,0,0,7386.153
10084,4,8,16009.11854,4956,1159,8649.323,29511.489,569.248,51180.097,31321.285,19858.813,0,0,0,0,0,0,0,0,2649.794,1684.22,871.66,142.791,327.282,6588.171,1554.812,1807.576,2447.091,1427.603,0,4342.857,3226.067,0,0,0,0,0,2441.565
10085,4,10,27378.8137,2294,1454,7674.976,26187.019,0,0,0,0,0,0,0,0,0,3456.475,0,7476.411,2710.22,0,579.175,1133.171,443.762,4507.711,0,106.271,2401.361,0,0,0,1281.143,0,0,0,0,0,2091.318
10086,4,10,13664.89703,1979,484,3000.048,10236.165,274.781,28388.5,0,28388.5,0,0,0,0,0,0,0,1810.193,1716.664,0,620.815,399.964,89.497,1795.824,0,399.655,1460.636,273.507,0,0,54.809,0,0,0,0,0,1614.601
10087,3,5,16620.87841,5123,885,7048.496,24049.469,0,0,0,0,0,0,0,0,0,6886.3,2467.082,5236.065,2044.231,0,416.442,965.911,53.572,564.896,0,1552.947,2011.698,144.546,116.559,0,57.221,0,0,0,0,0,1532
10088,3,7,29537.36343,1362,3013,22429.279,76528.699,547.108,57400.368,22995.78,33623.495,781.094,0,0,0,0,10218.687,41962.965,0,2587.923,909.195,0,238.519,222.683,2272.58,229.181,4605.851,4838.279,828.165,2666.868,0,2807.526,0,0,0,0,0,2140.278
10089,2,3,20165.0208,4884,1230,4851.806,16554.363,948.871,94403.065,10750.925,82708.067,0,944.073,0,0,0,0,3875.423,0,2544.532,0,769.54,244.351,113.545,0,0,2582.025,2157.024,894.903,182.381,0,171.244,0,0,0,0,0,3019.396
10090,4,10,12487.08362,4019,462,10489.063,35788.681,0,0,0,0,0,0,0,0,0,6786.597,527.777,10061.296,2947.71,5100.902,694.027,335.158,166.546,2653.8,0,2197.999,2383.492,0,0,0,0,0,0,0,0,0,1933.376
10091,2,3,21151.86692,5688,1016,7341.073,25047.741,1167.164,118126.429,0,118126.429,0,0,0,0,0,0,2985.633,9726.796,2529.122,0,654.948,233.892,51.782,1061.903,416.292,1469.406,645.812,910.555,137.373,0,0,0,292.98,0,0,0,3931.247
10092,2,3,14255.67098,6659,651,12508.59,42679.31,383.336,38932.048,26144.924,12787.124,0,0,0,0,0,0,1801.065,0,4572.105,2877.762,1291.188,719.025,230.594,3699.568,668.387,17844.242,2430.921,1534.05,104.25,0,2256.124,0,0,0,0,0,2650.028
10093,2,3,33595.59539,4093,1489,15583.48,53170.835,0,0,0,0,0,0,0,0,0,0,7692.124,17386.785,5700.196,3848.147,720.345,718.606,153.104,1949.651,114.601,8338.413,1125.61,1704.967,0,0,131.126,0,0,0,0,0,3587.161
10094,2,3,39922.34884,5801,1054,4210.857,14367.444,467.842,47772.287,9031.17,31608.535,5778.09,1354.492,0,0,0,850.527,1419.831,0,2625.835,784.615,0,199.132,158.483,0,0,1740.331,2134.254,584.887,0,0,126.087,1516.457,0,0,0,0,2227.003
10095,3,6,38196.61493,1848,2588,22557.2,76965.166,737.351,74653.123,47440.137,0,27212.986,0,0,0,0,34307.295,15571.294,0,4104.1,1433.172,0,1044.769,288.885,2939.666,0,7845.992,4667.137,477.915,577.904,0,872.506,0,0,0,0,0,2834.531
10096,4,8,15199.53683,5400,1141,5776.584,19709.704,584.295,52496.88,29261.49,21579.919,1655.47,0,0,0,0,635.159,0,0,888.668,0,0,194.218,384.282,4289.948,0,248.236,6724.316,199.423,0,3935.848,0,0,0,0,0,0,2209.607
10097,3,6,16084.87262,1292,3005,8547.681,29164.688,0,0,0,0,0,0,0,0,0,2254.359,7744.663,8202.627,2551.399,0,790.738,100.897,83.938,1084.414,224.487,1400.169,260.429,57.133,444.577,0,1338.347,0,0,0,0,0,2626.512
10098,4,10,15836.08333,4631,256,14464.971,49354.482,0,0,0,0,0,0,0,0,0,0,806.395,0,3938.295,1690.897,1121.297,495.834,181.511,1855.396,1528.123,2359.314,1613.874,58.394,0,0,0,0,0,0,0,0,33705.151
10099,3,6,39003.62446,2540,2001,14663.587,50032.16,0,0,0,0,0,0,0,0,0,5743.779,6482.613,6944.841,2709.331,2409.85,0,200.254,161.521,1817.402,336.046,1747.515,2968.956,202.787,245.275,0,164.993,0,0,0,0,0,17896.997
10100,4,10,15373.32477,4160,5,12671.665,43235.722,0,0,0,0,0,0,0,0,0,12164.71,0,5855.333,2907.568,0,666.953,675.841,434.052,5503.135,426.704,6066.649,1369.308,250.12,0,0,143.351,0,3590.63,0,0,0,3181.367
