Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Light Use (Estimated) in Thousands of BTU 
1993,3,5,0,2,19943,2107,2932,4314,14719,960,98688,0,57423,0,21050,9318,20215,3069,2332,0,0,204,996,1627
1993,1,1,0,4,17995,901,6290,5226,17831,796,81829,1292,52596,0,22955,11112,6278,866,4561,0,0,0,0,2495
1993,2,4,0,2,4481,1199,5620,5308,18111,1264,129939,1125,103382,0,19734,10497,6823,4060,2429,0,0,414,0,1864
1993,2,4,0,2,4481,1193,5649,10506,35846,1597,164172,0,132587,0,31585,19458,0,13246,3142,0,1033,1994,2408,4425
1993,1,2,1,2,13568,164,8556,7555,25778,0,0,0,0,0,0,21131,0,1535,3112,0,1581,2365,3788,1895
1993,3,7,3,2,17851,2879,1600,5027,17152,435,44718,0,23522,0,16459,9858,4737,5090,2204,0,0,0,0,5529
1993,3,5,0,2,4778,2241,2844,8891,30336,644,66203,0,45856,0,15908,14541,4439,12702,3093,3258,0,0,2083,3528
1993,1,2,0,2,15625,1006,5565,7363,25123,1141,117295,1489,68745,0,34241,17243,14309,1557,4834,0,0,0,0,4754
1993,3,5,0,3,29265,1828,4369,8498,28995,823,84604,0,55443,0,22461,11108,6700,9687,8200,0,0,0,0,3982
1993,3,6,0,2,12597,2325,1753,15343,52350,522,53662,1270,36415,0,17247,28699,0,12916,9465,5132,3370,2372,2281,1995
1993,3,5,4,3,3599,3451,373,14144,48259,0,0,4458,0,6401,0,20034,0,13727,3639,0,1064,0,3038,3390
1993,2,3,0,2,13211,1079,5557,26648,90923,0,0,35763,0,16055,0,28277,0,5396,5432,0,3773,1426,3585,3664
1993,4,9,0,1,17084,143,7600,8929,30466,0,0,3887,0,8703,0,15929,0,0,1947,0,870,405,1978,2984
1993,4,8,0,2,11550,71,8108,4749,16204,1100,113080,0,75620,0,28143,12980,9317,0,3224,1542,0,0,0,2754
1993,1,1,0,2,9348,172,8963,11997,40934,0,0,0,0,0,0,35777,0,0,5157,0,1224,0,2854,5470
1993,2,3,0,2,18574,733,6565,5155,17589,0,0,0,0,6342,0,9142,0,0,2105,0,1527,0,0,2447
1993,3,6,0,2,11667,1151,4959,22515,76821,0,0,26689,0,9583,0,23043,0,7937,9569,3219,1036,483,2358,4726
1993,4,8,0,5,27679,484,6351,3060,10441,656,67404,0,48011,0,19393,7205,0,0,3236,0,551,884,0,3452
1993,2,3,0,2,23952,528,7815,16055,54780,2859,293905,0,223577,0,70328,39714,0,9521,5545,3377,3914,4356,5259,3516
1993,1,2,0,5,16020,752,6327,7953,27137,0,0,8249,0,9733,0,6494,0,0,2661,0,1020,476,0,1089
1993,3,5,4,1,4815,2123,1918,8299,28316,0,0,0,0,6506,0,10569,0,7495,3746,0,0,0,2032,3293
1993,3,6,0,2,3540,1863,3183,5854,19974,1285,132124,1936,78366,0,42061,12278,11697,0,5760,0,0,0,0,4977
1993,4,9,0,2,12114,84,5102,9550,32585,0,0,0,0,5354,0,24589,0,0,2642,11478,1197,0,2722,2059
1993,2,3,0,2,19952,602,7013,8425,28746,1219,125313,0,94702,0,28067,24065,2544,0,4681,0,1613,1495,0,5997
1993,2,4,0,2,15536,1208,5420,22267,75975,0,0,31824,0,10375,0,19191,0,10044,4541,0,1117,1267,2539,5566
1993,1,2,1,2,14955,848,6665,3623,12362,0,0,0,0,0,0,9206,0,0,3156,2165,477,314,1535,846
1993,1,1,0,5,10893,320,8255,1624,5541,0,0,817,0,0,0,3017,0,0,1707,0,456,0,0,930
1993,3,7,3,4,18270,2693,2617,8662,29556,631,64865,0,43111,0,21754,11469,0,12785,5302,0,1167,444,0,4638
1993,4,9,2,4,23953,104,6100,9684,33042,0,0,0,0,14090,0,17113,0,0,1839,0,3209,0,3058,1182
1993,4,8,0,2,14582,3358,1280,13231,45144,706,72577,0,35274,0,29040,23856,8263,0,21288,0,0,1402,3526,5296
1993,3,6,0,2,4102,2403,1840,18718,63865,0,0,14707,0,11132,0,22530,0,12406,3090,3526,2919,1103,2210,4768
1993,3,7,3,2,23809,2752,1613,5355,18271,165,16962,10880,0,0,12129,3107,4833,1692,2592,0,0,0,0,986
1993,2,3,0,2,23573,842,6188,7350,25078,1714,176199,0,115981,0,41786,18209,18432,3920,2949,3364,0,0,0,5768
1993,3,5,0,2,4973,713,6426,8146,27794,524,53867,0,8834,0,36529,17975,8504,7083,2736,3194,0,883,1769,3332
1993,2,3,0,2,21048,1540,5231,5992,20445,1102,113286,0,93580,0,19706,12765,0,2580,5100,3145,705,464,2266,2892
1993,3,5,0,5,21405,2451,3029,8279,28247,0,0,7943,0,5655,0,5303,0,6221,3125,0,1843,0,0,1599
1993,2,4,0,2,16741,418,8729,9832,33547,0,0,0,0,7507,0,17062,0,3924,5054,0,904,0,2907,825
1993,4,9,2,5,19327,1177,1171,3424,11682,234,24077,2128,0,0,24077,6280,0,2193,1081,1265,1224,0,0,935
1993,4,9,0,2,10993,142,7882,7421,25320,0,0,0,0,4782,0,15944,0,456,4138,2324,986,459,2242,1831
1993,3,5,0,2,20031,835,5756,10173,34710,908,93331,0,58247,0,26378,28357,8706,0,6353,3121,0,959,0,5293
1993,3,6,0,2,4102,2940,1468,11919,40668,0,0,9346,0,5679,0,13090,0,9845,2708,0,1809,967,1937,3055
1993,3,7,0,2,5017,1981,3884,8915,30418,844,86763,0,53055,0,33708,17410,0,8822,4186,2985,1260,480,2341,2705
1993,1,1,0,2,3711,926,5471,4127,14081,1152,118426,0,69779,0,39092,10905,9555,1488,1688,0,0,282,1725,1861
1993,1,2,1,5,13670,1321,4733,3963,13522,37,3804,0,0,0,0,10418,3804,2031,1073,0,0,0,0,1926
1993,1,2,0,2,3606,854,5744,17184,58632,1374,141247,0,93184,0,34947,33311,13116,19425,5896,5010,0,0,0,6021
1993,1,2,0,2,17223,800,5785,3174,10830,1303,133948,0,109112,0,18801,8771,6035,0,2059,0,0,0,1797,1772
1993,4,8,0,1,16741,1884,2175,6210,21189,0,0,6102,0,3935,0,9044,0,0,2108,0,0,0,1477,3122
1993,3,6,0,2,16147,1709,3233,23911,81584,0,0,18438,0,19848,0,24468,0,12433,6397,7992,0,0,0,3546
1993,2,3,0,2,13263,863,5890,5082,17340,807,82960,0,54008,0,20007,12385,8945,2900,2055,2345,0,0,0,3901
1993,4,8,0,1,3685,5199,705,7386,25201,0,0,4165,0,4474,0,9439,0,5351,1772,0,681,317,1549,655
1993,3,5,0,5,5251,2075,3344,8261,28187,0,0,7077,0,2571,0,9952,0,4934,3653,0,1353,1022,2048,1083
1993,1,2,0,2,11952,554,6456,6625,22605,1310,134668,0,91656,0,34714,18182,8298,0,4423,2275,0,386,2369,1632
1993,3,5,0,5,7232,2354,2502,2108,7192,434,44652,0,19884,0,19129,4189,5639,0,3003,0,0,0,0,1205
1993,3,5,0,3,18283,1584,4320,13913,47471,1223,125724,0,75282,0,40430,26093,10012,16503,4875,0,0,1140,6558,5208
1993,1,1,0,5,5431,580,6017,2947,10055,478,49138,672,25745,0,23393,5794,0,1960,1629,0,1128,247,0,1055
1993,2,3,0,2,14964,386,8433,6055,20660,0,0,906,0,5083,0,11337,0,534,2800,2647,716,0,1629,2057
1993,3,5,0,5,12453,2001,4286,2793,9531,559,57421,0,34650,0,17966,6439,4805,0,3092,0,0,0,0,1415
1993,2,3,0,4,32371,837,6209,3573,12191,706,72536,0,54598,0,17938,5685,0,1751,4755,0,1635,0,0,929
1993,4,9,2,5,20143,1642,2144,3696,12611,477,49016,0,11889,0,28509,8769,8618,0,3842,0,0,0,0,1275
1993,3,7,3,2,17814,2256,1951,23553,80363,567,58288,0,35791,0,17033,40026,5464,27389,12948,7984,0,0,0,10648
1993,4,9,2,4,4086,136,7176,10680,36440,0,0,21597,0,3278,0,8118,0,0,3447,0,689,0,2218,1588
1993,1,1,0,5,11171,797,6116,2324,7929,56,5757,0,0,0,0,5830,5757,0,2099,0,0,0,0,1588
1993,1,1,0,2,13499,407,8235,6836,23324,0,0,0,0,1411,0,12946,0,0,8967,0,1144,0,0,2909
1993,3,5,0,1,16251,1945,2675,17104,58359,0,0,1013,0,8526,0,30891,0,12550,5379,0,980,373,2285,4015
1993,3,5,0,2,10551,2283,2604,4253,14511,590,60652,0,41295,0,14248,9040,5109,844,4627,4038,0,0,0,923
1993,3,7,3,2,3968,2301,3171,10256,34993,492,50578,0,34493,0,16085,17886,0,13762,3345,0,984,0,2238,1724
1993,1,2,1,2,18140,935,5521,4573,15603,447,45952,0,0,0,36913,12083,9039,1195,2325,1359,0,283,0,3766
1993,1,1,0,2,4363,271,7679,14992,51153,0,0,0,0,3899,0,42092,0,0,5162,4387,2907,1553,3112,9704
1993,3,5,0,2,3979,1849,3426,12804,43687,656,67437,0,45226,0,22211,28007,0,12097,3583,3470,2121,1927,3086,2858
1993,4,9,2,5,20499,369,1744,816,2784,320,32891,0,15664,0,13431,1783,3796,0,1001,0,0,0,0,579
1993,2,3,0,5,4265,734,6627,11720,39989,728,74807,0,40095,0,34712,27400,0,5133,7456,0,4644,5168,0,7210
1993,4,9,2,3,15107,1126,2948,4357,14866,596,61269,953,24900,0,28191,8824,8178,995,4094,0,0,0,1712,1992
1993,2,3,0,2,3742,1054,5648,6998,23877,263,27036,2275,3911,0,23125,13848,0,3439,4315,1532,1873,1203,1927,1534
1993,3,7,3,2,16146,1354,5155,11820,40330,890,91492,0,56432,0,28035,31414,7025,0,8916,3699,0,2456,6785,3513
1993,2,3,0,2,11048,859,6320,5400,18425,1706,175377,0,120222,0,43134,13843,12021,0,4582,0,0,0,0,5584
1993,1,2,0,2,19899,856,5671,10311,35181,1630,167564,0,118856,0,30619,23860,18089,7842,3479,0,2927,2303,0,5011
1993,2,3,0,3,6419,1207,5300,2865,9775,550,56540,0,36895,0,15773,5974,3872,1850,1951,0,0,343,1672,507
1993,4,9,2,5,18597,775,951,2547,8692,215,22154,0,0,0,17041,5216,5113,0,3476,0,0,0,0,1731
1993,3,5,0,2,24401,1703,3300,11549,39405,0,0,1093,0,0,0,21669,0,10220,6423,0,1833,402,1962,3102
1993,4,9,0,2,7477,143,4536,26682,91039,0,0,0,0,25346,0,53905,0,0,11788,0,3123,1455,8919,11521
1993,3,6,0,2,11667,1472,4294,18321,62513,0,0,17065,0,13092,0,17235,0,10387,4734,0,1587,0,2946,2541
1993,3,7,0,2,18632,2218,3316,9187,31346,1356,139397,0,91678,0,31975,14315,15744,12764,4267,0,0,0,0,3101
1993,2,3,0,2,10405,533,7183,22033,75177,0,0,23015,0,15448,0,25720,0,4475,6519,3484,1132,2184,3497,3838
1993,3,5,4,5,23057,3480,204,7950,27125,0,0,1536,0,1983,0,11244,0,7599,4763,0,1528,1154,2313,1224
1993,3,7,3,4,9572,2484,2871,62,212,580,59600,0,26064,0,25952,132,7584,28,52,0,0,0,0,23
1993,4,9,2,2,4332,195,5826,13237,45165,0,0,5178,0,14207,0,21237,0,0,4543,0,1159,2740,2635,3082
1993,4,9,2,3,19207,580,1212,9690,33062,203,20851,10855,920,0,15944,14336,3987,2638,5233,0,2394,0,0,3102
1993,1,2,0,2,12644,759,6316,4464,15231,0,0,796,0,0,0,11045,0,402,2988,2049,1337,293,1431,1362
1993,4,9,2,4,12078,178,5931,9347,31892,0,0,15735,0,6450,0,6912,0,0,2795,0,971,0,0,2956
1993,1,1,0,2,12645,879,5622,5531,18872,0,0,0,0,0,0,12922,0,2595,3355,2302,703,327,1600,1775
1993,2,4,0,2,18570,360,8533,6980,23816,795,81726,0,67283,0,14443,11572,0,4561,7683,0,739,486,2375,2292
1993,4,9,2,2,20337,127,5889,7003,23894,0,0,0,0,0,0,16775,0,930,6189,3306,1003,0,2280,3226
1993,3,5,0,2,9942,1640,3427,8516,29057,759,78070,0,50773,0,27297,21599,0,0,7458,7744,3039,0,0,3571
1993,3,7,3,2,4497,2605,1724,6823,23281,0,0,1087,0,0,0,13814,0,3921,4459,0,1215,0,0,2137
1993,4,9,0,2,12293,69,5348,18820,64214,0,0,20114,0,16445,0,24415,0,0,3240,3781,3608,560,2730,4063
1993,4,9,2,2,5193,1546,2105,13204,45052,587,60344,0,26493,0,33851,33374,0,5989,5689,0,2015,2751,3321,3162
1993,3,7,3,2,17797,1749,4386,28321,96631,30,3084,47722,0,6327,0,21148,3084,12428,9006,0,0,0,5962,3997
1993,4,8,0,1,4062,4138,904,4097,13979,0,0,0,0,1917,0,5265,0,4209,2588,0,0,241,1178,1448
1993,2,3,0,2,11048,605,6736,4464,15231,2475,254430,0,195369,0,46978,12725,12083,0,2506,0,0,0,0,3251
1993,1,1,0,2,7554,391,8325,6200,21154,0,0,0,0,2990,0,15318,0,0,2846,0,0,0,2852,2331
1993,3,5,4,1,4825,2638,1408,18677,63726,0,0,0,0,7921,0,23833,0,27051,4921,2801,0,1273,2549,5389
1993,4,9,0,2,18069,75,5154,21023,71730,0,0,29951,0,10583,0,18157,0,0,13039,0,1157,539,2632,4894
1993,3,5,4,2,27173,3490,167,22088,75364,0,0,6008,0,8034,0,26219,0,28427,6676,0,3378,604,3707,6183
1993,3,5,4,2,5009,2397,1533,17020,58072,0,0,9064,0,9577,0,18055,0,16105,5271,0,1279,1027,2058,4550
1993,4,9,2,1,21095,1539,1331,7295,24891,0,0,0,0,0,0,19534,0,0,5357,0,0,0,3641,6685
1993,4,8,0,2,12452,36,9116,12189,41589,1504,154611,1808,129773,0,24838,32478,0,0,7303,3914,3034,3377,4077,3902
1993,4,8,0,2,3202,1838,2917,6552,22355,643,66100,0,34381,0,24785,18780,6934,0,3575,2619,0,379,2320,2924
1993,2,4,0,3,4174,548,7966,8841,30165,1423,146284,0,98425,0,38057,19018,9802,8459,2688,3946,0,478,0,4484
1993,4,8,0,2,12879,3424,1361,5346,18241,0,0,4761,0,1866,0,5478,0,4486,1650,0,703,154,752,1459
1993,3,5,4,5,26000,2728,1361,6295,21478,0,0,4707,0,2014,0,5167,0,5016,4574,0,588,387,0,1628
1993,1,2,1,5,8324,1315,4737,646,2204,217,22295,0,0,0,17816,2204,4479,0,0,0,0,0,0,369
1993,4,9,2,3,17948,712,2679,2698,9206,585,60138,0,38060,0,21504,6481,574,1447,1278,0,629,239,0,1623
1993,1,2,0,5,12276,1116,5549,11737,40047,0,0,13093,0,5667,0,15384,0,3034,2869,0,763,503,2453,2278
1993,2,3,0,2,7817,622,6894,2525,8615,1008,103622,0,71597,0,25222,6280,6803,0,2335,0,0,296,0,1484
1993,1,2,0,3,18431,1035,5374,12506,42670,0,0,0,0,12183,0,24436,0,0,6051,0,2825,0,3795,2928
1993,1,1,0,1,7554,426,8124,7752,26450,0,0,0,0,9986,0,13333,0,933,2198,2596,0,0,2225,2952
1993,4,9,2,5,21082,236,2390,1139,3886,347,35672,0,16435,0,15072,2562,4165,0,1324,0,0,0,0,1120
1993,2,3,0,5,19317,1065,5450,6737,22987,498,51147,0,21451,0,29696,14227,0,4357,4403,1999,2526,2295,0,1781
1993,1,1,0,2,9348,310,7228,9608,32782,0,0,0,0,10257,0,20576,0,0,1949,3051,2260,0,2479,2906
1993,3,7,0,1,14688,2853,1567,10302,35150,338,34788,0,16335,0,18453,9211,0,18203,7736,0,1402,0,0,3065
1993,3,5,0,2,29265,1338,4777,19688,67175,0,0,31734,0,8294,0,17079,0,5677,4391,0,924,431,2640,4170
1993,4,9,2,5,22094,1730,997,3800,12966,266,27345,1780,0,0,20471,5901,6874,3253,2032,0,0,0,0,2273
1993,1,2,0,4,14745,952,6036,2604,8886,0,0,0,0,2499,0,4016,0,0,2371,0,0,0,0,690
1993,2,4,0,1,4617,1026,5847,16721,57052,0,0,17286,0,9814,0,22482,0,3634,3836,4025,1051,0,2391,3508
1993,2,3,0,2,4989,524,7826,9610,32789,1057,108660,0,71326,0,30075,24307,7259,4201,4281,1944,0,1204,2411,4209
1993,3,7,3,2,20958,2669,1546,27644,94321,0,0,16371,0,13402,0,31162,0,17561,15825,0,1426,1618,4071,7079
1993,4,9,2,2,21095,642,1019,3481,11877,252,25906,813,7988,0,13590,9460,4328,0,1604,0,0,0,1459,1679
1993,2,4,0,2,4481,1235,5458,9917,33838,984,101122,0,74670,0,26452,13356,0,9973,10509,0,884,411,2010,1458
1993,2,4,0,2,22321,762,7052,3068,10468,626,64353,0,64353,2668,0,4308,0,0,3492,0,567,0,0,1907
1993,3,7,3,2,17814,2300,3172,8736,29807,926,95193,0,59931,0,27803,12637,7459,13383,3787,0,0,0,2535,2465
1993,3,5,0,2,12176,1670,3291,6476,22096,0,0,0,0,0,0,13531,0,4334,4231,2827,0,0,0,2413
1993,3,5,0,2,3292,1754,3565,9751,33271,737,75764,0,75618,6592,0,15387,146,7855,3437,0,687,320,1562,3063
1993,1,2,0,2,64932,1052,5286,3378,11526,1369,140733,0,109356,0,24596,9330,6781,0,2196,0,0,384,0,3136
1993,3,7,3,2,16557,2648,1623,18939,64620,0,0,20554,0,5790,0,28256,0,6109,3911,6220,2482,1326,2657,5128
1993,2,3,0,4,12605,739,6575,5794,19769,1678,172498,0,117773,0,43579,15371,11146,0,4398,0,0,0,0,3211
1993,2,4,0,4,14302,589,6959,11096,37860,4500,462600,0,411058,0,37924,23760,13618,8126,5974,4652,0,578,0,6176
1993,1,2,0,3,12189,840,6216,9598,32748,656,67437,0,62439,10344,0,15333,4998,4132,2939,2331,0,961,2417,2122
1993,4,8,0,5,9712,3243,1326,6379,21765,0,0,3627,0,4444,0,4846,0,4368,4480,0,797,526,0,704
1993,3,6,0,2,4793,1882,3177,17004,58018,1510,155228,0,76703,0,26176,38030,52349,12526,7462,4383,0,2167,0,7947
1993,1,2,0,3,20833,622,6210,3776,12884,661,67951,0,50091,0,17860,8958,0,0,3926,0,851,0,1936,1133
1993,3,6,0,1,4102,2295,1770,18173,62006,0,0,9793,0,9156,0,24131,0,15722,3204,0,2592,0,2845,3643
1993,2,4,0,2,15098,1171,5535,7231,24672,1129,116061,0,94887,0,21174,14563,0,4678,5431,0,739,345,2112,1630
1993,1,1,0,2,3711,800,5716,19491,66504,0,0,30996,0,11560,0,21252,0,0,2696,0,2368,895,2251,3883
1993,4,9,0,3,19868,81,5487,22795,77774,0,0,47635,0,4384,0,19678,0,0,6077,2367,980,1573,3152,4416
1993,4,8,0,5,4002,3266,1316,16216,55329,0,0,4516,0,11686,0,25786,0,10009,3332,0,2953,2323,3720,5919
1993,4,9,2,5,8277,1404,2515,1857,6336,344,35363,0,8568,0,20557,2847,6238,1893,1596,0,0,0,0,522
1993,3,5,4,2,27856,2976,716,9095,31032,168,17270,7644,0,0,12623,13483,4647,4287,5618,0,0,0,0,1030
1993,3,5,4,4,24356,2438,1423,9939,33912,0,0,7366,0,6659,0,15780,0,0,4107,0,2008,440,0,2236
1993,2,3,0,2,43142,504,7348,15188,51821,902,92726,0,66261,0,26465,36532,0,4279,11010,2949,1541,2576,4126,5271
1993,3,7,3,2,19645,2667,2473,45328,154659,1202,123566,0,55033,0,31757,101507,36776,44105,9047,5286,3044,4552,12576,15818
1993,3,7,0,2,18632,1829,4178,20666,70512,1271,130659,0,82519,0,37708,40226,10432,20901,9385,0,0,0,5334,12157
1993,3,5,0,3,6838,1912,4328,13550,46233,0,0,20659,0,5079,0,10074,0,5234,5187,0,724,0,2332,1187
1993,2,3,0,2,43142,633,6509,18761,64013,1297,133369,0,98359,0,25162,48972,9848,4992,10049,4801,0,1398,0,9117
1993,2,4,0,1,19690,877,6271,1994,6804,1148,118014,0,81581,0,29431,2403,7002,3179,1222,0,0,0,0,739
1993,3,7,3,2,19023,2452,2245,4041,13788,0,0,0,0,0,0,10016,0,0,3772,2520,0,0,0,1913
1993,4,9,0,2,11116,128,4650,10732,36618,0,0,17438,0,8596,0,8239,0,0,2345,0,844,393,1919,1091
1993,3,5,4,2,5994,3263,939,11199,38211,397,40812,0,21163,0,19649,21087,0,12568,4556,0,1360,1092,2746,3825
1993,3,7,0,4,5115,2547,1602,5734,19564,0,0,6638,0,2103,0,4770,0,3611,2442,0,601,0,0,1821
1993,4,9,2,2,17755,692,975,5621,19179,818,84090,0,22557,0,21591,17011,39942,0,2168,0,643,516,0,2167
1993,3,6,0,5,6529,1425,4204,6716,22917,0,0,7051,0,5305,0,6699,0,0,3862,0,764,0,0,3366
1993,2,4,0,2,15410,583,7193,4894,16698,0,0,0,0,4240,0,10084,0,0,2374,4243,769,0,0,1218
1993,3,6,0,2,4872,2041,3085,17291,58997,0,0,20860,0,4456,0,17688,0,11171,4822,4097,680,448,2189,3237
1993,1,2,1,5,15068,1605,4534,2175,7421,30,3084,0,0,0,0,4167,3084,0,3254,0,0,0,0,1384
1993,4,9,0,2,10993,143,7681,16480,56230,0,0,0,0,15237,0,35088,0,674,5231,9131,1523,0,3463,7666
1993,3,5,0,3,3900,1315,4891,22578,77036,0,0,25931,0,16982,0,21252,0,7312,5559,0,1805,686,3351,3624
1993,1,2,0,2,10478,897,6088,8180,27910,27,2776,0,0,0,0,19843,2776,1589,6478,0,0,0,3553,4245
1993,2,3,0,2,9470,355,8821,6105,20830,1525,156766,0,118138,0,38628,18701,0,0,2129,5276,1123,0,2267,1197
1993,1,2,0,5,10218,1214,4820,1213,4138,720,74026,0,52916,0,15873,2080,5237,0,2058,0,0,0,0,310
1993,2,4,0,3,7418,1327,5247,9365,31953,1050,107940,0,75780,0,28701,17824,3459,11186,2943,0,2249,493,0,3725
1993,4,9,2,2,25347,994,1140,4084,13935,469,48213,0,22463,0,19044,6964,6706,0,6971,0,841,391,0,663
1993,3,5,0,2,29265,1424,4716,15000,51180,1247,128192,0,92564,0,20864,36564,14764,5550,9066,6498,2455,1311,0,8218
1993,3,5,4,5,21564,3025,485,11034,37648,0,0,4215,0,5907,0,10677,0,11277,5572,0,2059,1100,0,1982
1993,2,4,0,2,15536,1158,5576,30967,105659,0,0,38001,0,11420,0,40062,0,9231,6945,0,1229,572,3510,7836
1993,3,7,3,2,19645,3043,2310,29093,99265,0,0,19590,0,15563,0,30466,0,14455,19191,0,1663,0,3368,5855
1993,4,8,0,2,14091,3302,1302,16061,54800,0,0,9621,0,10071,0,25758,0,0,9350,3244,1191,1782,2854,4776
1993,1,1,0,4,6323,925,5495,2786,9506,1706,175377,0,134144,0,33151,6130,8082,0,3376,0,0,0,0,1205
1993,3,6,0,2,8511,1405,4554,15910,54285,2312,237674,0,171907,0,51925,34657,13842,14849,4779,0,0,0,4762,7149
1993,2,3,0,2,17193,1249,5475,7523,25668,452,46466,0,9572,0,35845,17965,1049,4020,3683,3022,2148,471,0,3174
1993,2,3,0,2,23952,1022,6040,6080,20746,1603,164803,0,136789,0,20996,10395,7018,4215,6136,2607,0,0,1551,1789
1993,3,6,0,2,6922,2032,2989,6946,23700,1435,147518,0,147518,7533,0,12669,0,1178,2320,1942,889,0,1279,2140
1993,1,2,0,2,15062,960,5785,9486,32366,0,0,0,0,0,0,27495,0,0,4871,4603,2845,0,2487,3603
1993,2,3,0,2,4156,898,5627,6889,23505,808,83062,0,62916,0,20146,11410,0,9205,2890,0,737,0,1677,3482
1993,1,2,1,5,13670,1184,4829,2253,7687,0,0,0,0,0,0,5630,0,0,2057,0,1639,0,0,1019
1993,3,7,0,2,18632,2250,3268,8692,29657,786,80801,0,51289,0,22814,10291,6698,11673,7693,3812,0,0,0,1292
1993,2,3,0,4,14591,931,5773,2326,7937,990,101773,0,65150,0,29470,5268,7153,0,2669,0,0,0,0,2383
1993,1,2,0,5,8978,874,6052,1169,3988,439,45161,0,26429,0,18732,2667,0,410,911,0,509,0,0,456
1993,1,1,0,5,11629,883,5609,2011,6861,581,59741,0,40795,0,14336,2269,4610,1999,2593,0,0,0,0,707
1993,3,5,4,2,20445,3634,328,11014,37580,0,0,4651,0,2504,0,12089,0,11233,7103,0,1111,345,2111,3217
1993,2,3,0,2,7817,654,6767,8449,28828,803,82538,0,62193,0,17488,21197,2857,3697,3934,2228,2185,1985,0,4222
1993,1,1,0,2,9980,886,5742,6381,21772,1945,199946,0,153935,0,39685,16595,6326,0,5177,0,957,0,0,4267
1993,2,3,0,4,16723,806,6307,8986,30660,0,0,11592,0,9246,0,7047,0,856,1919,0,2284,0,0,777
1993,3,5,0,4,11370,2009,3157,17831,60839,0,0,17753,0,9200,0,15897,0,11607,6382,4378,2391,0,2559,1274
1993,1,2,0,2,30413,538,6494,17570,59949,0,0,0,0,17173,0,31722,0,4202,6852,2817,3452,479,2934,3258
1993,1,2,1,5,13670,1250,4783,3013,10280,107,11000,0,0,0,0,7448,11000,0,2832,0,0,0,0,2235
1993,1,2,0,2,21099,1237,4730,12825,43759,1146,117809,1413,90062,0,21853,20294,5894,13575,8477,0,0,520,2539,8263
1993,1,1,0,3,13197,665,6417,3921,13378,1334,137184,0,104852,0,26306,10026,6026,0,3352,0,0,909,1823,1816
1993,3,5,4,2,5009,2549,1454,18480,63054,0,0,11270,0,11057,0,27036,0,8164,5527,4752,1423,542,3318,2402
1993,2,3,0,2,3742,243,9382,5320,18152,0,0,941,0,0,0,15006,0,0,2205,1846,0,0,0,1921
1993,2,3,0,2,4156,1156,5354,6619,22584,416,42765,0,26007,0,12127,16289,4631,3158,3137,3661,0,404,0,1926
1993,3,5,0,2,18164,1312,4900,33057,112790,0,0,38327,0,14442,0,39087,0,17583,3351,7823,1404,1008,2020,5130
1993,3,5,4,2,7067,3186,550,16570,56537,0,0,5283,0,8052,0,23364,0,15060,4778,0,1177,448,2743,4157
1993,1,2,1,2,17925,594,6913,6754,23045,911,93651,0,65634,0,22717,13272,5300,5228,4545,0,806,0,2302,3332
1993,2,3,0,2,26021,716,6719,8830,30128,1709,175685,0,134945,0,32697,24938,8043,0,5190,3857,0,0,3469,3621
1993,3,5,4,4,7939,2424,1431,17712,60433,0,0,12277,0,6447,0,17811,0,16844,7054,0,1148,757,3694,2758
1993,3,6,0,2,17285,1579,4454,32597,111221,0,0,34348,0,15065,0,37431,0,16599,7778,5023,1733,0,8006,6096
1993,1,2,1,2,18140,850,5548,4463,15228,1253,128808,0,103908,0,19548,11223,5352,1260,2745,0,0,335,0,1529
1993,4,9,0,2,12735,82,5424,18621,63535,0,0,26863,0,10508,0,23473,0,0,2691,2253,997,2357,2847,4100
1993,3,7,0,2,6961,2494,1837,27354,93332,0,0,22235,0,13031,0,34948,0,18766,4352,0,1790,1437,4794,7586
1993,4,8,0,2,13292,434,6431,7656,26122,1392,143098,0,112067,0,31031,20747,0,0,5375,2957,1658,886,2228,2786
1993,2,4,0,2,16381,558,7936,11057,37726,0,0,0,0,12248,0,19147,0,2107,4224,2928,1169,0,2725,3231
1993,3,6,0,1,6522,1728,3227,6968,23775,720,74016,0,43366,0,23949,9265,6701,7134,7376,0,0,0,0,2293
1993,1,2,1,4,8309,662,7025,16115,54984,0,0,29529,0,9416,0,11478,0,0,4561,0,1205,0,0,2084
