Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
2001,1,1,0,2,19026,769,5549,14918,50902,958,98593,5186,2081,0,5595,7338,11486,0,26483,0,0,98593
2001,3,7,0,2,28750,2374,3348,14159,48310,661,68020,4470,2242,0,3487,17106,0,0,27717,0,25229,42791
2001,4,9,0,2,14510,4912,0,5625,19192,0,0,0,0,0,3509,0,6240,0,9443,0,0,0
2001,1,1,0,2,32819,671,5978,52708,179840,4629,476324,16388,6592,7484,28278,28084,0,2419,121059,17632,68510,390182
2001,4,9,0,2,10564,4912,0,8167,27867,0,0,3320,0,0,4808,2701,5792,0,14566,0,0,0
2001,4,9,0,2,10564,4912,0,4352,14849,0,0,0,0,0,2744,0,5022,0,7083,0,0,0
2001,4,9,0,2,10564,4912,0,5973,20380,0,0,0,0,0,6351,0,7571,0,6458,0,0,0
2001,4,9,0,2,10564,4912,0,7524,25672,0,0,1832,0,0,8000,3791,0,0,13881,0,0,0
2001,3,7,0,2,23904,2078,3287,9011,30746,1276,131339,0,676,6399,5502,6849,0,1317,17078,14429,31802,85108
2001,3,7,0,2,104969,2078,3287,9757,33290,0,0,2313,0,0,4020,5994,3047,9507,10722,0,0,0
2001,4,9,0,2,10564,4912,0,13012,44397,0,0,2749,0,3307,6743,0,10301,0,27353,0,0,0
2001,3,7,0,2,23833,2078,3287,6995,23865,961,98839,0,1564,0,7895,8448,0,0,7522,6597,12137,80105
2001,3,5,0,2,33497,1536,3163,9265,31612,559,57521,2373,1629,3830,4355,4970,3969,0,18318,5211,0,52310
2001,1,2,1,5,30468,1216,4298,642,2191,78,7986,0,0,0,1206,253,0,0,732,2948,5038,0
2001,1,2,1,2,14360,1251,4242,7595,25914,0,0,5435,0,0,3271,2204,0,0,20439,0,0,0
2001,1,2,1,5,23933,1251,4242,4083,13931,81,8335,0,0,0,2583,2023,0,0,9325,8335,0,0
2001,3,5,0,4,44630,1025,4095,9269,31626,0,0,1576,2337,0,2052,2034,6137,11811,9592,0,0,0
2001,1,2,0,3,22254,714,5631,5215,17794,675,69458,2507,0,2096,2593,0,0,0,15201,3574,11021,54863
2001,3,5,0,1,39672,1463,3241,28357,96754,0,0,9512,3826,2484,6692,12776,21342,13769,42175,0,0,0
2001,3,5,4,5,33640,3458,416,3867,13194,0,0,0,844,0,2207,3983,1833,1198,3973,0,0,0
2001,3,5,4,5,33640,3458,416,2810,9588,0,0,0,0,0,1990,1924,1654,819,3201,0,0,0
2001,3,5,4,5,33640,3458,416,2465,8411,0,0,0,0,0,1757,2665,1460,632,1897,0,0,0
2001,1,2,1,4,32693,1216,4298,6973,23792,0,0,0,0,0,1359,1357,4348,8949,7779,0,0,0
2001,1,2,1,2,23933,1251,4242,2816,9608,1235,127082,0,940,0,2123,586,0,0,6899,11762,20850,94470
2001,1,2,1,5,23933,1251,4242,2769,9448,51,5280,0,0,0,2840,0,0,0,6608,5280,0,0
2001,1,2,1,5,23933,1251,4242,6428,21932,51,5280,0,0,0,3296,4881,0,0,13755,5280,0,0
2001,1,2,0,5,27619,1271,4398,3682,12563,313,32161,0,0,3688,3008,0,0,0,9555,0,7785,24376
2001,1,2,0,2,28587,1271,4398,12250,41797,255,26240,0,0,5844,5871,7644,0,2053,26229,0,26240,0
2001,1,2,0,2,24775,1271,4398,7629,26030,1363,140253,0,1619,0,3670,4889,0,0,17471,4142,19644,116467
2001,3,5,0,3,29189,1072,4394,22991,78445,233,24008,8104,4695,3257,6338,10615,18847,0,42645,4194,0,19814
2001,3,5,0,2,45902,1536,3163,8275,28235,0,0,6171,0,0,4346,0,0,1964,21925,0,0,0
2001,3,5,0,2,40448,1536,3163,4642,15839,831,85510,0,0,3953,3017,2215,0,0,10607,7311,21562,56637
2001,3,5,0,2,34426,1025,4095,6405,21854,0,0,2066,0,0,4095,3197,0,0,14562,0,0,0
2001,3,6,0,2,13763,1206,3568,7672,26177,668,68737,2405,672,0,3145,7207,0,0,15825,11506,21908,35323
2001,1,2,1,5,16347,1251,4242,2143,7313,427,43932,0,0,0,2458,0,0,0,4855,6039,10308,27585
2001,1,2,1,4,16347,1251,4242,3108,10604,630,64827,0,0,0,3034,0,0,0,7570,7436,12692,44699
2001,1,2,1,4,16347,1251,4242,3894,13286,750,77168,0,0,0,3041,1580,0,0,8665,6497,18019,52652
2001,1,2,0,1,19415,704,5263,3881,13243,0,0,0,0,0,3663,1428,3475,0,4677,0,0,0
2001,1,2,0,1,19415,704,5263,4584,15640,0,0,0,0,0,3492,1535,3982,0,6631,0,0,0
2001,1,2,0,4,19820,1271,4398,5759,19650,1400,144021,0,0,0,2988,6163,0,0,10499,13267,25789,104965
2001,1,2,0,5,19820,1271,4398,9082,30988,535,55061,0,2576,0,4339,3516,0,0,23133,7784,13323,33954
2001,1,2,0,5,21885,1271,4398,3448,11765,319,32807,0,0,0,3975,3528,0,0,4262,4008,6861,21938
2001,2,3,0,5,19246,849,5936,2091,7134,294,30300,0,0,0,2565,0,0,0,4569,4007,7035,19258
2001,2,3,0,4,25587,849,5936,3810,13000,353,36324,0,0,0,3187,0,0,0,9813,0,2970,33354
2001,4,8,0,5,13077,5161,1093,10410,35519,0,0,0,0,0,9004,0,11430,2477,12608,0,0,0
2001,1,1,0,3,20665,903,5053,9184,31336,0,0,0,0,0,3030,1101,5920,12494,8791,0,0,0
2001,1,1,0,4,20665,903,5053,7637,26057,0,0,0,0,0,4668,0,3739,12127,5523,0,0,0
2001,3,5,0,2,25280,1356,3377,7854,26798,679,69869,0,0,0,5831,5153,0,0,15814,0,32058,37811
2001,3,5,0,2,25280,1356,3377,6594,22499,618,63592,1594,0,0,3531,6459,0,0,12509,0,17828,45764
2001,3,5,0,2,44662,1133,4591,8055,27484,1499,154247,0,0,0,4131,4750,0,0,18603,15347,27589,111311
2001,3,6,0,2,11469,1315,3649,15530,52988,1220,125538,0,2001,5248,6832,14220,0,1586,30350,6118,25912,93508
2001,3,6,0,2,11469,1315,3649,20981,71587,668,68779,4965,2491,0,6806,14205,13469,0,37107,0,0,68779
2001,3,6,0,2,13890,1797,2620,9195,31373,585,60197,0,2042,0,4997,8923,0,0,17453,0,19598,40599
2001,3,6,0,2,12579,1797,2620,7886,26907,451,46408,2718,1364,0,8383,5633,0,0,12891,0,14867,31541
2001,3,5,0,2,22951,1643,2932,12430,42411,0,0,3085,0,3266,3311,4047,10399,0,24654,0,0,0
2001,3,5,0,2,29755,1422,3175,23989,81850,0,0,4278,2752,0,5680,11801,13041,17398,33930,0,0,0
2001,3,5,0,2,36697,1025,4095,6100,20813,0,0,2462,0,0,3206,4335,3243,0,10029,0,0,0
2001,1,1,0,2,13851,781,5791,12076,41203,0,0,8131,1513,0,6884,5695,0,0,28624,0,0,0
2001,1,2,1,5,20434,1216,4298,5101,17405,240,24679,0,0,0,4037,0,0,3510,9858,4755,8124,11800
2001,1,2,0,3,16358,1225,4148,7665,26153,953,98064,0,0,0,3876,3430,0,0,18847,8663,22747,66654
2001,1,2,0,3,16358,1225,4148,2651,9047,824,84790,0,0,0,1874,0,0,0,7173,11850,20878,52062
