Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
3306,3,7,21,4,7263.07,1496,3405,14267,48679,0,0,19097.64,2607.69,13559.59,7061.02,6353.06,0,0,0
3307,3,5,17,1,9984.58,1569,2830,21146,72150,87,8918,36343.03,5759.68,11613.78,12736.23,5697.28,8918,0,0
3308,2,4,12,2,3149.36,4619,1100,6205,21171,405,41513,10296.82,2154.08,5897.75,0,2822.36,0,12870.36,28642.65
3309,2,3,6,4,20518.27,6063,738,8665,29565,826,84665,22049.3,5827.21,1688.49,0,0,8980.59,27327.66,48356.76
3310,1,2,5,2,15623.27,5460,746,11532,39347,0,0,24643.78,2968.6,3601.75,8132.87,0,0,0,0
3311,1,1,2,5,5795.56,5700,579,7127,24317,0,0,4857.02,2617.47,1045.65,5449.54,10347.33,0,0,0
3312,4,10,26,5,8230.33,1088,1431,2823,9632,2645,271113,5637.09,3085.1,909.81,0,0,99572.23,88749.43,82791.35
3313,3,5,14,2,33021.9,5586,428,13352,45557,502,51455,27924.06,3561.61,647.9,0,13423.43,0,24722.68,26732.32
3314,3,6,19,2,10703.35,3339,1628,8310,28354,0,0,12531.48,1479.33,11290.89,3052.3,0,0,0,0
3315,1,2,3,4,12238.28,4700,1044,2419,8254,511,52378,6946.37,1307.63,0,0,0,3837.46,8208.85,40331.7
3316,4,10,26,2,7264.47,1242,1450,5701,19452,341,34953,15412.67,4039.33,0,0,0,3556.61,16852,14544.4
3317,4,10,26,5,8122.52,1286,715,4611,15733,135,13838,10769.27,4963.74,0,0,0,4787,9051,0
3318,2,4,10,2,4751.97,8418,468,6505,22195,557,57093,17001,3349.35,1844.53,0,0,2932.16,12170.84,41990
3319,3,7,21,5,6932.01,2070,2805,12723,43411,0,0,15384.66,2023.67,7657.55,11265.86,7079.26,0,0,0
3320,2,4,10,2,5388.83,6108,895,19170,65408,2564,262810,43021.6,18632,3754.4,0,0,41854.49,45547.36,175408.15
3321,1,1,2,2,3991.1,5767,576,10409,35516,0,0,27924.98,3020.55,3084.55,0,1485.93,0,0,0
3322,2,4,12,2,3286.37,4214,1521,6679,22789,679,69598,14216.35,2823.14,5749.51,0,0,0,21181.13,48416.87
3323,2,4,10,2,8338.29,6518,658,18142,61901,0,0,21821.69,1869.49,1548.88,11962.4,24698.54,0,0,0
3324,1,2,3,2,7215.88,4818,858,8922,30442,102,10455,24746.46,3068.74,2626.8,0,0,10455,0,0
3325,4,10,26,3,7085.26,2624,178,2465,8411,298,30545,2982.22,1613.83,0,0,3814.95,3424.26,27120.75,0
3326,1,1,2,2,4286.3,5838,617,9687,33052,25,2563,23368.48,5839.34,3844.19,0,0,2563,0,0
3327,4,10,26,2,7169.31,1260,1340,19952,68076,970,99425,49977.79,9317.65,0,0,8780.56,39256.36,60168.64,0
3328,2,4,12,2,3329.69,5336,928,5711,19486,980,100450,13989.17,4880.34,616.49,0,0,0,25243.27,75206.73
3329,2,4,12,3,3079.47,4934,1082,8639,29476,611,62628,16238.68,4361.83,8875.5,0,0,0,13046.44,49581.56
3330,2,4,10,2,4751.97,9377,141,15513,52930,1496,153340,40355.41,9281.03,0,0,3293.56,11033.98,24992.3,117313.72
3331,2,3,6,4,20518.27,6185,708,9826,33527,1476,151290,28896,4630.7,0,0,0,10903.88,49099.55,91286.58
3332,1,2,4,2,12550.18,5398,760,7022,23959,946,96965,16255.34,4969.63,2734.03,0,0,5429.5,29979.73,61555.77
3333,3,5,17,2,8646.42,1458,2712,13206,45059,25,2563,17368.56,6618.61,12305.38,4791.11,3975.34,2563,0,0
3334,1,2,3,2,7955.39,6575,456,13632,46512,1431,146678,36823.51,3507.38,6181.12,0,0,26059.91,22009.24,98608.85
3335,2,4,10,2,4232.49,7249,544,16004,54606,1381,141553,44725.23,6672.18,3208.58,0,0,4234.75,33792.08,103526.17
3336,3,5,14,2,12952.41,4205,1488,31374,107048,0,0,65826.43,7804.01,10384.12,18728.76,4304.68,0,0,0
3337,1,2,3,2,7229.75,5370,586,6972,23788,0,0,16988.95,2331.44,1165.24,0,3302.37,0,0,0
3338,4,10,26,2,8802.19,871,1704,5997,20462,435,44588,14679.73,2825.06,1647.29,0,1309.92,10349.11,21343.62,12895.28
3339,4,10,26,2,7313.36,2510,1059,6317,21554,320,32800,16788.35,2410.81,2354.85,0,0,0,13923.88,18876.12
3340,3,5,17,2,6989.1,121,4548,10247,34963,0,0,11723.76,4071.76,14644.52,4522.96,0,0,0,0
3341,4,10,26,1,7664.17,1412,1915,8473,28910,605,62013,21248.3,2246.73,4414.95,0,1000.02,27064.03,16744.88,18204.09
3342,1,2,4,4,14390.54,4631,917,5587,19063,650,66625,9021.75,6440.59,3600.67,0,0,11602.36,14329.28,40693.36
3343,3,7,21,2,7788.02,2213,2911,5135,17521,517,52993,9613.95,5230.06,2677,0,0,10552.48,13914.33,28526.2
3344,1,2,4,2,12872.7,5507,722,7865,26835,0,0,21983.48,4433.97,417.55,0,0,0,0,0
3345,4,8,22,2,4912.4,5632,664,4769,16272,728,74620,13044.47,2223.59,0,0,1003.82,0,22860.16,51759.84
3346,3,5,16,5,17909.78,2450,2148,7269,24802,0,0,10719,2154.09,4624.69,3795.12,3509.11,0,0,0
3347,3,5,15,2,7707.69,3053,1779,18131,61863,0,0,27166.34,5862.15,10098.64,10727.66,8008.22,0,0,0
3348,3,7,21,5,9154.92,2294,2526,9003,30718,0,0,9810.46,3162.14,3797.25,5923.67,8024.48,0,0,0
3349,3,5,16,2,16371.42,3602,1517,29468,100545,537,55043,51714.14,5597.72,20086.27,23146.86,0,0,0,55043
3350,3,5,17,5,6789.66,1617,2831,8811,30063,0,0,13030.47,1988.91,5527.47,5126.65,4389.5,0,0,0
3351,3,5,15,5,7737.81,2776,1972,5811,19827,0,0,5425.8,1785.28,2877.71,4843.36,4894.85,0,0,0
3352,4,10,26,2,7305.36,1133,1952,8046,27453,232,23780,11291.56,4927.66,11233.78,0,0,8180.51,15599.49,0
3353,2,3,7,2,15220.06,5717,752,8750,29855,922,94505,24719.31,2183.16,2952.54,0,0,0,29378.71,65126.29
3354,1,1,1,2,6373.55,5989,635,19364,66070,0,0,52615.3,1963.68,598.67,7556.05,3336.3,0,0,0
3355,2,4,12,2,2935.68,5217,938,11355,38743,707,72468,32299.13,3269.02,3174.85,0,0,0,24086.92,48381.08
3356,2,4,11,5,5104.17,5258,1055,3601,12287,220,22550,5428.31,4459.81,2398.88,0,0,0,4333.36,18216.64
3357,2,4,10,2,4751.97,7787,461,7197,24556,1592,163180,20316.75,2226.8,407.01,0,1605.45,11882.29,22581.55,128716.16
3358,2,4,12,2,3242.22,4807,1158,3946,13464,586,60065,8520.27,2958.91,1984.82,0,0,0,16315.11,43749.9
3359,1,2,3,3,5746.67,4824,1005,10787,36805,888,91020,22050.23,7066.91,7687.86,0,0,15694.54,23849.65,51475.81
3360,2,3,8,5,15760.33,6866,406,2550,8701,61,6253,4326.94,3882.26,491.8,0,0,0,6253,0
3361,2,4,10,2,5756.09,8534,346,12900,44015,0,0,31788.71,8852.04,3374.24,0,0,0,0,0
3362,3,5,17,2,9242.95,1299,3068,27482,93769,0,0,69657.39,7270.77,4288.37,0,12552.47,0,0,0
3363,4,8,22,1,5939.33,8852,27,6729,22959,706,72365,17339.4,5619.55,0,0,0,730.38,17354.11,54280.51
3364,1,2,3,4,8274.02,4514,1083,5222,17817,49,5023,9506.44,6616.62,1693.95,0,0,5023,0,0
3365,3,5,16,2,14549.08,3702,1302,23577,80445,0,0,39049.1,6709.78,8819.7,11305.12,14561.3,0,0,0
3366,4,8,23,2,13155.68,7335,329,6312,21537,865,88663,17990.45,2779.88,766.67,0,0,0,19380.99,69282.01
3367,4,8,22,4,6364.18,5874,497,2658,9069,564,57810,3899.93,2330.8,211.58,0,2626.68,4387.73,3910.81,49511.46
3368,4,9,24,5,10807.79,1032,3845,12259,41828,0,0,18192.11,4595.89,11382.97,7657.03,0,0,0,0
3369,3,6,19,2,7549.59,3773,1282,14462,49344,25,2563,21609.42,4433.23,5238.14,7993.9,10069.31,2563,0,0
3370,3,5,14,5,15767.77,4787,956,6070,20711,416,42640,8087.5,4424.65,1317.26,6881.58,0,0,0,42640
3371,2,4,10,2,4751.97,8335,382,9556,32605,626,64165,26682.69,5266.07,656.25,0,0,13015.93,13210.57,37938.5
3372,2,4,11,2,4634.22,6386,818,8338,28449,480,49200,18594.03,3894.3,5960.67,0,0,0,9482.07,39717.93
3373,3,7,21,2,7784.79,1552,3284,9311,31769,458,46945,15825.47,3862.3,5805.43,0,6275.79,13210.6,33734.4,0
3374,3,7,20,2,14249.48,3702,1376,8965,30589,662,67855,17191.46,7097.08,6300.47,0,0,0,16311.76,51543.24
3375,3,7,21,5,8862.19,2071,2804,4773,16285,61,6253,5156.28,2232.53,3169.94,0,5726.25,0,6253,0
3376,2,4,10,2,4751.97,8201,507,4559,15555,531,54428,11534.42,4020.58,0,0,0,2835.1,11767.96,39824.94
3377,2,3,6,2,15560.51,4718,1318,20117,68639,0,0,33785.96,7963.98,4868.76,9025.82,12994.48,0,0,0
3378,4,9,24,2,12280.59,1016,4462,10701,36512,215,22038,13283.08,3252.28,19976.64,0,0,1267.02,10129.09,10641.89
3379,4,10,27,2,8236.3,5155,315,15763,53783,0,0,29347.74,3706.61,958.58,9249.32,10520.75,0,0,0
3380,4,10,26,5,10491.68,1326,522,2643,9018,233,23883,5284.73,3732.98,0,0,0,1278.41,6836.74,15767.86
3381,2,3,7,2,21159.96,6283,542,4755,16224,774,79335,10942.74,1967.59,1905.61,0,1408.06,0,20907.08,58427.93
3382,3,7,21,5,7634.59,1222,3244,12009,40975,0,0,15206.43,5699.51,3478.36,10692.06,5898.65,0,0,0
3383,3,5,17,5,7872.64,131,4610,6554,22362,0,0,4796.75,2295.67,11352.99,2779.88,1136.71,0,0,0
3384,2,3,6,5,24081.28,4474,1362,4750,16207,267,27368,10846.75,2516.2,2844.05,0,0,0,1984.67,25383.33
3385,2,3,7,2,14563.96,5820,591,7376,25167,1282,131405,17917.2,2470.62,690.48,0,4088.7,0,39145.21,92259.79
3386,3,7,21,2,8530.07,2038,2831,15975,54507,0,0,16346.52,3877.09,19193.16,5461.34,9628.89,0,0,0
3387,4,8,22,2,5955.06,8922,51,4525,15439,1039,106498,11730.99,3708.01,0,0,0,4532.44,14222.48,87743.08
3388,1,2,5,5,16295.25,5544,671,8123,27716,1859,190548,21015.11,4813.89,1887.01,0,0,26948.96,50974.47,112624.57
3389,2,3,7,2,16521.91,6183,566,51175,174609,0,0,90742.39,10984.72,3435.84,24761.62,44684.43,0,0,0
3390,1,2,3,1,8233.69,5035,730,7479,25518,35,3588,9572.67,4649.46,2626.87,6680.34,1988.67,3588,0,0
3391,3,6,19,2,10959.04,3526,1604,18096,61744,0,0,18912.32,5130.15,11184.97,9450.69,17065.87,0,0,0
3392,1,1,1,3,4027.46,5703,583,3695,12607,770,78925,7932.06,3757.9,917.04,0,0,13168.66,19081.75,46674.59
3393,3,5,13,2,9836.37,4434,1012,11366,38781,0,0,25007.96,3559.58,0,10213,0,0,0,0
3394,4,10,26,5,8994.79,1197,1137,4939,16852,0,0,6273.98,1189.17,0,6631.45,2757.41,0,0,0
3395,3,5,17,2,1380.99,281,4079,22409,76460,0,0,30684.09,3681.46,29324.62,9009,3760.83,0,0,0
3396,2,4,12,2,2778.26,4374,1472,5841,19929,453,46433,11141.01,4021.65,4766.34,0,0,7063.63,12039.74,27329.64
3397,2,4,10,2,5621.06,5819,761,3925,13392,1018,104345,9177.59,1435.43,2301.87,0,477.12,5368.14,26576.89,72399.97
3398,4,10,26,4,6822.47,1109,1225,4511,15392,420,43050,12593.39,2798.61,0,0,0,6380.48,10723.45,25946.07
3399,3,7,21,2,9979.94,1299,3368,4525,15439,514,52685,6479.28,1433.88,7525.85,0,0,3481.09,16542.54,32661.37
3400,3,7,21,2,8345.55,1276,3432,13485,46011,337,34543,17716.74,2496.43,25145.73,0,652.11,5460.36,17640.25,11442.4
3401,1,2,3,2,7215.88,4608,1052,8547,29162,60,6150,19353.41,6487.04,3321.55,0,0,6150,0,0
3402,2,3,8,2,13117.18,6450,477,10694,36488,1457,149343,31268.3,5219.7,0,0,0,30749.42,35560.97,83032.62
3403,4,10,26,5,6992.06,1027,671,2194,7486,119,12198,5631.4,1854.6,0,0,0,0,12198,0
3404,1,2,3,2,12095.04,6354,522,1530,5221,549,56273,3285.8,1502.22,432.51,0,0,5894.76,12247.67,38130.57
3405,2,3,8,2,13117.18,6824,375,15208,51890,1640,168100,40947.26,5818.65,5124.09,0,0,24377.75,47343.24,96379.01
3406,1,1,1,4,6356.48,5591,612,7831,26719,985,100963,19330.3,5501.74,1886.96,0,0,14360.09,31117.94,55484.96
3407,3,6,19,2,12026.38,4165,1265,15520,52954,744,76260,31831.36,4165.26,11301.11,0,5656.27,0,22733.33,53526.67
3408,3,5,17,2,5878.4,796,3564,25451,86839,0,0,61591.06,5054.43,0,14237.29,5956.22,0,0,0
3409,2,3,9,2,9645.29,8521,267,12842,43817,0,0,29292.78,3101.23,1125.13,10297.86,0,0,0,0
3410,1,2,3,5,7715.6,4551,1094,5440,18561,715,73288,13987.65,2595.28,1978.07,0,0,21449.4,20744.15,31094.45
3411,1,2,5,3,12800.53,5007,866,11002,37539,588,60270,20763.42,3643.14,5250.55,7881.9,0,2935.67,0,57334.33
3412,1,2,5,2,12454.4,5258,795,7054,24068,753,77183,17874.17,1869.58,2677.12,0,1647.14,0,19197.51,57985.49
3413,4,8,22,2,5144.74,5584,677,8148,27801,420,43050,11234.11,3922.58,0,0,12644.31,13171.82,29878.18,0
3414,4,9,25,2,12018.12,4401,1374,6098,20806,0,0,7560.04,1352.37,3424.42,2870.71,5598.46,0,0,0
3415,3,5,17,3,4552.89,583,3894,11721,39992,0,0,22516.61,853.35,8068.74,5975.22,2578.08,0,0,0
3416,1,2,4,2,15489.58,4579,1002,29294,99951,1630,167075,63097.99,18886.09,15497.82,0,2469.1,37684.05,39005.38,90385.56
3417,1,1,1,2,6471.9,6099,608,2483,8472,1292,132430,4734.07,1058.46,757.72,1921.75,0,20281.22,0,112148.79
3418,1,2,3,5,10062.81,4897,833,5306,18104,724,74210,12056.88,4386.69,1660.43,0,0,16599.42,15879.86,41730.72
3419,1,1,2,2,3991.1,5768,576,6420,21905,0,0,16432.98,2807.7,817.83,0,1846.49,0,0,0
3420,3,7,21,2,8710.49,4433,1185,13493,46038,799,81898,34657.16,5266.59,6114.19,0,0,0,26847.92,55050.08
3421,1,2,4,4,17760.97,4705,1043,8914,30415,1035,106088,18338.99,5228.88,6847.14,0,0,13041.2,35259.98,57786.82
3422,1,1,2,2,4197.34,6085,556,4744,16187,958,98195,14847.94,1339.06,0,0,0,5426.35,25711.23,67057.42
3423,3,7,21,2,8101.63,2305,2421,11793,40238,0,0,16119.23,2350.25,11802.02,5827.5,4139.01,0,0,0
3424,1,1,2,2,4625.22,6020,553,7476,25508,1049,107523,19259.27,2465.43,3783.3,0,0,20930.64,29251.48,57340.88
3425,2,4,11,2,4702.48,4613,1367,10363,35359,1613,165333,24928.45,4002.56,6427.99,0,0,0,43813.8,121519.2
3426,4,10,26,4,6277.22,2433,182,2072,7070,238,24395,3434.98,1106.97,0,0,2528.06,11149.31,13245.69,0
3427,3,5,15,2,7240.78,2638,1952,13374,45632,0,0,20189.82,5560.14,4970.74,5771.32,9139.98,0,0,0
3428,3,5,17,2,6873.74,1129,3048,12164,41504,0,0,10739.34,3817.99,15131.92,6413.45,5401.3,0,0,0
3429,3,5,15,5,8437.95,3105,1310,4376,14931,325,33313,5050.03,2917.54,4567.94,0,2395.49,7992.56,6109.88,19210.57
3430,3,6,19,2,10063.59,3166,1815,12102,41292,1193,122283,14451.57,2789.86,24050.57,0,0,15147.4,37087.92,70047.68
3431,4,10,27,5,12367.41,4806,281,6160,21018,0,0,6560.26,2275.5,0,4333.25,7849,0,0,0
3432,3,7,21,2,7983.08,1855,2935,11230,38317,194,19885,20244.67,3517.17,14555.17,0,0,0,7225.57,12659.43
3433,3,5,16,2,15966.07,3304,1762,10813,36894,853,87433,20945.73,3353.14,12595.12,0,0,16220.62,25201.24,46011.15
3434,4,10,26,2,7620.12,2411,2185,8296,28306,0,0,24266.62,2012.41,2026.97,0,0,0,0,0
3435,3,5,16,2,15551.42,3378,1820,15150,51692,738,75645,24987.48,6351.63,16526.85,0,3826.05,3978.42,21967.4,49699.18
3436,4,10,27,4,13181.18,4638,474,7147,24386,0,0,5921.27,2600.93,0,8562.23,7301.58,0,0,0
3437,1,2,5,2,16272.05,5449,749,11903,40613,0,0,28983.37,1928.3,2783.64,6917.68,0,0,0,0
3438,2,3,8,1,16178.31,6929,337,6035,20591,448,45920,9205.26,3013.99,661.6,7710.16,0,8563.12,0,37356.88
3439,4,9,24,2,10166.72,1042,4185,22198,75740,255,26138,35952.22,5865,33922.78,0,0,7246.28,11012.37,7879.36
3440,1,2,3,5,9909.89,4964,812,10656,36358,115,11788,29828.47,4984.45,1545.08,0,0,11788,0,0
3441,4,10,27,4,12921.65,5740,188,7259,24768,178,18245,10487.73,4927.13,122.24,0,9230.9,0,18245,0
3442,4,10,26,2,7169.31,1236,1494,16216,55329,517,52993,36444.32,5266.17,12691.6,0,926.92,10245.82,20034.2,22712.99
3443,4,10,26,2,7169.31,929,1994,4657,15890,485,49713,11798.76,1782.63,2308.61,0,0,4430.85,19727.7,25554.46
3444,3,7,21,2,7096.84,2117,2803,4723,16115,513,52583,7262.13,1014.03,4126.9,0,3711.94,14322.29,38260.71,0
3445,3,5,17,2,6873.74,1319,2845,12019,41009,0,0,16760.24,3962.25,9256.28,6604.59,4425.64,0,0,0
3446,1,2,3,2,7955.39,7239,241,6913,23587,1036,106190,16514.36,4880.52,771.97,0,1420.15,0,21703,84487
3447,2,3,8,2,13117.18,6537,438,8190,27944,977,100142,22159.19,2790.67,1492.78,0,1501.66,0,27515.45,72627.05
3448,1,2,5,2,17552.96,5260,794,16235,55394,0,0,24831.47,2989.72,5029.92,8151.85,14391.04,0,0,0
3449,1,1,2,5,5753.39,5631,466,2428,8284,441,45203,4675.26,3608.74,0,0,0,0,5298.22,39904.78
3450,1,1,1,2,5862.86,6665,372,10493,35802,0,0,17053.05,6064.97,1395.4,9156.94,2131.53,0,0,0
3451,1,2,3,2,7834.5,7535,235,8164,27856,0,0,24606.27,3038.98,210.76,0,0,0,0,0
3452,4,9,24,2,10545,2066,2537,21546,73515,261,26753,44310.66,6397.11,22807.24,0,0,0,8988.97,17764.03
3453,2,4,12,5,3971.17,4196,1527,5376,18343,455,46638,6953.32,5801.43,5588.25,0,0,2597.54,3086.94,40953.52
3454,3,6,18,2,27186.44,1755,2701,20760,70833,0,0,34473.29,6289.29,13130.16,10722.15,6218.11,0,0,0
3455,3,5,15,2,6506.71,2403,2133,12247,41787,316,32390,22029.89,3597.78,16159.33,0,0,0,10815.3,21574.7
3456,3,7,20,5,16695.13,3656,1849,4718,16098,207,21218,10736.97,4234.37,1126.66,0,0,0,5725.58,15492.42
3457,3,7,21,2,7577.54,2300,2498,13001,44359,615,63038,26920.42,3674.94,13763.64,0,0,5874.98,25416.55,31746.48
3458,3,5,17,2,8263.64,2036,2183,6540,22314,342,35055,14000.71,1845.27,6468.02,0,0,1896.01,11578.07,21580.92
3459,2,4,12,2,3286.37,4235,1514,12878,43940,1240,127100,19905.67,9333.87,14700.46,0,0,9048.2,26860.39,91191.41
3460,4,10,26,2,6858.53,1910,2593,6701,22864,380,38950,15052.73,1742.39,6068.87,0,0,3464.09,12789.02,22696.89
3461,1,1,2,2,4133.56,6386,459,32889,112217,0,0,79065.28,13514.19,16354.91,0,3282.62,0,0,0
3462,3,6,18,2,25503.15,3550,1504,18365,62661,276,28290,33429.21,2934.53,26297.27,0,0,6592.48,6349.21,15348.31
3463,4,10,26,2,6858.53,3002,1956,6361,21704,527,54018,17512.94,3048.28,1142.78,0,0,8939.91,16784.42,28293.68
3464,2,3,6,4,18130.15,4162,1400,7407,25273,1021,104653,16030.15,4828.66,4414.2,0,0,13214.93,38714.88,52723.19
3465,1,2,3,2,7229.76,5069,720,6625,22605,25,2563,18804.14,3022.05,778.81,0,0,2563,0,0
3466,2,4,12,4,3487.09,5017,1065,13660,46608,0,0,22093.42,2800.97,3285.39,7585.98,10842.23,0,0,0
3467,1,1,1,2,11638.26,8200,191,8893,30343,0,0,20726.67,2351.55,0,7264.79,0,0,0,0
3468,2,4,12,2,2673.74,4922,987,29801,101681,0,0,55499.53,5706.95,6190.49,17513.61,16770.43,0,0,0
3469,3,7,21,2,8345.55,1310,3342,20169,68817,546,55965,27710.76,6481.85,34624.39,0,0,10000.24,16253.91,29710.85
3470,2,4,12,2,2935.68,5303,913,11432,39006,1103,113058,20094.91,9933.13,6075.34,0,2902.63,7066.07,29329.85,76662.08
3471,2,4,11,2,3901.34,4877,1300,18225,62184,0,0,31276.63,11670.93,0,7884.64,11351.8,0,0,0
3472,1,2,3,5,7526.24,4783,869,10066,34345,556,56990,27743.73,4754.86,1846.41,0,0,8650.8,20274.93,28064.27
3473,2,4,10,2,4132.53,7757,529,4756,16227,1280,131200,12204.43,3336.34,686.23,0,0,0,34310.6,96889.4
3474,1,2,3,2,7232.63,4968,857,16722,57055,1312,134480,30295.95,13848.73,12910.32,0,0,31539.38,34198.85,68741.77
3475,3,5,15,2,7707.69,3080,1764,41673,142188,60,6150,75373.13,13060.68,19095.7,16663.59,17994.9,6150,0,0
3476,3,6,19,1,11145.47,3673,1422,23415,79892,0,0,39361.94,4862.22,2901.26,15556.2,17210.38,0,0,0
3477,2,4,10,2,4751.97,7038,482,9383,32015,603,61808,26308,3846.04,1860.97,0,0,3521.51,14617.11,43669.38
3478,4,10,27,2,9263.27,5068,256,21836,74504,0,0,37994.32,4953.1,437.93,14739.68,16378.98,0,0,0
3479,2,4,12,2,2969.4,5036,1100,14462,49344,1088,111520,35068.22,6910.74,7365.04,0,0,13971.17,33670.89,63877.94
3480,1,2,3,2,7232.63,5090,820,7510,25624,1476,151290,13262.23,8124.23,2435.63,0,1801.91,31184.59,32408.32,87697.09
3481,3,5,15,2,9217.16,3028,1794,20824,71051,0,0,35674.34,8572.53,11661.41,5412.2,9730.52,0,0,0
3482,3,5,17,2,6004.19,175,4363,14578,49740,0,0,27024.77,2986.97,12271.32,5537.11,1919.82,0,0,0
3483,4,8,22,5,5019.89,5474,700,7545,25744,0,0,10711.14,1706.95,635.34,5741.85,6948.73,0,0,0
3484,3,6,18,2,10560.97,4124,1327,13472,45966,371,38028,37249.19,4544.65,4172.16,0,0,0,13201.84,24826.16
3485,4,8,22,2,6050.4,5603,729,8133,27749,1811,185628,23972.48,3776.99,0,0,0,21646.65,41735.19,122246.16
3486,1,2,3,5,6766.63,4951,846,4407,15037,514,52685,9453.87,4048.84,1534.3,0,0,5802.46,10970.99,35911.55
3487,2,3,7,3,14326.97,5658,633,5665,19329,637,65293,13889.07,5439.93,0,0,0,6901.02,16666.2,41725.79
3488,3,5,17,3,4640.13,629,3558,10126,34550,0,0,11591.35,3569.44,11620.34,4821.32,2947.55,0,0,0
3489,3,5,15,2,19048.04,1747,2501,8767,29913,454,46535,13717.01,2474.06,13721.92,0,0,3990.27,15780.75,26763.98
3490,2,3,7,2,14563.96,5781,601,7655,26119,873,89483,20501.72,2720.13,2897.15,0,0,19682.77,23031.21,46769.02
3491,1,2,3,2,7341.32,5314,667,14303,48802,918,94095,31774.94,8700,3480.83,0,4846.24,24183.38,22267.25,47644.38
3492,1,1,2,5,1853.88,6280,459,2757,9407,0,0,6161.23,2926.48,319.29,0,0,0,0,0
3493,4,9,24,5,10807.79,782,4998,10088,34420,0,0,13295.77,2932.19,9536.52,5350.37,3305.15,0,0,0
3494,2,3,6,2,19177.04,6816,357,5409,18456,877,89893,15770.93,2325.33,359.74,0,0,21511.85,19312.98,49068.18
3495,4,10,26,2,8244.45,2800,420,5302,18090,330,33825,13984.87,1614.89,0,0,2490.24,6709.57,11982.21,15133.23
3496,2,4,10,2,5053.24,8442,344,12794,43653,0,0,25398.65,4383.73,1089.9,10381.14,2399.58,0,0,0
3497,2,4,12,2,2778.26,4218,1519,27565,94052,1847,189318,64179.37,12777.23,0,17095.41,0,50529.46,0,138788.54
3498,1,1,2,5,5830.56,6138,494,6399,21833,0,0,13711.2,2007.34,0,4851.05,1263.72,0,0,0
3499,3,5,13,3,7148.18,3789,1402,13252,45216,0,0,15836.71,4835.08,5535.66,7835.59,11172.96,0,0,0
3500,1,2,3,2,9327.16,6792,333,3288,11219,818,83845,7961.13,2629.48,628.39,0,0,7227.79,14936.84,61680.37
3501,1,2,5,2,17609.88,5227,811,3954,13491,800,82000,7426.82,3330.42,1276.03,0,1457.72,6413.36,16417.11,59169.54
3502,4,10,26,3,5717.72,2219,674,10828,36945,18,1845,22731.48,3958.81,1316.98,6639.32,2298.41,532.6,0,1312.4
3503,3,7,21,1,23813.51,1106,3351,4460,15218,0,0,8184.1,3145.37,0,3888.53,0,0,0,0
3504,4,8,22,3,3474.34,5318,730,5577,19029,471,48278,13052.11,2515.1,1957.57,0,1504.22,0,14646.05,33631.95
3505,3,5,17,1,10147.7,1309,2863,7144,24375,0,0,9684.07,1250.32,7089.19,0,6351.41,0,0,0
3506,1,2,4,2,15489.58,5040,788,10464,35703,560,57400,24937.42,9463.91,1301.68,0,0,13889.86,14498.71,29011.43
3507,1,2,4,2,15489.57,5184,746,19109,65200,2050,210125,44745.51,7438.16,13016.33,0,0,37177.18,73929.27,99018.56
3508,4,9,24,2,7510.48,945,4724,8784,29971,29,2973,12998.73,2071,11997,0,2904.28,831.78,2141.22,0
3509,2,3,6,2,16137.48,6482,613,5755,19636,746,76465,11195.08,5480.29,1200.27,0,1760.37,5651.77,17897.57,52915.66
3510,3,5,17,2,6800.58,262,4252,11314,38603,77,7893,14051.03,4876.7,17411.82,0,2263.46,2132.75,5760.25,0
3511,2,4,10,2,4751.97,7106,468,3780,12897,649,66523,8993.32,3903.68,0,0,0,0,7361.89,59161.11
3512,2,4,12,2,2935.68,5053,984,10106,34482,1027,105268,21004.31,6351.51,7126.06,0,0,12152.48,29915.61,63199.91
3513,1,1,2,4,4738.62,6072,559,3974,13559,277,28393,10977.28,2179.85,401.87,0,0,7735.25,20657.75,0
3514,3,6,19,2,10011.77,3394,1563,8091,27606,0,0,16025.24,4354.34,2018.05,5208.37,0,0,0,0
3515,1,2,3,2,7229.76,5202,700,9018,30769,0,0,24781.7,4452.25,1535.05,0,0,0,0,0
3516,3,5,15,2,6506.71,3156,1660,8277,28241,554,56785,18018.72,2353.53,7133.04,0,735.71,9327.52,16976.59,30480.9
3517,3,5,17,2,6540.32,408,4040,39729,135555,0,0,44334,12441.61,75747.54,0,3031.86,0,0,0
3518,4,10,26,2,7305.37,1124,1964,10901,37194,287,29418,27682.72,4712.66,4798.61,0,0,3023.12,10712.3,15682.58
