Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
45,2,3,9,2,7960.93,7458,388,8429,28760,1014,103935,23246.44,5513.57,0,0,0,16535.7,22320.09,65079.21
46,4,10,26,3,5535.93,1228,1250,2840,9690,383,39258,8159.48,1530.53,0,0,0,10900.51,14296.4,14061.1
47,3,5,14,5,37665.4,4537,904,4369,14907,369,37823,10619.59,3155.08,1132.33,0,0,0,11911.72,25911.28
48,2,4,12,1,8810.31,4773,926,22070,75303,0,0,37683.98,3181.99,4169.24,12927,17340.79,0,0,0
49,3,5,15,2,6861.29,3158,1685,14517,49532,785,80463,28524.51,8084.98,10955.95,0,1966.56,11463.14,26866.22,42133.63
50,1,2,3,5,10252.69,4740,1035,1634,5575,35,3588,2854.97,2720.03,0,0,0,3588,0,0
51,2,4,11,2,5137.6,4660,1352,1572,5364,328,33620,2217.04,650.83,259.99,0,2236.13,0,33620,0
52,3,7,21,3,5524.68,2261,2620,12914,44063,0,0,15235.03,3587.06,10208.63,7199.98,7832.3,0,0,0
53,1,2,3,4,10037.59,4755,877,3685,12573,4,410,3365.14,2826.61,534.96,5846.3,0,410.4,0,0
54,3,7,21,2,7489.17,1398,2844,17752,60570,0,0,20676.69,5548.5,18428.45,10306.07,5610.29,0,0,0
55,4,9,25,2,18613.77,2750,2069,7151,24399,458,46945,17542.55,3507.23,3349.23,0,0,4386.74,14648.49,27909.77
56,3,7,21,2,7535.95,2409,2322,20079,68510,452,46330,36360.38,6974.18,23928.6,0,1246.84,12831.55,16519.15,16979.3
57,3,7,21,2,7535.95,2472,2264,14668,50047,276,28290,35330.33,2596.41,12120.26,0,0,0,10063,18227
58,1,1,1,2,5629.1,5966,579,16129,55032,0,0,41579.01,5682.62,5501.82,0,2268.54,0,0,0
59,2,3,7,2,14563.97,5734,698,4468,15245,512,52480,13946.64,1298.36,0,0,0,3669.66,12253.96,36556.38
60,1,1,1,2,5862.85,6233,514,42687,145648,25,2563,95776.58,7311.11,1615.15,35871.76,5073.4,2563,0,0
61,2,3,7,4,18388.42,5229,896,22657,77306,0,0,37841.16,3218.03,3884.97,17830.78,14531.06,0,0,0
62,3,7,21,2,6905.03,2243,2618,14287,48747,0,0,12403.86,2478.14,11078.41,13030.83,9755.76,0,0,0
63,3,6,19,5,11749.93,3220,1939,8490,28968,0,0,5491.19,2352.77,9160.47,4651.02,7312.56,0,0,0
64,4,8,23,2,9737.42,5829,905,3305,11277,780,79950,8515.87,1980.16,780.97,0,0,3817.49,15845.65,60286.87
65,4,10,26,2,6466.42,1131,1203,8532,29111,494,50635,19393.12,4294.49,1375.84,0,4047.55,26004.76,24630.24,0
66,3,5,17,2,7180.05,138,4528,11649,39746,0,0,15802.96,2948.72,15870.4,3423.76,1700.17,0,0,0
67,4,10,26,5,10168.07,2824,115,4381,14948,100,10250,4622.52,2823.1,0,0,7502.38,0,3431.2,6819.29
68,2,4,10,5,5303.53,9328,357,3070,10475,237,24293,4235.74,1006.98,245.72,0,4986.56,0,24293,0
69,4,9,24,5,5403.9,1077,3731,9398,32066,222,22755,17774.24,3721.59,10570.17,0,0,0,22755,0
