Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
1997,4,9,0,2,31948,5192,76,13258,45236,0,0,3699,433,0,2954,1057,0,5091,21097,16094,0,0,0
1997,2,3,0,3,23799,5564,923,8581,29278,202,20775,2523,295,0,2857,1348,2622,0,11756,12043,0,20775,0
1997,2,3,0,2,18593,6484,529,15585,53176,0,0,5277,0,0,7409,1627,0,18744,0,27023,0,0,0
1997,3,7,3,3,13185,2363,2622,2319,7912,281,28859,0,0,0,3011,0,0,0,0,4901,2910,12205,13744
1997,4,9,2,2,17033,2401,806,4505,15371,790,81133,1422,283,0,3477,0,0,0,0,11894,8458,30097,42578
1997,2,4,0,2,16816,8317,593,4655,15883,511,52480,2334,0,2061,2382,0,903,2690,0,9908,2125,0,50355
1997,2,3,0,1,20236,6044,810,9053,30889,510,52393,2828,0,5635,3623,1885,0,9311,0,17955,0,0,52393
1997,3,6,0,2,13714,4302,886,10720,36577,688,70658,4852,0,0,7016,2967,5173,0,0,24388,0,18140,52518
1997,2,3,0,2,11333,6284,624,10779,36778,600,61620,5873,0,0,3076,1189,0,13089,0,20613,0,0,61620
1997,4,8,0,2,12114,7005,645,13049,44523,449,46112,4806,2294,0,4830,937,2938,14404,0,22351,0,0,46112
1997,4,9,2,2,34065,2313,478,4752,16214,631,64804,0,0,0,4421,0,0,0,0,11793,7104,16698,41002
1997,1,2,1,5,27800,4773,997,4912,16759,522,53607,0,379,0,2845,1059,2541,0,0,11373,0,24207,29400
1997,3,5,0,2,11231,2894,1343,8312,28361,0,0,0,0,4997,7702,0,2229,0,0,18430,0,0,0
1997,3,7,3,5,20168,1418,2834,5198,17736,0,0,0,0,0,3372,494,5105,3120,1012,5127,0,0,0
1997,1,1,0,2,22107,5585,773,2021,6896,681,69939,0,0,0,1439,395,714,0,443,4300,9394,18021,42524
1997,2,3,0,2,20775,6323,536,5322,18159,1136,116667,0,0,1788,1542,0,0,0,0,16617,18853,31550,66264
1997,3,5,4,3,31089,90,5068,7361,25116,0,0,1821,0,0,3152,1036,9516,2468,540,9440,0,0,0
1997,2,3,0,2,14571,7336,359,9295,31715,1608,165142,0,0,0,5208,0,0,0,0,26507,14507,32517,118118
1997,1,1,0,2,9260,5702,679,2527,8622,0,0,1919,0,0,2281,684,0,0,0,6341,0,0,0
1997,2,4,0,2,26699,5360,1113,10619,36232,0,0,3120,0,3639,2311,0,3150,10485,0,20286,0,0,0
1997,1,2,0,2,17889,6597,335,5487,18723,1255,128888,0,0,2390,3788,0,492,0,0,14443,9239,22274,97375
1997,2,3,0,4,24311,6515,684,6824,23283,0,0,0,0,0,1665,1512,1028,3752,11497,5341,0,0,0
1997,1,2,1,5,16471,4919,926,1405,4795,19,1966,0,0,0,2361,0,0,0,0,2434,1966,0,0
1997,2,3,0,2,23139,7770,432,10147,34622,1301,133613,6372,2772,1795,1847,1579,0,0,0,32775,0,40976,92637
1997,1,1,0,4,9314,9866,185,10,34,0,0,0,0,0,13,3,0,0,0,21,0,0,0
1997,1,2,0,2,13591,6703,306,22445,76582,0,0,5562,4503,0,5628,3585,2581,23819,1660,42894,0,0,0
1997,4,8,0,2,11717,7557,555,24532,83703,0,0,7910,2690,5634,3595,1974,3531,15606,23813,37158,0,0,0
1997,3,6,0,1,6438,4858,896,14355,48977,0,0,3870,0,0,2560,2474,5057,13766,0,27594,0,0,0
1997,1,1,0,2,6720,5964,460,6769,23096,0,0,2533,0,0,1661,1031,0,9966,0,11469,0,0,0
1997,3,7,3,2,18786,1593,2717,8410,28695,489,50220,3047,0,4731,5296,0,7400,0,0,15999,3074,9096,38050
1997,1,2,0,3,8495,4562,1149,4651,15869,1111,114100,1637,0,0,1688,0,2015,0,0,12166,5404,17028,91668
1997,3,7,3,2,21304,3484,1672,16141,55073,632,64906,5005,0,2378,8609,2673,12823,0,0,33641,0,16065,48841
1997,3,5,4,2,8796,996,2768,6529,22277,238,24443,0,0,4664,2697,810,3359,0,0,16221,3572,12054,8817
1997,2,3,0,2,38196,6334,816,6868,23434,1570,161239,0,371,0,8427,596,1644,0,0,13363,0,16716,144523
1997,1,2,1,3,27800,4911,930,3445,11755,1300,133506,0,256,0,1992,0,1178,0,0,8585,15102,39277,79127
1997,2,4,0,3,15256,5298,1178,7802,26620,397,40772,2659,388,0,7626,1082,1997,0,0,16997,0,13700,27072
1997,4,8,0,5,15033,1136,4149,8205,27995,0,0,0,0,0,5726,687,8776,3610,1239,8644,0,0,0
1997,3,5,4,2,11622,362,3807,15457,52739,0,0,2757,0,0,6959,883,15643,5261,3030,21846,0,0,0
1997,3,6,0,4,10285,2578,1936,4210,14365,432,44360,0,0,0,2517,0,0,0,0,11848,4589,17058,22713
1997,4,9,0,1,31964,4361,240,10462,35696,0,0,1845,0,0,2354,896,996,3447,17880,11019,0,0,0
1997,4,8,0,2,21199,6669,378,6989,23846,1180,121186,2807,328,0,4200,1499,0,0,0,19646,0,30779,90407
1997,4,9,0,2,13175,4938,131,7601,25935,0,0,2172,1416,1542,4305,579,0,6020,1662,13948,0,0,0
1997,3,6,0,2,10826,1484,2691,8813,30070,568,58334,2485,0,0,2777,826,7591,7508,0,12194,0,0,58334
1997,3,6,0,5,8070,2798,1690,15022,51253,89,9169,0,0,0,4452,0,2934,11776,20790,11301,9169,0,0
1997,1,2,1,2,11120,4481,1149,7109,24256,0,0,2319,369,0,1903,1190,1894,0,0,20459,0,0,0
1997,3,5,0,2,21276,4216,1061,11662,39791,0,0,0,0,4906,10611,1279,4689,0,0,24491,0,0,0
1997,1,2,0,2,13591,7809,164,12379,42236,0,0,2587,0,0,2452,844,0,8019,17652,14113,0,0,0
1997,4,9,2,3,65929,851,2043,9019,30773,265,27216,0,3042,0,2586,0,12491,0,0,15696,5642,14357,7217
1997,2,3,0,4,40281,6522,628,12938,44145,0,0,0,0,3241,2088,1754,989,5273,24647,11148,0,0,0
1997,1,1,0,2,9317,5822,703,5686,19401,0,0,0,0,0,3996,941,932,0,0,14473,0,0,0
1997,2,4,0,2,19071,7227,738,5336,18206,1430,146861,3510,411,0,3089,935,1504,0,0,13613,0,22483,124378
1997,3,6,0,4,11754,4307,1382,5309,18114,640,65728,1988,0,0,1837,0,1306,5941,594,8436,0,0,65728
1997,4,9,2,2,10891,720,1922,7785,26562,492,50528,0,0,0,3722,0,4140,0,3287,15413,12802,27813,9913
1997,1,1,0,2,6720,7335,322,6493,22154,0,0,2276,2299,0,2503,1623,0,0,0,19651,0,0,0
1997,1,2,1,2,22007,6805,503,22961,78343,0,0,4437,3610,0,14077,1475,8147,14128,1654,40337,0,0,0
1997,3,6,0,2,11767,2990,1641,11453,39078,885,90889,0,0,0,14708,0,5874,0,0,18496,6244,23281,61364
1997,4,8,0,3,16143,1546,3360,6077,20735,0,0,0,296,0,3238,0,4672,3138,3968,5719,0,0,0
1997,1,2,0,2,19430,5745,662,6645,22674,0,0,0,0,0,2932,2037,765,8208,0,10769,0,0,0
1997,4,9,2,2,16482,1692,1101,4820,16446,285,29270,0,313,0,4621,0,2713,0,0,9112,5074,10727,13469
1997,2,4,0,2,22422,7500,489,5233,17855,1046,107424,0,0,2133,2797,0,2848,0,0,12210,10673,10323,86428
1997,3,5,0,5,12134,3838,1639,7591,25900,0,0,0,0,0,2949,1981,1207,9313,5572,6859,0,0,0
1997,3,7,3,2,21397,4080,1732,15837,54035,937,96274,4986,0,3477,11627,1657,6232,0,1859,34317,0,16577,79697
1997,2,3,0,2,17826,6101,590,8555,29190,0,0,3384,493,0,4520,0,1172,5930,0,17568,0,0,0
1997,3,7,3,2,24176,1768,2961,18116,61812,23,2362,8624,0,0,3987,0,10077,16427,8626,22695,2362,0,0
1997,4,8,0,2,12915,7952,85,10270,35041,0,0,0,0,0,3223,767,0,5696,17689,8433,0,0,0
1997,3,5,0,2,17321,3659,1033,6137,20939,275,28243,2386,0,0,1746,0,1039,7715,0,10439,3652,0,24591
1997,3,6,0,2,12105,3259,1519,29123,99368,0,0,5003,3262,11081,4756,3362,9446,12826,22345,49995,0,0,0
1997,1,2,1,4,12335,4679,1048,4333,14784,0,0,1642,1821,0,2936,744,0,0,834,11014,0,0,0
1997,3,5,0,3,11742,2382,1737,4584,15641,285,29270,0,0,0,5727,0,0,5783,0,4131,3680,0,25590
1997,4,9,0,2,20977,5099,96,11432,39005,737,75667,4365,0,0,5068,2201,0,8943,0,24994,0,0,75667
1997,1,2,0,3,8560,6197,561,15406,52565,0,0,3043,0,0,4073,716,2679,8247,25523,12043,0,0,0
1997,1,2,0,2,19170,6276,422,8032,27406,1009,103645,3619,423,5812,6171,964,0,0,0,21235,0,19195,84450
1997,3,5,0,4,10264,2411,1721,7353,25088,1050,107863,0,0,5389,3407,0,3625,0,0,18056,10438,38616,58809
1997,3,5,0,2,15724,3147,1453,12391,42279,0,0,6435,0,0,4239,921,2864,12991,1032,21153,0,0,0
1997,3,7,3,5,14103,2587,2404,7544,25740,0,0,0,273,0,1644,983,2924,8791,3016,9365,0,0,0
1997,4,8,0,2,12114,6363,750,4960,16924,757,77744,0,0,3600,1511,0,0,0,0,15413,9337,20890,47517
1997,2,3,0,2,17926,6458,752,9034,30824,696,71479,0,2892,0,3295,0,4246,0,0,23283,11828,19432,40219
1997,3,5,0,4,31141,3943,1245,17390,59335,0,0,3566,2887,0,3211,1163,4698,13449,14907,23070,0,0,0
1997,1,2,0,2,44600,5511,661,20494,69926,0,0,3905,3162,0,9226,1471,9394,15936,0,35370,0,0,0
1997,4,9,2,2,17727,858,2240,8420,28729,822,84419,0,0,0,2666,0,0,0,9893,16170,30594,53825,0
1997,3,7,0,2,32364,3186,1947,7534,25706,865,88835,0,402,3551,7460,0,6205,0,0,12041,10794,19245,58796
1997,4,9,0,2,12022,6029,666,17749,60560,0,0,2457,391,6533,8055,892,931,9468,18497,23609,0,0,0
1997,3,7,0,5,21908,3002,2121,3757,12819,0,0,0,0,0,1561,387,2164,3325,1742,4027,0,0,0
1997,1,2,1,5,7874,7068,462,8729,29783,0,0,0,0,0,3606,1271,1927,5168,12073,7009,0,0,0
1997,1,2,0,2,18733,5036,1022,2885,9844,0,0,2050,0,0,2887,482,0,0,0,6957,0,0,0
1997,4,9,0,2,17391,5114,93,16145,55087,0,0,3849,2510,0,3582,2056,0,7148,18289,26068,0,0,0
1997,2,3,0,2,25295,5877,934,10659,36371,521,53515,4274,0,0,4847,1138,1650,11651,1276,16947,0,0,53515
1997,3,5,0,4,23094,2478,1685,3028,10332,651,66830,0,0,0,2243,0,1657,0,0,6432,6416,22461,37953
1997,1,2,0,4,18488,6519,391,2526,8619,1530,157112,0,0,1568,2878,0,0,0,0,5741,5067,16351,135694
1997,4,8,0,2,19912,3313,1757,5335,18203,490,50323,0,0,0,5936,0,2548,0,0,9719,4676,16815,28832
1997,3,5,0,1,12840,4417,1005,12420,42377,0,0,3118,0,0,4496,1112,0,8156,18166,11559,0,0,0
1997,3,5,0,3,28865,5287,757,10445,35638,1086,111532,8369,0,0,2551,2898,4632,0,0,28455,0,28620,82912
1997,3,7,3,2,15978,1776,2453,15312,52245,958,98387,0,3497,5409,9858,0,13819,0,0,28568,27942,34552,35893
1997,3,6,0,2,15132,1369,2880,19097,65159,0,0,3523,412,1692,7105,1149,13613,11372,8614,24455,0,0,0
1997,4,9,2,2,16482,1186,573,4305,14689,498,51145,1459,171,0,1984,1113,0,0,3078,9627,10407,40738,0
1997,4,9,2,2,16474,5196,235,8768,29916,0,0,1570,1277,0,2663,522,0,5445,10238,11570,0,0,0
1997,3,6,0,1,12005,1622,2465,7546,25747,0,0,0,0,0,1609,0,6314,7899,2258,7667,0,0,0
1997,4,9,2,3,12108,1190,772,3026,10325,832,85492,0,0,0,1226,0,0,0,0,9099,25366,39462,20664
1997,4,9,2,2,9233,1274,892,6774,23113,876,89965,0,0,0,3630,905,2893,0,6886,9704,32733,57232,0
1997,4,9,2,5,28253,935,1076,1630,5560,103,10528,0,0,0,1743,436,491,0,676,2650,0,10528,0
1997,4,9,2,3,16619,1090,1090,6051,20646,528,54226,0,0,0,7310,0,0,0,0,13336,8756,31244,14226
1997,3,5,4,2,15419,752,3132,14697,50147,0,0,0,0,7471,2750,1025,6224,10460,0,30713,0,0,0
1997,2,4,0,2,7879,5134,1419,20885,71260,2795,287046,0,0,4787,12103,0,4946,0,0,54211,28347,45447,213252
1997,2,3,0,2,19833,7976,383,8268,28210,710,72917,4505,0,0,3470,2992,2942,0,0,21798,0,24081,48836
1997,3,6,0,3,9684,4286,1151,25137,85767,0,0,6873,2408,0,6474,2977,8789,16753,19765,33986,0,0,0
1997,3,7,0,5,21908,2882,2225,7412,25290,0,0,0,0,1462,1336,1688,2864,7415,3657,10018,0,0,0
1997,1,1,0,5,10016,5720,742,3683,12567,0,0,0,0,0,2666,0,522,2811,3999,2569,0,0,0
1997,3,7,0,2,21717,3586,1801,13202,45045,538,55253,3973,580,0,8023,1320,6352,0,0,30670,3751,14215,37287
1997,2,3,0,2,39644,6371,797,3172,10823,1983,203654,2099,0,0,1630,0,916,0,0,8277,5962,19274,178418
1997,2,3,0,2,21860,6299,640,3618,12345,1337,137310,0,0,2242,1257,500,1164,0,792,9132,0,18442,118868
1997,3,7,3,2,10445,1501,3088,6262,21366,220,22594,0,0,0,4853,0,7483,0,0,9030,2108,7640,12846
1997,2,4,0,2,13077,8714,525,41472,141502,0,0,0,4043,4160,4679,4193,3901,26774,64665,41483,0,0,0
1997,3,5,0,2,23356,4477,1157,16587,56595,0,0,3311,388,0,3897,882,5975,10478,14647,21598,0,0,0
1997,2,4,0,5,20342,5355,1117,3883,13249,322,33069,0,0,0,2426,828,1792,0,0,9031,0,16062,17007
1997,3,5,0,2,17321,2821,1507,13883,47369,1080,110916,4609,0,6395,5038,3517,6797,0,1377,34157,0,18559,92357
1997,1,2,0,5,12666,5089,876,1854,6326,0,0,0,0,0,2154,613,0,0,973,3199,0,0,0
1997,3,6,0,2,17142,4462,1180,17184,58632,1471,151072,5281,0,4325,11679,0,11187,0,0,35766,9363,35926,105783
1997,1,2,1,5,27800,4636,1137,6345,21649,448,45980,0,0,0,7256,0,3814,0,0,10579,2926,11297,31757
1997,2,3,0,2,11333,6356,590,6520,22246,657,67474,0,0,0,2735,0,0,10187,0,9324,10379,0,57095
1997,1,2,0,5,13146,4909,1066,3407,11625,14,1438,0,0,0,2041,0,1195,0,797,7592,1438,0,0
1997,4,9,2,5,16474,2174,1518,3310,11294,198,20325,0,0,0,2152,982,1308,0,1927,5907,0,20325,0
1997,4,8,0,2,12114,6714,368,5409,18456,651,66858,2711,0,0,2159,884,0,0,0,16297,0,17916,48942
1997,3,5,4,2,19411,309,3708,20906,71331,0,0,5772,363,0,9846,1535,18767,9826,3350,29542,0,0,0
1997,2,3,0,4,20426,7012,423,3387,11557,566,58155,0,0,0,2933,689,1666,0,0,6958,0,8488,49667
1997,3,7,3,2,15978,5424,830,9124,31131,1288,132278,3577,2895,3602,5117,2404,3264,0,0,22750,5523,23622,103133
1997,2,3,0,2,19833,6866,325,15390,52511,1606,164915,0,2647,2087,8904,0,2856,0,0,40751,38209,21522,105184
1997,1,2,1,4,21348,4723,1047,3031,10342,1225,125818,0,0,0,2376,0,824,0,0,7142,13462,29939,82417
1997,4,9,2,3,16619,979,1210,6926,23632,210,21567,0,0,0,6744,0,2269,1023,0,13596,2901,10350,8316
1997,3,7,0,2,16288,1817,2768,12490,42616,998,102495,0,0,9692,3569,0,13044,0,0,26003,26129,35354,41012
1997,3,6,0,2,11622,3492,1229,26943,91930,0,0,6822,3162,3996,4213,2517,3824,18831,24405,40657,0,0,0
1997,4,9,2,2,20774,925,1269,3917,13364,430,44211,2854,0,0,2200,0,0,0,0,11164,5996,19745,18470
1997,1,1,0,3,11359,5648,785,3522,12017,1195,122776,0,0,1646,2327,0,710,0,0,8980,7346,27220,88210
1997,3,5,0,2,19463,4847,908,34847,118898,0,0,3321,485,5979,7123,1675,5578,11346,52727,42124,0,0,0
1997,2,3,0,2,26029,5696,868,12408,42336,2002,205605,2948,2398,5143,6845,2349,4560,0,0,30931,15477,30602,159526
1997,1,1,0,5,15369,5490,722,5896,20117,0,0,0,409,0,2929,1595,0,4688,6159,6341,0,0,0
1997,2,3,0,4,18532,6702,535,3769,12860,1388,142528,0,0,0,1719,0,1753,0,0,9388,31253,36846,74429
1997,1,2,1,2,10521,8557,110,15956,54442,0,0,3043,0,6034,5583,1104,1822,12161,3173,31703,0,0,0
1997,2,4,0,2,24024,7239,584,19958,68096,0,0,3248,474,3418,2880,764,2927,9003,26317,26969,0,0,0
1997,3,5,4,2,23294,274,3955,17257,58880,0,0,2274,0,0,6784,1773,14597,9926,1944,25629,0,0,0
1997,1,2,1,2,26684,4785,984,5598,19100,14,1438,0,356,0,5852,0,2860,0,908,9480,1438,0,0
1997,2,3,0,2,14156,6297,881,10767,36737,0,0,2640,421,5054,6325,1455,5808,0,0,24604,0,0,0
1997,1,2,1,4,22240,4856,911,3463,11816,21,2157,0,0,0,2268,0,2093,0,0,7455,2157,0,0
1997,1,2,0,2,17845,5864,597,7660,26136,0,0,2467,0,2085,1343,997,813,6706,737,16537,0,0,0
1997,1,2,0,5,17954,6141,437,3836,13088,1246,127964,0,0,0,3003,753,0,0,0,10085,13393,28876,85695
1997,4,9,0,2,18033,7300,212,36433,124309,0,0,5935,0,0,8995,3525,1229,19390,50184,44511,0,0,0
1997,3,5,0,2,10997,2886,1360,5987,20428,596,61209,0,0,0,3554,2669,1974,0,0,14900,0,22790,38419
1997,1,2,0,5,16432,4624,1117,1537,5244,368,37794,0,0,0,1496,424,0,0,0,3748,3918,13955,19921
1997,4,9,2,2,11124,2320,1423,2300,7848,413,42415,0,0,0,2534,0,0,0,0,5314,8652,16535,17228
1997,1,2,0,2,12236,5905,550,9948,33943,0,0,2432,1585,1505,4020,648,2007,6595,0,21321,0,0,0
1997,4,9,0,2,12599,6023,444,25600,87347,0,0,9359,0,10678,12276,2200,0,16409,8935,49727,0,0,0
1997,3,7,0,1,19170,1708,2928,24885,84908,0,0,10381,510,0,4557,1643,20758,18029,7564,34000,0,0,0
1997,3,5,0,2,30311,2919,1287,13525,46147,393,40361,3578,419,3912,3911,2006,6312,11941,0,23983,0,0,40361
1997,2,3,0,4,17346,6181,709,6439,21970,0,0,0,0,0,1806,0,1787,5746,8792,3839,0,0,0
1997,2,3,0,5,19449,6237,924,2314,7895,686,70448,0,0,0,1875,546,1041,0,0,4979,0,24505,45943
1997,1,2,0,2,23940,5746,617,5076,17319,1267,130121,0,283,0,4323,0,1651,0,0,11345,18273,29828,82020
1997,2,3,0,2,21248,5827,760,10685,36457,1326,136180,0,0,5037,4078,2641,3551,12667,0,16161,0,0,136180
1997,2,3,0,2,18532,6590,601,9062,30920,1393,143061,0,373,1721,4332,0,0,11030,0,15558,30023,0,113038
1997,2,3,0,5,34653,6823,564,3172,10824,551,56551,0,0,0,2822,1103,0,0,0,8002,0,29671,26880
1997,4,8,0,4,20028,1607,3097,5809,19820,232,23826,0,0,0,7186,0,6547,0,0,6087,2454,8890,12482
1997,1,2,1,2,13900,4861,956,9612,32796,0,0,3274,2651,0,7709,1749,2684,0,0,22403,0,0,0
1997,4,9,2,2,32964,6205,32,6153,20994,975,100132,0,385,1469,4288,0,0,0,0,16706,12084,25687,62361
1997,3,6,0,2,9684,3989,1180,22103,75415,0,0,6755,424,3388,6270,2035,4024,14642,24342,26137,0,0,0
1997,4,9,2,1,16474,2103,1022,3644,12433,0,0,0,0,0,2061,0,0,0,5123,5249,0,0,0
1997,1,1,0,2,10995,6121,618,6850,23372,0,0,0,0,0,5235,0,0,0,0,18137,0,0,0
1997,3,5,0,2,50910,2893,1346,21756,74231,288,29578,4916,3206,5302,6096,2080,16270,10245,0,41620,0,0,29578
1997,1,2,1,5,8172,7042,472,3974,13559,0,0,0,0,0,2144,740,0,3009,5458,2948,0,0,0
1997,4,9,2,5,18102,1586,2022,4165,14211,143,14686,0,293,0,3258,717,3773,0,1760,5420,0,14686,0
1997,1,2,0,3,14867,5033,978,8993,30684,1315,135091,3619,2360,0,2813,1362,6052,0,0,21819,7187,33388,94516
1997,3,7,0,2,26413,1896,2443,14469,49368,157,16124,0,533,4927,4135,857,12481,0,10948,21804,3466,12658,0
1997,1,2,0,5,12689,5190,897,12094,41265,0,0,0,566,0,4806,1287,1893,12990,8228,13348,0,0,0
1997,1,2,1,5,8628,4802,966,1625,5545,36,3697,0,0,0,1026,0,0,0,0,4519,3697,0,0
1997,3,6,0,2,9684,1473,2709,28273,96467,0,0,10512,516,0,5189,4129,12641,20512,8306,49819,0,0,0
1997,1,2,0,3,16773,6322,525,7818,26674,1408,144569,0,0,2928,4671,0,1417,0,0,20586,9824,36562,98183
1997,1,1,0,5,13042,5613,795,5302,18089,0,0,0,0,0,2385,534,1575,3222,6748,4159,0,0,0
1997,2,3,0,5,18739,5882,970,5209,17774,0,0,0,0,0,3505,580,1851,3527,4342,4549,0,0,0
1997,3,5,4,5,11411,116,4643,5978,20397,0,0,0,0,0,4907,1011,7904,0,173,7413,0,0,0
1997,3,7,0,2,18642,2971,1970,14424,49215,1119,114921,6768,2370,3718,5939,2159,8466,0,0,34810,0,41123,73798
1997,1,1,0,2,6720,5890,490,7705,26289,0,0,3668,535,0,4042,1218,0,0,0,22247,0,0,0
1997,1,1,0,4,16863,6346,549,3261,11127,1536,157716,0,0,0,2418,0,0,0,0,8709,15038,24045,118633
1997,1,2,1,2,26684,4717,1054,6728,22955,748,76791,3226,0,0,3529,0,2995,0,0,16431,5873,14473,56445
1997,3,5,0,1,12840,2418,1717,8288,28279,0,0,0,0,0,2104,722,7644,4756,6951,6824,0,0,0
1997,2,3,0,2,19833,6678,378,16205,55291,1514,155488,7381,2585,2324,9993,0,3797,0,0,41501,9311,49986,96191
1997,2,3,0,2,17605,6653,599,43240,147535,0,0,5383,4359,6657,6721,3291,5688,23877,52418,58831,0,0,0
1997,3,5,0,3,30577,4516,1122,5087,17357,40,4108,0,0,5149,2863,0,0,0,0,14494,4108,0,0
1997,3,7,0,2,9307,1801,2832,16033,54704,620,63691,4709,0,5101,9578,0,13577,0,0,31549,7493,27364,28834
1997,4,8,0,2,12114,1470,3693,8376,28579,569,58436,2477,2201,0,7385,2462,0,0,0,21194,0,31580,26856
1997,3,6,0,2,12865,3170,1624,9865,33661,0,0,3959,578,3087,6123,0,1789,5306,0,20443,0,0,0
1997,3,5,0,2,23354,4451,978,22517,76828,0,0,11994,0,0,4549,4063,7190,21111,4890,39088,0,0,0
1997,3,6,0,3,27698,2559,1800,11284,38503,543,55749,3047,445,0,6129,716,7987,0,8982,15405,0,17061,38688
1997,3,5,4,2,16564,866,2807,17398,59362,0,0,0,0,4555,3876,3356,6504,13889,7013,28080,0,0,0
1997,4,9,2,5,22159,1086,1095,3197,10907,210,21554,0,0,0,3659,0,0,0,0,7248,7565,13989,0
1997,2,3,0,2,22689,6526,421,2338,7977,1610,165347,0,0,0,1977,0,0,0,0,6000,4174,16529,144644
1997,1,2,0,3,11472,6527,388,8334,28437,0,0,4381,512,0,7940,1167,564,0,0,19933,0,0,0
1997,2,4,0,2,17237,7750,597,6929,23642,1308,134332,0,0,2963,5689,0,1989,0,0,15964,17559,31054,85719
1997,3,6,0,2,17311,4595,1009,13647,46566,0,0,2314,0,3587,4701,741,2137,5170,20187,14371,0,0,0
1997,3,6,0,4,5878,3310,1458,4693,16013,794,81544,3806,0,0,5328,0,0,0,0,10685,6778,24151,50615
1997,2,3,0,2,20538,6632,604,12596,42978,1189,122110,8366,2931,0,4261,0,0,0,0,38717,7770,34178,80162
1997,3,7,0,5,15336,1796,2304,11032,37641,0,0,2791,407,0,4745,928,7922,9841,2835,12298,0,0,0
1997,3,7,3,5,14103,2671,2322,8226,28067,0,0,0,0,0,1831,1486,5599,9435,1814,9388,0,0,0
1997,3,6,0,2,11337,2722,1596,4891,16688,256,26291,1919,0,1701,3163,451,3468,0,0,10057,0,8079,18212
1997,3,7,3,4,14103,2388,2597,8884,30312,0,0,0,365,0,3226,1263,6611,7838,3671,8966,0,0,0
1997,2,3,0,2,17926,6370,631,5260,17947,1648,169250,0,0,0,3806,0,0,0,1033,13108,17286,46947,105017
1997,4,9,0,5,7372,4572,154,6906,23564,0,0,0,0,0,2863,2668,0,6746,6098,7857,0,0,0
1997,2,4,0,2,17163,8268,713,8197,27968,0,0,2520,0,2703,1741,0,2578,8927,0,14722,0,0,0
1997,3,7,3,2,13431,4146,1723,7885,26904,893,91711,2412,0,0,2114,0,0,0,12911,11879,26950,59744,5017
1997,4,8,0,3,13404,7950,86,14152,48287,198,20335,2737,399,0,1591,976,0,4029,31250,11417,0,0,20335
1997,4,9,0,2,13920,4184,262,19861,67766,0,0,4404,2871,0,4335,2616,635,15187,19875,27734,0,0,0
1997,4,9,2,4,11436,645,2139,2754,9397,210,21567,0,0,0,1930,0,0,0,1680,5787,4979,16588,0
1997,4,8,0,2,12155,1101,4351,20116,68636,0,0,4182,490,0,10844,1114,10745,9108,5247,32692,0,0,0
1997,4,9,2,2,21784,2125,554,4349,14839,429,44083,4037,1106,0,1353,1093,0,0,0,13486,0,20825,23258
1997,3,6,0,2,12741,1568,2553,16247,55435,0,0,2742,437,0,6501,1873,13623,9051,7501,18759,0,0,0
1997,4,8,0,2,9724,1513,3647,18203,62109,0,0,3567,520,0,6861,2229,16316,6574,9661,22697,0,0,0
1997,2,4,0,2,21033,8030,601,5730,19551,1020,104754,3952,0,0,5316,0,1167,0,0,13068,3718,14949,86087
1997,1,2,0,5,10872,6540,384,9756,33286,0,0,4426,0,0,2606,827,406,9753,6640,13881,0,0,0
1997,1,1,0,4,12184,6051,424,4912,16759,715,73428,0,0,0,3917,0,0,8083,0,4759,4221,0,69207
1997,2,4,0,2,15759,5348,1125,11102,37880,1563,160520,3288,0,0,4124,3445,8953,0,0,24803,0,35019,125501
1997,1,1,0,2,8400,7540,306,5116,17456,0,0,0,1827,0,2439,1056,0,0,837,14180,0,0,0
1997,1,2,1,2,15091,6758,520,5830,19892,0,0,1444,0,2292,1950,1215,0,0,2382,15560,0,0,0
1997,4,9,2,2,36334,652,2121,2256,7697,334,34302,0,0,0,2840,549,0,0,0,4857,8273,11774,14255
1997,3,5,0,2,41830,3688,992,4938,16850,0,0,0,0,0,3063,653,4376,3766,0,5645,0,0,0
1997,2,3,0,2,20236,6213,685,11959,40804,1064,109244,4447,0,7899,3835,1451,4838,0,0,32131,5373,17228,86643
1997,1,2,1,5,27800,4754,1010,2384,8135,136,13925,0,0,0,2135,0,922,0,0,5078,4142,9783,0
1997,4,8,0,5,6695,7879,159,10068,34352,0,0,0,426,0,2614,2449,0,10241,9325,12172,0,0,0
1997,1,1,0,2,8359,5894,489,17015,58055,0,0,1962,287,0,3256,1578,3903,8894,18950,23052,0,0,0
