Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric Cooking or Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
1997,4,9,0,3,13251,6049,436,21495,73341,0,0,4403,0,0,4956,1035,682,6303,46397,15003,0,0,0
1997,2,3,0,2,23165,6862,477,7231,24672,1839,188865,0,3164,0,4293,1292,0,0,0,20379,16621,35174,137070
1997,4,9,2,2,22072,1979,624,13386,45673,89,9169,3146,459,0,3627,0,0,12622,12333,17091,9169,0,0
1997,4,9,2,2,17657,1772,704,6568,22410,467,47961,2079,1684,0,1723,783,773,0,5772,14142,0,47961,0
1997,3,7,0,2,16288,1820,2756,19978,68165,490,50323,10859,3693,7247,10718,0,14984,0,0,42463,5609,24065,20649
1997,2,4,0,2,20342,8442,506,5273,17991,1138,116873,1508,300,1387,1799,0,1058,0,0,15134,11786,47069,58018
1997,2,3,0,2,18325,6619,607,10591,36136,0,0,3008,351,1763,2816,982,1409,9415,0,22496,0,0,0
1997,3,6,0,4,5878,3130,1671,8615,29396,309,31750,0,0,0,5980,0,1301,11496,0,10619,6546,0,25204
1997,2,3,0,5,11291,7501,501,1428,4871,597,61322,0,0,0,1934,422,0,0,0,2937,0,15710,45612
1997,2,3,0,2,12952,6077,923,8393,28637,703,72198,3636,0,0,6095,0,1706,0,0,20836,3993,15183,53022
1997,2,4,0,2,6781,7437,512,7216,24621,774,79490,0,0,7820,3169,0,1720,0,0,19732,5277,19941,54272
1997,2,3,0,2,26445,7386,473,12986,44308,1317,135256,4413,0,6414,4124,2186,1711,0,0,38473,9778,21663,103815
1997,4,9,0,5,18040,3958,461,13065,44578,0,0,3950,576,2262,5279,1408,0,5388,12560,21351,0,0,0
1997,3,6,0,2,17791,5080,801,22630,77214,0,0,3729,0,0,5759,1194,2143,8608,42110,18594,0,0,0
1997,3,5,0,2,21276,4425,901,12573,42899,0,0,3707,433,0,3224,2120,1983,13713,1108,22871,0,0,0
1997,3,6,0,2,10516,4315,1129,16098,54926,0,0,2427,0,15240,3649,2042,4407,9426,0,37444,0,0,0
1997,3,7,0,5,43862,3919,1625,15793,53886,0,0,5725,670,0,7298,1078,10398,7381,7810,20999,0,0,0
1997,4,9,2,2,6961,6277,267,15371,52446,0,0,4969,0,4288,3758,4172,0,17080,0,31608,0,0,0
1997,2,3,0,2,34653,6525,718,10788,36809,2313,237545,3583,0,0,3689,0,1721,0,0,31399,14469,63456,159620
1997,3,5,0,2,21894,3133,1480,13018,44417,0,0,0,0,1679,3641,3149,2859,16899,0,21018,0,0,0
1997,2,3,0,1,13222,7254,377,6854,23386,1358,139467,2751,0,0,2134,897,0,9663,0,11589,0,0,139467
1997,1,2,0,2,26834,6724,335,20284,69209,1619,166271,6993,5662,2016,10481,4153,5717,0,0,53011,0,31099,135172
1997,3,6,0,2,11622,4123,1167,18236,62221,0,0,4183,0,0,7334,2696,3975,13514,14676,22722,0,0,0
1997,2,3,0,2,19833,7733,439,7671,26173,1343,137926,0,0,2732,3074,0,3463,0,0,19636,11716,25375,100835
1997,2,3,0,2,17926,5922,635,4310,14706,1046,107424,0,0,0,1705,0,1308,0,926,10767,9503,22739,75182
1997,3,7,0,2,11096,2776,2317,22534,76886,2289,235080,0,0,7286,12631,0,18219,0,2079,43957,40385,51097,143598
1997,1,2,0,5,15297,5182,904,1644,5608,536,55056,0,0,0,1553,443,783,0,0,3272,0,15065,39991
1997,1,2,0,3,6384,4789,1032,2998,10229,1358,139467,0,0,0,3259,0,0,0,0,6970,7543,28110,103814
1997,3,7,0,2,23359,3829,1700,10408,35512,811,83246,2124,2354,5687,6498,962,6484,0,0,22530,0,23294,59952
1997,3,5,0,4,10872,2284,1789,12095,41268,0,0,0,0,3401,4397,1104,6210,9332,5583,15746,0,0,0
1997,3,7,0,2,52122,3639,1722,14057,47962,714,73328,3179,463,2530,2534,2119,9625,10276,0,25527,0,0,73328
1997,3,5,0,2,17321,3753,901,7397,25239,671,68927,0,0,0,9090,0,2125,0,0,14024,4840,18352,45735
1997,1,2,0,5,12684,5118,883,9271,31633,0,0,0,0,0,3282,1565,962,10424,7328,9637,0,0,0
1997,4,8,0,2,13353,7775,328,4745,16190,847,86987,1824,266,797,2004,429,910,2688,0,10588,0,0,86987
1997,3,7,0,2,34282,3179,1952,9147,31210,1213,124575,2614,0,0,2654,0,5275,0,12155,11126,27342,97233,0
1997,4,9,2,5,24424,860,1339,1867,6370,162,16637,0,0,0,1949,547,0,0,2265,2156,4248,12389,0
1997,3,5,4,2,15419,1111,2110,22254,75931,0,0,5177,0,10045,6458,2092,13376,12160,0,43937,0,0,0
1997,3,7,3,2,12782,1503,2788,13224,45120,589,60490,0,533,5670,4955,1716,8811,0,0,31354,11930,24276,24284
1997,3,5,0,5,9987,3629,1279,5869,20023,0,0,0,341,0,3524,0,2275,3742,5190,5292,0,0,0
1997,3,7,3,2,17629,1333,3028,29969,102254,1008,103522,4324,632,3421,11280,1437,29108,0,16094,45772,76490,27032,0
1997,1,2,0,3,17237,4698,1079,19540,66669,125,12850,0,400,0,9497,0,5685,10498,18050,22939,12850,0,0
1997,4,9,0,1,13533,3828,305,21091,71962,0,0,4165,608,1448,3888,1384,0,13631,28676,25767,0,0,0
1997,4,8,0,2,25564,5856,537,21692,74013,0,0,3030,0,3459,4472,1739,1492,16898,24270,26881,0,0,0
1997,3,7,3,2,15978,2100,2645,18371,62682,1104,113381,7667,4998,0,10596,3098,7692,0,0,44394,8068,32541,72772
1997,1,1,0,2,10995,6104,624,7647,26092,0,0,0,0,0,3515,0,2955,8778,0,10844,0,0,0
1997,3,5,4,2,16564,1159,1972,15796,53896,0,0,0,0,0,4980,3511,4858,16249,7055,20754,0,0,0
1997,4,8,0,1,15259,3762,1571,2571,8772,0,0,0,0,0,2490,0,0,0,0,6282,0,0,0
1997,1,1,0,2,15795,5867,500,11677,39842,0,0,0,0,0,4225,1840,0,5453,21152,9012,0,0,0
1997,3,5,4,2,19720,940,2595,24093,82204,0,0,2787,407,4282,12038,1309,15107,12043,6845,36171,0,0,0
1997,2,4,0,4,20342,8309,553,6740,22998,856,87920,2472,0,0,5524,821,912,5180,0,11382,0,0,87920
1997,1,2,0,2,17237,6531,388,11098,37866,838,86063,0,446,0,6146,1436,3648,0,1139,26933,9879,22378,53806
1997,4,9,2,2,21987,1915,1662,11740,40057,0,0,0,2000,1095,5693,578,3822,3261,12612,14669,0,0,0
1997,3,5,0,4,12372,2818,1800,4424,15095,385,39540,0,0,0,2445,0,0,0,0,12650,3930,14198,21412
1997,1,2,1,4,16010,4627,1146,5219,17807,1579,162141,1758,0,0,5754,0,1195,0,0,10858,7870,30386,123885
1997,2,3,0,5,23800,6840,544,1314,4483,679,69729,0,0,0,1284,730,0,0,0,3199,5702,22601,41426
1997,4,9,0,1,21556,5270,59,17309,59058,0,0,3507,410,0,2800,1736,753,12364,18671,24470,0,0,0
1997,1,1,0,2,17912,6050,645,33142,113081,0,0,8260,3593,0,2471,2861,991,22281,43558,43780,0,0,0
1997,3,7,0,2,9307,3713,1756,9450,32243,962,98797,4049,0,0,5003,3687,2498,0,0,24742,0,27012,71785
1997,3,6,0,2,31133,4407,1089,11045,37686,0,0,1995,0,0,2975,711,1486,2852,22487,7886,0,0,0
1997,1,2,0,3,21245,5250,848,16363,55830,0,0,4992,0,0,5632,3216,2002,18815,1490,27891,0,0,0
1997,2,3,0,2,12952,6218,888,9054,30892,751,77128,0,491,4273,6588,0,5595,0,0,18709,8193,16839,52096
1997,3,5,4,2,8796,1025,2690,9225,31476,350,35945,0,0,2155,5566,0,4597,0,0,21313,5960,20371,9614
1997,2,4,0,2,12458,8528,551,1603,5470,0,0,0,0,0,2131,0,0,0,0,3339,0,0,0
1997,3,6,0,2,23344,2583,1925,13728,46840,0,0,4372,0,4408,4276,0,7295,13343,0,21926,0,0,0
1997,1,2,0,2,17889,6568,343,8011,27331,1159,119012,0,568,0,7245,0,2501,0,0,17585,14508,20469,84035
1997,4,9,2,2,27471,2262,253,6479,22106,604,62031,3484,407,0,1786,0,0,0,0,20320,7606,26836,27589
1997,4,9,0,2,18372,5124,91,17920,61143,552,56690,3609,3646,3644,7916,2405,0,13804,0,39423,0,0,56690
1997,3,5,4,3,20705,998,2432,10148,34625,0,0,2708,316,0,3378,721,7793,7601,2821,13032,0,0,0
1997,2,3,0,2,20539,6803,565,8600,29343,0,0,2052,0,3354,3855,0,0,9638,0,15850,0,0,0
1997,2,3,0,3,19833,7523,445,12710,43367,1290,132483,8781,2987,0,5602,1554,1275,0,0,36490,0,45720,86763
1997,2,4,0,2,16816,8138,615,5544,18916,727,74663,2773,2801,0,2562,651,822,0,0,15532,0,22710,51953
1997,3,7,3,2,19972,1975,2707,19918,67960,116,11913,5211,0,0,7399,3590,12800,13457,5058,29246,0,0,11913
1997,2,3,0,2,11333,6757,580,19190,65476,1741,178801,8501,0,2666,4894,3683,0,21388,0,39194,0,0,178801
1997,3,7,0,2,10562,3749,1743,11122,37948,0,0,4218,0,0,4102,0,7885,0,0,25961,0,0,0
1997,3,7,3,2,17629,1278,3155,4925,16804,488,50118,0,0,0,6198,0,0,0,0,10606,5640,20307,24171
1997,1,2,0,2,11901,5287,818,8496,28988,0,0,2377,0,3265,3222,1057,3365,0,0,22401,0,0,0
1997,3,5,4,2,11729,913,2674,17654,60235,430,44161,0,575,5813,18258,0,0,0,0,41977,8826,12264,23071
1997,4,8,0,4,13411,8022,72,12880,43948,42,4351,0,0,0,2740,0,231,8794,23468,8715,4351,0,0
1997,4,9,2,2,17033,2328,1418,5416,18479,340,34918,1701,248,1443,1748,857,4002,0,0,12729,3468,12794,18656
1997,2,3,0,5,8090,6107,709,1959,6684,319,32757,0,0,0,2167,0,0,0,0,4517,6626,26131,0
1997,3,7,3,2,18279,5841,1145,7972,27200,1052,108040,3024,441,3682,7730,0,3720,0,0,15750,4772,20836,82432
1997,1,1,0,1,8400,8042,257,8245,28132,0,0,2496,0,4398,1922,665,0,7033,0,19177,0,0,0
1997,3,6,0,2,11622,1931,2327,20368,69497,0,0,3103,0,0,13912,1031,12439,9506,9493,24147,0,0,0
1997,1,2,1,2,12688,4716,1029,12430,42411,0,0,4034,346,0,3430,1112,1512,11860,0,25609,0,0,0
1997,4,9,2,5,16474,2462,1331,3203,10928,407,41755,0,0,0,1603,1296,0,0,1694,7631,0,41755,0
1997,1,2,0,2,22228,5701,674,4757,16231,0,0,2285,0,1728,1779,537,1570,0,0,12882,0,0,0
1997,3,7,0,2,35673,3346,1845,7804,26627,645,66241,2563,2085,0,4156,602,6702,4059,0,11710,0,0,66241
1997,1,1,0,2,6720,7608,289,7743,26419,0,0,0,0,0,3144,2431,0,9075,0,14200,0,0,0
1997,1,1,0,5,11832,5996,682,6721,22932,0,0,0,0,0,2399,1625,864,6643,5248,7778,0,0,0
