Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
2005,1,1,0,2,12080.64795,5788,900,11846,40419,999999,9999999,2189,641,0,3944,2415,0,0,34060,9999999,9999999,9999999
2005,1,1,0,5,20165.36175,5760,923,3308,11287,65,6689,0,0,0,6438,0,0,0,4849,307,584,5798
2005,1,2,0,3,22659.89595,5658,1139,14408,49160,999999,9999999,0,739,0,7192,17946,0,2633,21389,9999999,9999999,9999999
2005,4,9,2,5,23793.77813,1093,865,11649,39744,999999,9999999,5761,962,0,5267,0,8878,0,25599,9999999,9999999,9999999
2005,1,1,0,2,14540.78106,6202,721,5869,20025,87,8952,3024,505,3457,2765,1174,0,0,16086,1517,7435,0
2005,1,2,1,5,59391.03403,4878,1283,4410,15047,715,73577,0,0,0,3877,3580,0,0,7590,4652,8847,60078
2005,3,6,0,4,18135.31618,4338,1317,8117,27695,999999,9999999,2544,425,0,2490,3204,5544,6043,10414,9999999,9999999,9999999
2005,2,4,0,2,29467.61184,4627,1508,9281,31668,999999,9999999,1256,368,2516,4166,4915,6181,5148,11258,9999999,9999999,9999999
2005,4,8,0,4,3908.186122,5870,560,4383,14955,731,75220,2123,355,0,2079,0,0,5346,7530,14972,60248,0
2005,4,9,2,2,24261.81026,912,1370,7659,26133,427,43938,2643,441,0,2007,1837,0,0,22289,19847,18411,5680
2005,2,4,0,2,23022.8644,4920,1559,5398,18418,146,15023,2831,473,0,2911,4399,0,1578,9530,1128,4633,9262
2005,4,9,2,5,24273.85086,1234,1090,1945,6636,188,19364,0,0,0,2224,1117,0,0,3295,5808,11046,2510
2005,3,6,0,5,17859.68348,2138,2185,14295,48775,999999,9999999,0,0,0,3891,13786,9275,6332,15491,9999999,9999999,9999999
2005,2,4,0,2,35902.14675,4972,1496,5485,18715,671,69046,2206,0,3198,3186,4717,0,0,10812,3148,15804,50094
2005,2,3,0,2,27565.84223,7974,587,9377,31994,887,91272,2841,475,4119,4403,1605,0,0,25986,6500,28288,56484
2005,2,3,0,2,36130.37084,5571,900,28540,97378,1564,160936,5386,899,0,9386,19544,0,3141,65307,30931,39266,90739
2005,1,2,1,2,26873.50248,6602,898,10174,34714,1157,119055,0,666,4559,4101,5474,0,0,25139,8486,29280,81289
2005,2,3,0,2,24906.70586,8001,565,14365,49013,999999,9999999,0,675,9236,7758,2024,0,0,39231,9999999,9999999,9999999
2005,3,5,0,2,37175.92773,6372,585,4529,15453,647,66576,1312,0,3332,2207,454,2455,1430,8907,0,0,66576
2005,1,1,0,2,13124.30326,6793,707,5740,19585,412,42395,2654,0,3034,2729,785,0,0,16071,1942,7975,32478
2005,3,5,0,1,29961.70747,4055,947,5012,17101,999999,9999999,2884,0,0,2769,1009,0,3645,9678,9999999,9999999,9999999
2005,1,2,1,2,29556.5138,6656,931,3559,12143,999999,9999999,0,0,0,1170,2063,0,0,8910,9999999,9999999,9999999
2005,3,6,0,2,27601.00991,1505,2650,15482,52825,999999,9999999,2911,486,0,5211,15791,7770,4814,19239,9999999,9999999,9999999
2005,1,1,0,5,19360.17346,7607,489,4055,13836,459,47274,0,0,0,2975,0,5705,0,5156,3607,0,43667
2005,2,3,0,2,7299.990472,6791,791,7504,25604,1674,172254,0,0,0,5532,0,0,2355,17717,21046,34812,116396
2005,3,5,4,2,5446.642853,1214,2523,26805,91459,999999,9999999,5429,0,0,9462,30058,26413,0,25526,9999999,9999999,9999999
2005,1,2,0,3,20318.86991,5752,1049,15112,51563,999999,9999999,3293,0,0,3162,4072,16019,8763,19547,9999999,9999999,9999999
2005,1,2,1,4,7044.336022,4974,1259,3333,11371,560,57662,0,0,0,5024,0,0,0,6347,0,7909,49753
2005,4,9,0,1,30402.68479,4332,402,11310,38590,999999,9999999,4133,690,0,4046,2089,4414,10845,17196,9999999,9999999,9999999
2005,4,8,0,2,27556.40042,703,4246,22502,76777,999999,9999999,3766,629,0,6250,33590,8220,4280,24437,9999999,9999999,9999999
2005,1,2,0,4,30199.03548,4811,1418,23740,81001,698,71810,0,1877,0,10790,24869,0,0,45342,5882,11185,54743
2005,1,1,0,2,15840.73643,6678,770,17349,59195,999999,9999999,10160,1697,0,9947,5247,10850,0,33151,9999999,9999999,9999999
2005,3,5,4,2,36233.89929,701,3321,23355,79687,999999,9999999,2347,687,0,4026,27432,12152,2504,33573,9999999,9999999,9999999
2005,2,3,0,2,7299.990472,6908,843,8022,27371,1638,168550,5006,0,0,4577,5682,0,0,17112,0,30343,138207
2005,1,1,0,2,4493.904744,7476,722,3007,10260,999999,9999999,0,0,0,1703,0,0,0,8557,9999999,9999999,9999999
2005,3,5,4,2,40131.30798,172,4281,24902,84965,999999,9999999,3351,560,4858,2423,37806,9904,913,33919,9999999,9999999,9999999
2005,3,5,0,3,50112.63471,4230,1750,5183,17684,478,49186,2961,495,0,3044,3838,0,0,10802,1954,9812,37420
2005,3,7,3,2,28629.22171,1451,2606,20650,70458,413,42498,3867,646,0,5992,33976,0,4032,26458,8459,34039,0
2005,1,1,0,2,4082.974968,6121,1065,10526,35915,1150,118335,2805,468,0,5439,7678,0,1739,21059,0,33008,85327
2005,2,4,0,4,5084.981962,5051,1480,6543,22324,303,31157,0,0,0,3723,0,11736,0,6865,0,0,31157
2005,2,3,0,2,31637.2837,6039,1112,6517,22236,622,64004,3606,0,4122,2897,5446,0,2175,11718,0,14580,49424
2005,4,9,0,2,22333.56085,4651,105,8946,30524,304,31307,2798,467,0,2125,0,10578,0,17821,0,0,31307
2005,2,3,0,5,41387.87769,5733,1460,1749,5968,355,36541,0,0,0,1944,1888,0,0,2136,2708,5151,28682
2005,1,1,0,2,12080.64795,5834,962,8549,29169,999999,9999999,2969,869,0,3949,0,0,3166,22054,9999999,9999999,9999999
2005,1,1,0,4,14710.29487,6028,855,11730,40023,284,29224,4441,742,0,4566,3130,0,0,32327,0,29224,0
2005,2,3,0,2,28481.16939,6022,1071,6992,23857,829,85304,0,0,0,5633,4586,0,0,13638,10951,17673,56680
2005,2,3,0,3,28134.24208,5253,1577,9496,32400,758,77998,4306,0,0,1837,2569,0,6257,21737,0,21741,56257
2005,4,9,2,5,21699.00013,2144,1415,6592,22492,81,8335,0,531,0,2907,2696,6930,0,9959,0,0,8335
2005,4,8,0,4,3908.186122,5569,764,6087,20769,999999,9999999,0,440,0,2136,0,5738,6888,6007,9999999,9999999,9999999
2005,1,2,1,4,5030.040304,4836,1346,5450,18595,116,11936,0,0,0,3448,3862,0,0,11285,11936,0,0
2005,2,3,0,2,31305.7736,4644,1625,25254,86167,999999,9999999,0,1024,0,10905,23911,0,0,51351,9999999,9999999,9999999
2005,3,5,0,1,27969.97637,4284,893,13444,45871,999999,9999999,4233,0,0,3433,3557,9224,9745,19912,9999999,9999999,9999999
2005,3,5,0,5,32365.80661,3133,1387,8545,29156,999999,9999999,2725,455,0,2211,5337,4199,6661,10748,9999999,9999999,9999999
2005,3,5,0,2,4762.185145,1921,2768,34041,116148,999999,9999999,4652,0,9317,7978,33915,16163,7380,50712,9999999,9999999,9999999
2005,3,7,3,2,25500.61351,1264,3264,18585,63412,559,57521,3293,550,3765,4693,27616,0,0,31103,7680,31544,18297
2005,4,9,2,2,24273.85086,1060,964,9483,32356,239,24593,0,0,0,5266,0,0,5942,21148,9266,15327,0
2005,1,2,0,3,37510.99101,4283,1710,6686,22812,1623,167007,0,0,4236,2672,5462,0,0,14678,14350,53129,99528
2005,2,4,0,2,26330.60119,7687,664,9700,33096,962,98990,0,713,0,3431,6336,0,0,23329,8161,34605,56224
2005,3,6,0,2,18258.83621,5019,1314,9347,31892,766,78821,3141,525,4553,4414,7738,0,0,19740,5207,22661,50953
2005,1,2,1,2,34098.65895,7578,787,10407,35509,999999,9999999,1306,382,6634,1025,3743,0,11599,19142,9999999,9999999,9999999
2005,3,6,0,2,20428.68253,3167,2105,32270,110105,1201,123583,5416,905,0,12748,40654,0,0,56703,0,59377,64206
2005,4,9,2,2,30035.59845,1350,292,4459,15214,449,46202,1437,0,2878,2464,0,0,1821,10929,4651,23350,18201
2005,3,7,3,2,25500.61351,562,4312,16675,56894,284,29224,0,0,4437,3148,24926,0,0,28820,5465,19976,3783
2005,3,5,0,2,30681.48053,5643,671,6225,21240,1363,140253,2583,0,0,2361,1312,0,0,17567,8610,31877,99766
2005,2,4,0,5,32651.23885,4466,1797,4680,15968,198,20374,0,676,0,3962,6087,0,0,5919,2137,4065,14172
2005,4,9,2,2,22696.53218,956,761,12795,43657,514,52891,3770,630,0,13140,2634,0,2352,25531,6744,33065,13082
2005,4,9,2,2,29397.3853,1696,1079,4019,13713,415,42704,0,466,0,1191,0,0,3548,8974,9978,32726,0
2005,2,4,0,2,24610.64816,4542,1914,11040,37668,899,92507,0,482,3299,4957,11568,0,0,21143,17018,32693,42796
2005,3,6,0,2,18502.01249,5429,1266,20949,71478,57,5823,3301,551,0,10998,11583,7193,17287,24417,5823,0,0
2005,2,3,0,2,45682.31159,6312,959,2645,9024,1112,114383,0,0,0,1775,746,0,0,6503,4922,24711,84750
2005,2,3,0,2,8065.420255,6343,1025,6465,22060,995,102420,1752,0,4450,2948,4179,0,0,14933,0,14593,87827
2005,1,1,0,2,14540.78106,6549,764,9854,33622,999999,9999999,1661,0,0,7868,0,0,0,25754,9999999,9999999,9999999
2005,2,4,0,2,25636.09183,4864,1530,11836,40384,722,74294,3643,608,4164,8774,2214,0,0,29396,4878,23918,45498
2005,1,1,0,3,15573.22789,7385,524,2132,7273,999999,9999999,0,373,0,2296,479,0,0,4498,9999999,9999999,9999999
2005,4,9,0,1,30402.68479,4443,357,12337,42094,999999,9999999,3468,0,0,4929,0,9188,13531,14446,9999999,9999999,9999999
2005,4,8,0,3,20763.47685,7327,304,15973,54500,999999,9999999,2113,618,4232,3623,0,11424,15249,24204,9999999,9999999,9999999
2005,1,2,0,2,30307.03354,5858,854,7631,26037,1111,114366,0,717,0,3103,4522,0,0,18412,18629,35853,59884
2005,3,7,3,5,29678.90035,1044,3422,14454,49318,999999,9999999,0,620,0,3633,21372,8087,4172,12054,9999999,9999999,9999999
2005,2,4,0,2,30532.08361,7882,626,3630,12386,581,59785,0,0,2626,2100,2095,0,0,8191,4025,10785,44975
2005,2,3,0,2,28333.53711,6085,1188,7963,27170,1121,115392,0,707,0,7028,4087,0,0,16055,11157,18005,86230
2005,4,9,0,2,5606.182035,8008,52,6014,20520,262,26960,0,0,5105,3390,304,0,0,16826,5357,8645,12958
2005,1,1,0,2,13304.26841,6312,909,7615,25982,999999,9999999,0,0,3158,3671,5611,7758,0,8942,9999999,9999999,9999999
2005,2,3,0,2,37854.52327,6364,1009,6136,20936,1822,187450,2981,0,0,5644,3812,0,0,11480,7516,30867,149067
2005,4,9,2,4,24273.85086,1071,931,4505,15371,496,51038,0,0,0,1795,0,0,2385,11191,17589,33449,0
2005,1,2,1,5,42408.43905,4808,1420,12029,41041,537,55265,0,0,0,3287,8485,0,4926,24343,0,24584,30681
2005,3,5,4,2,36752.87441,217,3988,20357,69459,0,0,0,0,0,6170,33089,13659,2779,13762,0,0,0
2005,4,9,2,2,22696.53218,962,629,14749,50324,842,86642,3988,666,0,12671,3832,0,0,33821,15693,63146,7803
2005,3,6,0,2,3860.621,1485,2654,6430,21939,461,47437,0,0,3863,3090,5439,0,2620,10790,5429,27258,14750
2005,4,9,2,1,6144.355841,1021,1086,2139,7299,344,35357,0,0,0,1192,1551,0,0,4556,10177,16423,8757
2005,4,9,2,3,24273.85086,924,1102,2149,7332,98,10084,0,0,0,1885,0,0,0,5447,3475,6609,0
2005,1,1,0,2,13303.09447,9089,249,7165,24447,999999,9999999,3254,543,4716,2975,0,0,0,21472,9999999,9999999,9999999
2005,4,9,2,2,28936.32153,1865,2350,9503,32424,469,48260,1804,528,4580,2889,6795,0,1090,21650,0,23837,24423
2005,1,2,0,2,31646.77098,5272,1059,15652,53405,1226,126155,0,572,0,6656,10796,0,1948,34005,21339,47215,57601
2005,4,9,0,2,22818.00097,6609,150,26101,89057,999999,9999999,8997,823,7143,4198,580,15208,17707,51364,9999999,9999999,9999999
2005,3,5,0,2,29248.47633,2949,2401,29812,101719,297,30607,8474,775,0,12443,29606,9205,0,50465,4839,0,25768
2005,3,7,0,2,25057.16793,3187,2129,17506,59732,999999,9999999,4777,0,5462,2140,7653,18034,0,31905,9999999,9999999,9999999
2005,3,5,0,5,29881.89115,4257,1586,8627,29435,47,4875,0,0,0,4843,12767,0,0,11825,4875,0,0
2005,1,2,0,2,28107.32949,4758,1454,8968,30599,1462,150440,0,616,4219,6339,5072,0,0,19188,17342,27987,105111
2005,1,2,0,2,25355.70657,6004,913,23055,78664,999999,9999999,6635,1108,22758,21294,2622,0,0,54748,9999999,9999999,9999999
2005,4,8,0,4,22054.87955,3802,1555,4824,16459,325,33443,0,0,0,4315,0,0,0,12144,3501,6658,23284
2005,1,2,0,2,26340.58306,5082,1344,15019,51245,704,72405,4662,0,5330,4262,4028,0,6781,36174,0,19348,53057
2005,4,9,2,2,24921.09689,1242,1614,8033,27409,296,30462,0,0,0,5290,0,0,0,22119,6603,12556,11303
2005,2,3,0,2,43872.59316,5878,1212,12155,41473,1103,113540,0,719,4924,4217,8984,0,0,28272,13566,30033,69941
2005,2,4,0,2,24610.64816,4262,1911,14375,49046,649,66782,0,738,5054,7880,9454,8767,0,22945,8111,0,58671
2005,3,6,0,1,4925.559862,3521,1823,5969,20366,999999,9999999,3097,0,0,3032,3422,4773,1479,7660,9999999,9999999,9999999
2005,3,5,0,2,47137.79932,3296,1587,7019,23949,235,24223,2612,436,0,2557,7326,4025,0,10041,3005,0,21218
2005,4,9,2,1,21344.70111,986,572,2799,9551,999999,9999999,0,0,0,3133,0,0,0,6418,9999999,9999999,9999999
2005,3,6,0,2,19922.76669,3041,2194,27495,93813,999999,9999999,4331,723,12557,7050,17114,18905,0,50744,9999999,9999999,9999999
2005,1,2,0,3,4560.390542,4488,1409,9201,31394,746,76773,0,0,0,5495,0,0,0,25899,5164,19121,52488
2005,3,5,4,4,34415.71774,608,3370,5667,19336,999999,9999999,1259,210,0,1151,6487,4757,1030,5911,9999999,9999999,9999999
2005,3,5,0,2,31558.09426,5193,1088,11927,40695,1187,122142,4555,0,0,4374,2961,9928,2584,20848,7284,0,114858
2005,1,1,0,2,18262.98451,6595,724,4122,14064,1419,146015,0,483,0,5950,900,0,1825,5389,3900,19578,122537
2005,3,5,4,2,50300.29239,1171,2707,12811,43711,999999,9999999,3381,565,0,3092,15654,7379,4906,12680,9999999,9999999,9999999
2005,4,9,0,2,36448.80267,4568,122,11386,38849,999999,9999999,4828,806,0,9362,0,7439,2578,19470,9999999,9999999,9999999
2005,4,9,2,2,19968.53869,3260,28,4973,16968,502,51656,2504,418,0,2405,0,0,1150,13413,0,24911,26745
2005,1,2,0,2,31646.77098,5110,1255,7348,25071,746,76763,0,778,0,1987,4715,0,0,18369,11945,19278,45540
