Survey Year,Census Region,Census Division,Four Largest States,Type of Home  (Respondent answer),The Final Weight,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),Kilowatt Hours Of Electricity Used,Electric Annual Use In Thousands of BTU,CCFS (Hundred Cubic Feet) Of Natural Gas,Natural Gas Annual Use In Thousands Of BTU,Electric Dryer Use (Estimated) in Thousands of BTU,Electric Dishwasher Use (Estimated) in Thousands of BTU,Electric Freezer Use (Estimated) in Thousands of BTU,Electric Refrigerator Use (Estimated) in Thousands of BTU,Electric AC Use (Estimated) in Thousands of BTU,Electric Water Heat Use (Estimated) in Thousands of BTU,Electric Space Heat Use (Estimated) in Thousands of BTU,Electric Appliance Use (Estimated) in Thousands of BTU,Natural Gas Appliance Use (Estimated) in Thousands of BTU,Natural Gas Water Heat Use (Estimated) in Thousands of BTU,Natural Gas Space Heat Use (Estimated) in Thousands of BTU
2005,1,2,0,3,4560.390542,4374,1577,5153,17582,664,68350,0,0,0,1759,4692,0,0,11131,6198,15251,46901
2005,3,7,0,2,27413.35408,3118,2241,6470,22077,999999,9999999,4152,0,0,6301,4051,0,0,11725,9999999,9999999,9999999
2005,2,3,0,2,37699.89032,5719,1116,5325,18169,999999,9999999,2598,0,2970,2543,671,2774,1579,10602,9999999,9999999,9999999
2005,3,6,0,2,20428.68253,3021,2195,17504,59724,885,91067,8138,744,0,3223,18895,0,1948,35658,0,45424,45643
2005,3,5,0,1,31001.20533,2155,2281,22004,75078,999999,9999999,4746,0,0,4647,25604,12669,3138,29020,9999999,9999999,9999999
2005,1,2,0,2,29329.38729,4719,1530,10822,36926,767,78904,0,560,0,4687,13712,0,0,18527,10753,20716,47435
2005,1,2,0,2,28746.90189,5241,1089,10520,35894,999999,9999999,2864,478,3274,1283,7601,6241,0,20769,9999999,9999999,9999999
2005,4,9,0,2,22807.33834,4191,242,11300,38556,778,80056,5305,886,0,8548,0,0,2716,27292,0,32716,47340
2005,3,5,0,5,27528.82928,5205,857,8962,30579,306,31480,0,551,3772,3230,8759,0,0,18590,9086,22394,0
2005,1,2,1,2,24411.01937,5694,834,8008,27323,999999,9999999,4564,762,0,4173,2786,0,0,20364,9999999,9999999,9999999
2005,2,3,0,2,28060.19485,6837,993,24070,82127,883,90809,0,1092,0,8236,4340,0,0,69551,22348,20264,48197
2005,1,1,0,2,14168.66118,5913,894,15010,51213,999999,9999999,9331,854,0,2180,12846,0,0,36187,9999999,9999999,9999999
2005,2,3,0,2,28060.19485,6640,891,11881,40538,829,85304,3302,551,3775,10295,2986,0,0,27257,0,29616,55688
2005,3,5,4,2,43903.64474,801,3180,13310,45414,168,17287,2567,751,0,8017,19324,0,2683,15390,1579,15708,0
2005,2,3,0,3,37350.24263,5844,1053,5800,19790,1238,127390,3712,620,0,3634,3357,0,0,12799,0,26540,100850
2005,3,6,0,2,24091.237,3453,1967,12750,43503,999999,9999999,3438,574,0,2929,11865,5298,7477,15934,9999999,9999999,9999999
2005,4,8,0,4,22755.29701,5142,920,3013,10279,639,65746,0,0,0,2088,0,4978,0,3213,0,0,65746
2005,2,4,0,2,22667.16224,5051,1404,22073,75313,583,59991,5042,842,5765,12425,9667,0,2803,50418,0,20199,39792
2005,1,1,0,2,4082.974968,6246,963,21953,74904,464,47708,2675,0,0,3992,10697,25047,7340,27828,5134,0,42574
2005,3,7,3,1,33529.93318,874,3672,11104,37886,999999,9999999,0,0,0,5566,12451,7310,3338,9221,9999999,9999999,9999999
2005,3,7,3,2,39956.43168,1410,2860,17828,60829,999999,9999999,4291,717,4906,3259,15840,6613,6721,28396,9999999,9999999,9999999
2005,2,3,0,2,28481.16939,6088,1037,12503,42660,590,60664,3309,553,3783,3178,6539,10214,0,22729,0,0,60664
2005,3,7,0,5,20777.71692,3752,1913,15683,53510,999999,9999999,0,676,5871,1728,7545,12499,8054,23684,9999999,9999999,9999999
2005,3,7,3,2,26016.25092,1970,2736,10396,35471,318,32722,4669,427,0,2503,16012,0,0,16956,0,21461,11261
2005,2,4,0,2,27969.12134,5840,1325,13461,45929,753,77484,0,0,5196,4364,10467,0,0,31098,10659,17451,49374
2005,3,6,0,2,19271.29337,4099,1671,17227,58779,999999,9999999,3522,588,0,5733,10176,10409,9665,22796,9999999,9999999,9999999
2005,2,4,0,2,4537.295015,4545,1615,20281,69199,999999,9999999,5429,497,3400,1268,11610,15896,10281,30144,9999999,9999999,9999999
2005,2,3,0,2,30280.66002,7551,717,13178,44963,723,74397,2770,810,5547,2174,6863,0,0,35926,0,25945,48452
2005,4,9,2,5,19637.12502,909,1275,4298,14665,999999,9999999,0,481,0,2821,1461,0,2706,7677,9999999,9999999,9999999
2005,1,2,0,3,24945.73294,5448,1342,8696,29671,695,71516,2763,809,0,7780,4030,0,0,17861,2536,12432,56548
2005,4,8,0,1,21193.18345,768,4331,8948,30530,999999,9999999,0,0,0,2739,21081,0,0,6710,9999999,9999999,9999999
2005,1,2,0,2,5375.325851,4904,1325,18097,61747,999999,9999999,5667,0,0,5548,9580,14273,0,32346,9999999,9999999,9999999
2005,3,5,4,1,37375.43963,482,3005,11212,38255,999999,9999999,3751,627,0,1681,12670,7440,2968,13496,9999999,9999999,9999999
2005,4,9,2,2,23881.29201,1955,1863,5083,17343,684,70384,0,0,0,2925,0,0,0,14418,15144,24440,30800
2005,1,2,0,2,38772.46837,5516,1049,4721,16108,858,88288,0,413,0,3572,5383,0,0,7153,9618,15162,63508
2005,1,1,0,2,14776.9933,6987,548,7688,26231,973,100110,0,564,0,3306,3400,0,0,19525,10655,20507,68948
2005,3,6,0,2,26988.54439,4288,1487,13915,47478,999999,9999999,5139,0,0,4699,5362,7920,11716,17781,9999999,9999999,9999999
2005,3,5,0,4,37891.99088,3650,1636,8977,30629,999999,9999999,0,0,0,3559,3634,6761,8961,7714,9999999,9999999,9999999
2005,3,5,0,2,5127.843049,4504,1660,8310,28354,1160,119364,2355,393,0,3356,5635,0,3168,16195,8053,39487,71824
2005,4,9,2,2,31737.36248,1149,369,4496,15340,236,24311,0,636,0,2752,0,0,3902,8686,6871,17440,0
2005,2,3,0,2,30628.71359,6991,825,14102,48116,1339,137783,3222,538,0,8146,6764,0,0,33206,0,48226,89557
2005,4,8,0,2,3807.483265,7445,318,5025,17145,1623,167007,2602,0,2975,2379,327,0,0,14439,0,35154,131853
2005,4,8,0,2,22796.9892,1152,3485,24221,82642,449,46202,3842,642,4392,3761,32170,0,0,46711,14916,20586,10700
2005,3,7,0,1,35685.8119,3921,1747,5320,18152,999999,9999999,1345,0,3415,2154,2288,2516,2876,8318,9999999,9999999,9999999
2005,2,3,0,2,5675.96865,4162,2121,7222,24641,1734,178429,3022,0,0,2763,12263,0,0,9615,10307,42333,125789
2005,1,1,0,2,3323.507977,9570,184,5321,18155,999999,9999999,1303,381,3308,1851,0,0,0,16304,9999999,9999999,9999999
2005,3,7,3,4,38082.0132,2019,3132,6713,22905,999999,9999999,0,441,0,2142,3637,5762,4046,7318,9999999,9999999,9999999
2005,3,6,0,2,27601.00991,1653,2468,20973,71561,35,3623,4246,709,6155,8234,0,16050,6602,40675,3623,0,0
2005,2,3,0,4,52799.66515,6417,932,3875,13222,768,79027,0,0,0,2192,1803,0,0,9227,9401,14818,54808
2005,4,9,2,2,33977.52973,4719,378,10011,34158,568,58447,0,867,0,3896,2349,0,0,27913,7891,15228,35328
2005,2,4,0,5,28066.11641,4152,2170,2382,8127,999999,9999999,0,0,0,1162,917,1268,2557,2223,9999999,9999999,9999999
2005,2,3,0,2,7029.93062,5373,1412,4426,15102,746,76773,0,0,3529,2226,1457,0,0,11419,0,10008,66765
2005,3,5,0,1,28968.90409,3690,1618,15363,52419,999999,9999999,5513,504,3452,1353,9734,8060,7362,25910,9999999,9999999,9999999
2005,2,3,0,2,52189.25797,4773,1379,4320,14740,999999,9999999,0,396,0,2323,0,5179,0,7238,9999999,9999999,9999999
2005,1,1,0,4,12018.21477,7087,519,5847,19950,999999,9999999,3347,0,0,3214,1054,0,2238,13444,9999999,9999999,9999999
2005,4,9,0,5,5889.205408,4515,152,4254,14515,999999,9999999,0,438,0,2399,0,2802,6007,3307,9999999,9999999,9999999
2005,1,2,0,2,27805.30627,5967,927,16424,56039,999999,9999999,3881,648,5626,1655,6517,11961,5977,29929,9999999,9999999,9999999
2005,3,5,0,2,31020.09833,3247,1602,11343,38702,563,57933,1541,451,3913,6694,8876,0,1202,21930,0,24315,33618
2005,1,2,1,4,30842.50113,4687,1463,1397,4767,391,40234,699,0,0,548,834,0,0,3385,3069,10621,26544
2005,4,9,2,2,31305.56163,2376,588,8908,30394,505,51965,2616,437,2991,4559,645,0,1009,24181,1976,24103,25886
2005,3,5,0,2,28195.31865,1931,2758,19455,66380,999999,9999999,3717,621,4250,6479,20274,7373,7161,25093,9999999,9999999,9999999
2005,2,4,0,2,23303.37951,7286,877,16142,55076,1251,128728,3641,0,5279,3102,6680,20547,2464,22283,14202,0,114526
2005,3,6,0,5,20589.49071,3969,1388,6685,22809,302,31072,0,1031,0,6044,8334,0,0,8431,0,5363,25709
2005,3,5,0,3,32103.47257,4660,1363,20738,70758,402,41366,4664,779,0,7902,13435,0,13445,35976,0,41366,0
2005,3,5,0,5,36916.76648,3114,1358,4002,13655,297,30527,0,532,0,4940,2257,0,0,6458,5144,13783,11600
2005,3,7,0,2,34488.41988,3149,2104,7738,26402,663,68223,3126,522,0,1095,11606,0,0,13701,0,29947,38276
2005,3,5,0,2,34107.2403,3138,1257,13643,46549,999999,9999999,3999,668,0,3656,4605,10674,6834,20780,9999999,9999999,9999999
2005,3,7,3,2,28252.94115,1366,3542,16479,56226,491,50524,6207,1037,0,5288,22440,0,0,28498,5838,28625,16061
2005,3,5,0,2,36197.51568,2939,2409,13893,47403,999999,9999999,2501,732,0,4005,8062,6751,0,28585,9999999,9999999,9999999
2005,3,5,0,2,29248.47633,3263,1564,12815,43725,528,54331,0,547,3743,4502,12083,0,0,27140,0,25482,28849
2005,2,4,0,2,4997.066542,7675,667,13311,45417,1069,110000,6781,620,0,3396,3257,0,0,38764,0,37324,72676
2005,1,1,0,2,11921.69206,6665,777,4544,15504,999999,9999999,1708,0,3421,2428,789,0,0,12287,9999999,9999999,9999999
2005,4,9,0,2,21506.39193,9188,0,7180,24498,942,96895,0,0,0,2866,0,11066,2078,8488,0,0,96895
2005,3,5,0,2,33658.96086,3040,1459,15936,54374,732,75323,2292,671,5820,6980,4944,8751,4472,29227,0,0,75323
2005,4,9,2,5,25955.15655,625,1438,7790,26579,61,6277,0,0,0,3482,7460,0,0,15637,1826,3473,978
2005,3,5,4,5,42964.10619,169,3928,18550,63291,999999,9999999,0,0,0,3966,33025,12729,0,13571,9999999,9999999,9999999
2005,2,4,0,2,26330.60119,7663,633,6380,21769,444,45688,0,0,4800,4317,4498,0,0,12954,4267,10833,30588
2005,3,5,0,2,36968.72706,2892,2565,8546,29159,999999,9999999,1870,312,0,1831,7421,4081,6069,9757,9999999,9999999,9999999
2005,1,1,0,2,15100.80994,7779,472,15221,51934,999999,9999999,4163,695,4759,7255,0,0,0,44679,9999999,9999999,9999999
2005,2,3,0,2,6835.388472,4529,1564,6532,22287,103,10598,2683,448,3067,2626,5017,0,0,14644,0,10598,0
2005,1,1,0,2,13247.75215,5956,873,7446,25406,999999,9999999,0,943,6452,4535,0,0,0,20871,9999999,9999999,9999999
2005,2,3,0,3,36926.19273,6125,1146,19817,67616,1513,155688,0,1191,8156,7335,11109,0,0,49172,21838,42029,91821
2005,3,5,0,2,27892.10778,3809,1567,10529,35925,999999,9999999,2847,475,0,2059,9171,6204,1372,17119,9999999,9999999,9999999
2005,1,1,0,2,13422.94217,6711,698,12858,43873,999999,9999999,3992,667,0,7071,3998,12320,0,20484,9999999,9999999,9999999
2005,3,7,0,2,27419.36487,2611,2314,10798,36842,659,67827,2913,0,9992,1305,11206,0,0,24331,6330,25996,35501
2005,4,9,0,2,16283.61396,17,2814,5247,17903,999999,9999999,2340,0,3392,3809,0,3539,0,10555,9999999,9999999,9999999
2005,3,5,0,1,31001.20533,2435,2314,19880,67831,999999,9999999,4375,731,0,4201,15850,12930,8058,26792,9999999,9999999,9999999
2005,2,4,0,2,27969.12134,6018,1372,14656,50006,810,83349,0,461,6310,9547,8191,0,0,32268,11946,22992,48411
2005,4,9,2,4,19637.12502,692,1196,5143,17548,141,14501,0,0,0,6044,0,0,0,11504,0,14501,0
2005,3,5,0,3,27890.46196,4837,1328,14550,49645,694,71413,5250,877,0,4800,8921,0,0,35924,7876,25964,37573
2005,3,7,0,2,4170.185137,3345,2198,17272,58932,749,77072,5148,0,0,4176,27941,0,0,26815,0,29505,47567
2005,2,3,0,2,39289.15582,7737,690,3900,13307,999999,9999999,0,0,0,3937,755,4294,0,4321,9999999,9999999,9999999
2005,2,4,0,5,18747.78771,4996,1513,30230,103145,41,4228,0,0,0,12480,19243,26453,26873,18096,4228,0,0
2005,4,8,0,2,20160.6027,4450,1006,6395,21820,609,62666,2610,436,0,2386,5764,0,0,13670,0,24828,37838
2005,3,5,4,4,42588.6437,1146,2812,2380,8121,515,52944,0,0,0,2207,4277,0,0,1637,5958,11331,35655
2005,3,7,3,2,25500.61351,1035,3060,13097,44685,617,63489,2772,0,0,3469,18474,0,0,22742,9188,34017,20284
2005,4,9,2,5,36348.98195,961,1478,3345,11413,71,7334,0,0,0,1750,2257,0,0,7406,2085,3966,1283
2005,4,8,0,5,31290.41373,5256,927,5386,18376,55,5633,0,0,0,3930,3078,0,5875,5493,0,5633,0
2005,4,8,0,2,23494.17538,5070,613,7288,24867,999999,9999999,2405,0,6972,4305,1304,0,0,19258,9999999,9999999,9999999
2005,1,2,1,3,26505.27441,4796,1591,5317,18142,1188,122245,0,0,0,4340,2718,0,0,11084,9427,34902,77916
2005,3,5,4,2,34572.0663,541,3266,16221,55346,999999,9999999,0,598,0,3506,25321,9558,1951,15010,9999999,9999999,9999999
2005,2,4,0,2,27015.62856,5815,1331,6910,23577,886,91169,5084,0,0,2726,3458,0,0,17393,5944,25333,59892
2005,2,3,0,5,40880.67175,5858,1040,5359,18285,616,63386,3381,0,0,3310,1623,3610,0,9742,0,0,63386
2005,1,2,0,2,30307.03354,5667,778,8928,30462,918,94462,0,638,0,7600,6296,0,0,16566,14165,27291,53006
2005,2,3,0,5,31382.62424,5213,1288,8471,28903,999999,9999999,0,583,0,1489,5172,5378,8796,8068,9999999,9999999,9999999
2005,3,5,0,1,28672.92551,1991,3010,25036,85423,999999,9999999,3416,571,4952,2470,26267,16131,7733,32822,9999999,9999999,9999999
2005,4,9,2,2,25337.73895,1891,2207,7301,24911,318,32756,1595,0,0,2266,6725,0,4065,11855,0,32756,0
2005,4,9,0,2,22807.33834,4166,250,22829,77893,999999,9999999,5250,877,7610,11437,0,16203,10436,39817,9999999,9999999,9999999
2005,1,2,1,5,22741.23238,6440,959,1860,6346,1134,116682,0,0,0,2938,1030,0,0,2378,0,17697,98985
2005,2,3,0,2,28333.53711,6069,1169,7596,25916,771,79291,0,0,0,3539,5243,0,0,17134,13201,21836,44254
2005,3,7,3,2,28252.94115,1349,3728,10253,34983,340,34986,1380,404,0,1031,17379,0,710,15863,4250,20841,9895
2005,2,4,0,2,19789.82774,5018,1489,16370,55855,999999,9999999,3814,611,0,3514,6301,15973,9915,20152,9999999,9999999,9999999
2005,2,4,0,2,19484.07584,4999,1435,17276,58946,1043,107325,3112,520,4511,5065,12594,0,13462,27825,0,48899,58426
2005,2,3,0,5,52799.66515,6220,1054,1869,6379,562,57779,0,0,0,1325,1708,0,0,3346,4397,8361,45021
2005,4,9,0,2,13438.94868,17,2790,8360,28524,999999,9999999,1305,0,2613,5719,3655,0,0,19150,9999999,9999999,9999999
2005,4,9,0,4,4337.644524,4522,325,13396,45707,999999,9999999,3109,910,0,4419,0,11871,12360,17057,9999999,9999999,9999999
2005,2,3,0,2,39886.54471,6207,977,5552,18943,454,46698,0,0,0,5177,3883,0,0,9883,3824,10244,32630
2005,3,6,0,2,20622.50305,2524,2072,19025,64914,541,55674,8342,763,0,7081,18086,0,4323,35424,0,36107,19567
2005,1,1,0,2,16365.61989,6160,1033,6454,22021,1310,134799,3250,543,4712,5291,0,0,0,16730,0,21119,113680
2005,3,7,0,1,26024.51921,3488,2101,10014,34169,999999,9999999,0,0,0,7096,7156,7257,6943,5717,9999999,9999999,9999999
2005,1,1,0,2,15100.80994,7491,568,11786,40214,999999,9999999,3655,610,4179,1638,1072,7249,0,30255,9999999,9999999,9999999
2005,4,8,0,2,24455.92642,7219,113,17046,58161,933,96006,6380,1066,9248,12491,0,0,0,45670,0,18388,77618
2005,3,7,0,2,27204.92518,2652,2140,7571,25831,999999,9999999,2471,0,3582,2005,4378,6940,0,12508,9999999,9999999,9999999
2005,3,7,0,1,29903.42694,3110,2119,15316,52258,999999,9999999,5483,502,3433,4654,15634,8016,0,23954,9999999,9999999,9999999
2005,4,9,2,3,28864.22687,1899,2168,9289,31695,493,50760,0,368,0,5437,11025,0,3532,11701,12162,38598,0
2005,3,6,0,2,22431.16131,3750,1583,18170,61995,338,34824,7790,713,0,6161,15232,0,10451,30151,5794,29030,0
2005,2,3,0,2,29827.23346,5752,1228,9736,33219,848,87229,3310,553,0,4780,3801,0,1998,22640,0,33061,54168
2005,2,3,0,4,26337.27255,5002,1349,10539,35959,305,31431,3489,0,0,2830,6443,0,9145,17541,0,31431,0
2005,1,2,1,5,42408.43905,4695,1556,3660,12488,44,4528,0,0,0,4469,0,0,0,8019,4528,0,0
2005,4,8,0,2,3807.483265,6544,267,5503,18776,847,87156,1107,324,2812,4630,0,0,0,14146,0,24205,62951
2005,4,9,2,4,88235.92373,916,1123,875,2986,145,14903,0,0,0,531,782,0,0,1673,3419,6501,4983
2005,4,9,2,2,25955.15655,989,1264,7507,25614,193,19860,0,0,0,8912,1939,0,3648,11115,5893,13967,0
2005,2,3,0,2,30628.71359,6955,741,9421,32144,1203,123789,0,425,0,6382,0,0,0,25762,3694,24550,95545
2005,1,1,0,4,22037.96263,6254,957,4165,14211,544,55978,3701,618,0,3384,2123,0,0,8704,0,15531,40447
2005,3,6,0,2,20897.15931,2074,2253,26466,90302,999999,9999999,4323,722,4942,7534,17494,18092,7907,39275,9999999,9999999,9999999
2005,3,6,0,2,19117.75104,3318,1902,20737,70755,374,38485,3672,613,5322,7189,13332,16025,0,34209,7985,0,30500
2005,2,4,0,2,26850.52536,6376,898,10549,35993,999999,9999999,0,406,7053,3063,5942,0,0,26988,9999999,9999999,9999999
2005,1,1,0,5,15659.31247,5786,917,3153,10758,353,36359,0,275,0,1694,1893,3590,0,3581,0,0,36359
2005,2,4,0,2,24239.04164,4357,1733,7006,23904,999999,9999999,2829,0,2246,3755,1715,4776,812,12846,9999999,9999999,9999999
2005,1,2,0,3,37510.99101,4443,1617,3771,12867,776,79839,0,423,0,2480,3336,0,0,7051,8803,22346,48690
2005,2,3,0,2,31498.27201,4718,1470,10193,34779,1239,127533,3382,565,3867,5242,10273,0,0,19264,7481,36677,83375
2005,4,9,0,2,35141.3894,5463,691,14512,49515,999999,9999999,3576,597,15549,3501,0,3818,5238,36958,9999999,9999999,9999999
2005,3,5,0,5,31568.61925,2367,2339,11411,38934,999999,9999999,3842,642,0,3950,10118,5921,6271,12674,9999999,9999999,9999999
2005,3,7,3,3,3386.392772,1438,2746,7045,24038,271,27886,0,355,0,906,13733,0,0,9399,4451,11357,12078
2005,2,4,0,2,22667.16224,4815,1553,11963,40818,908,93433,0,481,3295,2822,11656,0,0,26340,9303,34266,49864
2005,2,4,0,2,27969.12134,6454,969,15530,52988,742,76352,0,839,7286,4077,11452,0,0,37459,5931,18823,51598
2005,3,6,0,2,20091.91163,4397,1490,12654,43175,999999,9999999,2884,482,0,7517,7655,5720,7157,15126,9999999,9999999,9999999
2005,2,3,0,2,28333.53711,5947,1175,7873,26862,961,98887,0,582,0,4744,6531,0,0,15587,13630,22315,62942
2005,2,4,0,2,27969.12134,5848,1322,10931,37297,734,75529,0,689,0,1847,9794,0,0,25656,2719,25041,47769
2005,3,7,3,5,29678.90035,1019,3682,15569,53121,999999,9999999,0,803,0,4707,17434,12835,5180,12965,9999999,9999999,9999999
2005,4,9,2,2,24273.85086,1248,1036,10456,35676,326,33545,2344,0,0,8525,3931,0,2863,20357,5648,20912,6985
2005,1,1,0,5,15352.26713,6578,771,2427,8280,449,46248,0,395,0,2268,0,0,0,6012,0,28515,17733
2005,3,6,0,5,3343.409329,4352,1568,15958,54449,999999,9999999,0,0,0,7947,0,9960,20368,16174,9999999,9999999,9999999
2005,1,1,0,4,17198.8568,6454,822,9522,32489,1482,152498,0,0,0,12487,0,0,0,20002,11438,21752,119308
2005,3,6,0,2,22136.3433,3703,1632,10767,36737,450,46305,0,0,5322,4557,9748,0,0,22432,5786,14687,25832
2005,3,5,0,5,33800.18848,4922,1220,2425,8273,791,81393,0,408,0,2512,1852,0,0,3909,5823,11073,64497
2005,1,1,0,2,14399.16864,6729,654,8762,29896,1202,123686,2904,485,0,2205,882,0,0,26809,0,34782,88904
2005,4,9,2,2,24273.85086,1177,656,2924,9977,563,57933,0,291,0,2834,0,0,459,6684,15686,30166,12081
2005,4,8,0,1,33561.30032,1182,3806,2377,8110,999999,9999999,0,0,0,4348,0,0,0,3762,9999999,9999999,9999999
2005,2,3,0,2,30813.52697,5893,1008,6360,21700,662,68120,0,0,0,2733,0,0,0,18967,0,14133,53987
2005,2,3,0,2,28060.19485,7222,731,6817,23260,697,71721,1488,435,2980,3664,2239,0,1709,15648,0,19748,51973
2005,1,1,0,2,12268.984,6843,668,7078,24150,999999,9999999,2228,372,2547,3402,2015,0,0,18733,9999999,9999999,9999999
2005,2,3,0,5,27686.42341,6730,1066,6478,22103,999999,9999999,0,630,0,3448,1940,0,9743,6972,9999999,9999999,9999999
2005,3,7,3,2,41563.91087,1240,3251,8064,27514,272,27989,4272,0,0,3906,11534,0,0,12074,2707,13594,11688
2005,2,3,0,4,24140.91005,7669,682,8594,29323,820,84378,5140,858,0,4936,2216,0,0,22171,0,22757,61621
2005,4,9,0,5,15728.65961,0,4772,3329,11359,106,10907,0,0,0,4288,0,0,0,7071,1812,9095,0
2005,4,9,0,1,21770.72697,4578,1011,11892,40576,999999,9999999,0,0,0,3132,2723,16155,8433,10133,9999999,9999999,9999999
2005,3,5,4,5,40131.30798,143,4485,25224,86063,999999,9999999,3096,0,0,2430,41005,16716,2630,23282,9999999,9999999,9999999
2005,4,9,2,2,22464.60603,2171,1220,9949,33946,505,51965,3578,598,4090,5937,6523,0,1292,20194,0,26462,25503
2005,2,4,0,4,7121.279243,4720,1576,5063,17275,500,51450,0,0,0,4343,6459,0,0,6473,2459,4677,44314
2005,2,4,0,4,26458.04268,4787,1562,8445,28814,439,45173,2286,669,0,3662,9522,0,0,15630,0,10874,34299
2005,1,2,1,2,29556.5138,7543,801,9230,31495,999999,9999999,4136,0,0,3972,2871,8203,0,16449,9999999,9999999,9999999
2005,3,5,0,3,30285.11182,4394,1677,15620,53295,790,81291,0,0,6754,4260,9563,0,12184,27288,22175,59116,0
2005,1,2,1,5,26505.27441,4817,1589,6644,22669,56,5762,0,0,0,2682,5443,0,0,14544,5762,0,0
2005,4,8,0,2,54113.25798,4094,678,10719,36572,999999,9999999,5004,0,0,2242,0,10905,0,23425,9999999,9999999,9999999
2005,1,2,0,2,5102.932719,4450,1658,11557,39433,1612,165924,3713,0,4245,2984,10221,0,1953,24275,0,31393,134531
2005,1,1,0,2,13303.09447,9232,230,9047,30868,999999,9999999,1775,0,3555,6029,0,6776,0,18063,9999999,9999999,9999999
2005,4,8,0,2,21978.58347,6914,208,5742,19592,654,67297,3441,575,4988,1468,0,0,0,18124,4217,20678,42402
2005,1,2,1,2,27168.81569,6842,743,10463,35700,2036,209473,2746,0,6974,4620,2157,0,0,28923,0,48139,161334
2005,1,2,0,5,5232.329293,5382,986,7653,26112,999999,9999999,0,0,0,2662,2910,6819,8260,5461,9999999,9999999,9999999
2005,2,3,0,2,36130.37084,5465,996,24859,84819,788,81085,5626,940,0,9336,15657,14171,3281,42374,0,0,81085
2005,1,1,0,2,19385.64608,6768,668,5443,18572,999999,9999999,4026,672,0,3266,1088,0,0,14218,9999999,9999999,9999999
2005,2,3,0,2,22831.14704,7166,819,18611,63501,999999,9999999,3532,1033,7074,4699,8594,19096,0,31112,9999999,9999999,9999999
2005,3,5,4,5,42988.96743,1176,2688,4037,13774,999999,9999999,0,0,0,1615,2953,3068,2125,4013,9999999,9999999,9999999
2005,3,7,3,2,28531.0725,2021,3009,20724,70711,999999,9999999,3114,0,4514,2526,26688,8312,6586,26599,9999999,9999999,9999999
2005,4,9,0,3,8056.343351,9286,5,5384,18369,1025,105517,0,0,4305,3055,0,0,0,15314,4943,9400,91174
2005,4,9,2,5,24273.85086,893,1180,2432,8298,169,17357,0,0,0,927,2182,0,0,5189,5117,9731,2509
2005,3,7,0,2,29405.32354,3371,2024,19204,65524,999999,9999999,5560,929,8060,9051,23907,0,0,32566,9999999,9999999,9999999
2005,1,2,1,2,37178.37937,5588,1044,10169,34697,1162,119570,0,0,0,11320,0,0,0,23377,15120,28753,75697
2005,3,5,0,2,30510.47678,3076,1955,13650,46574,426,43835,2613,436,0,8590,11371,0,5705,20908,0,43835,0
2005,1,2,0,2,28781.9054,5035,1323,14015,47819,424,43604,3717,0,0,3639,2911,12809,5279,23181,4607,0,38997
2005,4,9,2,2,23881.29201,1849,2437,9311,31769,464,47746,3024,0,0,6150,3153,0,0,22466,5385,22117,20244
2005,4,9,2,2,28691.24448,2624,1503,21132,72102,999999,9999999,3553,0,0,2569,12417,10952,7119,39045,9999999,9999999,9999999
2005,3,5,0,4,4870.532911,4123,1907,4810,16411,477,49083,0,0,0,2972,5946,0,0,7493,4151,7893,37039
2005,2,4,0,2,24239.04164,4323,1650,14545,49628,999999,9999999,2278,667,5785,3031,11285,0,0,35312,9999999,9999999,9999999
2005,1,1,0,2,16624.11746,7054,530,9861,33646,2614,268981,0,739,0,4547,1505,0,0,27594,31167,59901,177913
2005,3,6,0,2,19018.00625,4318,1458,14307,48815,808,83173,4033,674,5846,6512,11356,0,0,30947,0,31271,51902
2005,3,5,0,2,35127.78104,5023,1107,21483,73299,999999,9999999,3436,574,3928,5072,4875,12989,14582,35781,9999999,9999999,9999999
2005,3,6,0,5,17691.82931,2445,2772,18854,64330,999999,9999999,5336,891,0,4547,13471,16470,9263,20579,9999999,9999999,9999999
2005,4,9,2,5,19637.12502,903,1298,5159,17603,999999,9999999,0,784,0,3810,0,0,4202,9591,9999999,9999999,9999999
2005,4,8,0,3,23893.1509,4350,1039,4024,13730,292,30047,2961,495,0,3045,0,0,0,10685,0,9839,20208
2005,3,7,0,2,27419.36487,2567,2337,9594,32736,842,86602,3959,0,0,3529,11223,0,0,17984,0,40656,45946
2005,1,2,1,2,37430.2297,6481,825,10144,34611,999999,9999999,4261,0,0,6603,3511,0,0,24497,9999999,9999999,9999999
2005,4,9,2,2,22696.53218,877,756,3899,13303,254,26137,1445,241,0,647,692,4459,876,6629,15646,0,10491
2005,4,8,0,2,20600.42194,2289,2301,18702,63811,490,50421,0,681,5907,7083,11757,0,0,44971,7985,24198,18238
2005,3,5,0,4,39423.78947,5193,1087,1417,4835,999999,9999999,0,0,0,975,398,1535,565,1362,9999999,9999999,9999999
2005,4,8,0,1,21651.47267,7224,586,12955,44202,999999,9999999,3367,562,4881,3462,2239,14093,0,24408,9999999,9999999,9999999
2005,4,8,0,2,22231.21086,5691,590,6453,22018,644,66261,0,537,3676,2325,1839,0,0,17854,6705,21281,38275
2005,2,3,0,2,23378.83427,7406,751,7638,26062,999999,9999999,0,671,0,4129,4307,0,0,17626,9999999,9999999,9999999
