"SAGDP9N Real GDP by state 1/"
"Real GDP by state: All industry total (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"12000","Florida",560887.8,590134.8,616625.2,642692.9,658640.0,685304.0,715436.1,757054.1,806338.6,834345.9,835867.1,803217.9,758264.1,766199.2,763745.9,769309.1,784090.1,804321.7,836822.5,863772.4,883121.6
"13000","Georgia",328994.5,352712.9,377607.5,393195.1,396875.1,400091.8,410587.6,429313.5,445533.2,450584.1,453061.4,443416.0,426263.8,433027.3,439890.5,444132.2,450771.8,464060.9,479623.9,495357.3,510822.9
"15000","Hawaii",55678.7,54360.3,55182.2,56417.2,56019.3,57911.8,60838.1,64928.3,68565.5,70402.9,71191.7,71689.3,69094.8,71006.5,72080.2,73582.7,74277.5,74504.4,77012.1,78556.2,79468.7
"16000","Idaho",37014.7,38790.6,42496.1,47324.5,46062.2,47208.0,48535.8,51241.4,55387.1,57589.6,58703.1,59703.9,57087.5,57906.7,57796.7,57764.4,59830.6,61366.5,63146.5,65464.5,67016.2
"17000","Illinois",577803.7,595833.3,617314.9,641749.2,644181.3,647867.5,655834.7,673262.4,685896.7,704494.5,712709.8,699429.5,682965.6,694961.1,707059.5,720702.3,724616.4,734217.6,740808.3,742272.1,745292.0
"18000","Indiana",232246.7,246380.0,254488.7,263693.4,258661.2,265106.0,275194.4,284656.3,285491.9,291269.1,299422.9,298263.8,277473.9,295133.2,296472.0,297552.7,303919.5,313056.8,310157.7,315577.9,321137.5
"19000","Iowa",113365.3,114230.2,116662.5,122158.8,120668.6,124096.7,129316.4,139748.6,143876.3,145887.2,152251.2,149131.9,145618.3,149535.6,151247.9,157250.8,156636.6,164720.8,168169.6,168760.4,169233.4
"20000","Kansas",104770.3,108507.8,111200.9,113971.7,113853.3,115552.1,117477.8,117882.5,122257.8,128899.2,135667.2,138657.9,133276.7,134944.6,138562.6,140477.8,140505.6,143154.2,144957.0,148146.6,148480.9
"21000","Kentucky",146958.5,151550.7,156261.0,152118.1,151920.8,155676.4,159179.8,163436.2,168805.2,173336.6,171869.3,172150.8,165014.9,172044.7,174136.0,176302.3,179390.0,179752.5,180583.8,181579.2,184682.9
"22000","Louisiana",201830.1,208683.1,212954.9,206684.8,209045.6,213145.8,221239.9,231601.7,245523.1,243332.4,234620.4,235276.2,238666.1,247350.9,234062.7,233623.1,226615.9,231841.2,231420.3,228464.9,226612.5
"23000","Maine",43034.8,44232.8,46393.1,48523.6,49419.4,50633.0,51728.5,53529.7,53612.5,54270.2,54001.4,53921.0,53063.6,53776.2,53087.8,52874.0,52505.0,53417.6,53633.9,54562.6,55598.8
"24000","Maryland",221183.8,231830.8,240910.0,250982.0,260775.5,270884.7,277950.2,292115.3,305993.3,311680.2,312093.4,315858.9,314862.8,327234.5,334306.6,334821.6,334939.0,338706.8,344499.2,355277.4,363027.9
"25000","Massachusetts",302806.1,314880.2,331704.6,359520.8,362434.1,364797.1,373814.3,383486.9,390792.3,397742.6,407973.8,412600.5,408061.8,424581.3,434723.5,444329.8,444865.8,453478.8,469899.8,477688.3,490174.6
"26000","Michigan",397339.2,406292.8,429356.2,438277.0,423623.6,435250.4,443794.7,444198.2,450745.9,443308.3,441148.5,416701.8,380091.2,400941.4,411465.7,418857.4,424319.9,430501.0,440071.6,448724.9,458813.5
"27000","Minnesota",211942.2,222970.6,230684.1,245982.4,246058.0,252414.3,263868.9,274712.9,282094.0,281970.3,283211.5,285792.2,275453.1,284863.9,290630.4,294296.6,300633.1,308197.3,311077.2,317388.4,322376.4
"28000","Mississippi",83197.1,85332.7,87646.7,88143.0,87200.2,88124.5,91715.1,93651.0,95228.0,97748.3,100204.0,104386.2,99463.0,99983.6,98727.7,99614.6,99622.4,99430.4,99707.6,100089.1,100139.5
"29000","Missouri",228292.6,232074.2,238360.9,246048.8,244407.0,246813.1,251788.1,257258.6,261530.1,263233.2,264382.0,270608.3,265310.1,269735.0,266725.8,268761.5,271902.1,272773.5,275812.4,273112.1,275571.8
"30000","Montana",29169.4,30465.6,30598.1,31375.1,31650.5,32526.8,33842.9,35374.9,37077.1,38431.3,40378.8,40161.5,39337.4,40543.8,41473.1,42005.8,42433.8,43092.3,44653.0,44262.4,44410.7
"31000","Nebraska",70721.8,72310.4,73883.7,76623.4,78258.0,79665.3,84119.5,86081.5,88893.9,91387.2,93387.5,93569.3,94050.0,97856.7,102332.7,102269.0,105038.2,107132.0,109874.8,110434.6,111466.2
"32000","Nevada",90367.6,94946.7,101276.5,105343.7,106656.8,110020.4,115571.0,128884.5,139694.9,145209.4,144404.8,138863.3,127242.4,128827.2,129733.5,128043.0,128272.7,129659.7,135174.7,137638.4,142851.9
"33000","New Hampshire",48425.1,51603.1,53058.4,56719.9,57432.7,59040.7,61610.3,63499.0,64356.4,65945.0,65697.9,65016.8,64449.6,66441.5,66840.1,67689.2,68800.2,69473.8,71189.8,72558.6,74408.0
"34000","New Jersey",426187.4,433778.7,448808.1,473035.0,476507.7,487050.2,499694.9,507585.4,513498.7,524056.2,526814.4,533053.7,511149.6,516589.3,510928.5,519745.8,523334.2,525023.3,533531.2,537887.6,546500.1
"35000","New Mexico",67446.3,67087.2,70715.9,71956.4,72052.6,74274.7,77132.1,82842.9,83825.0,85890.7,86511.1,85976.8,87667.4,87004.1,87166.3,87601.6,86506.0,89151.4,90812.0,90847.7,90969.1
"36000","New York",976939.6,996663.2,1048059.2,1088004.8,1112238.7,1102140.1,1104937.1,1132504.2,1171051.0,1199903.8,1202725.8,1175470.9,1223229.4,1269486.5,1269244.9,1322447.9,1319298.5,1348203.5,1369469.8,1387644.6,1414313.4
"37000","North Carolina",316366.3,326225.4,344425.2,354846.4,361354.5,366035.1,374503.2,388699.7,407491.4,432588.9,436437.2,446920.3,427107.8,433404.3,439088.5,439571.0,445361.4,453629.3,467913.4,473033.6,484308.3
"38000","North Dakota",22410.8,23681.6,23704.9,24598.2,25017.3,26370.3,27993.9,28266.6,29106.8,30261.5,31667.5,34154.6,35043.2,37696.5,41942.3,51345.1,52530.8,56304.5,54604.7,51076.1,50795.4
"39000","Ohio",471885.5,487904.2,499060.3,508991.7,501815.4,514752.0,522648.9,534358.7,543744.7,541179.6,541411.2,537199.7,509215.7,521094.7,538703.3,540819.3,550800.0,570362.2,577165.6,581165.3,590692.0
"40000","Oklahoma",115413.5,117867.2,119724.8,124110.5,128721.1,131078.3,133084.3,137435.8,143072.5,152659.0,155464.7,161361.4,159235.6,159226.5,165153.0,173483.7,177601.6,188064.8,194763.3,189572.1,190917.5
"41000","Oregon",118539.2,124170.8,126883.5,137802.0,136687.5,139698.1,145584.9,152797.8,158462.8,167912.2,171113.5,173955.1,166653.2,169015.8,173883.1,174493.1,175805.1,181992.3,191454.3,200510.0,207712.0
"42000","Pennsylvania",495813.9,508483.9,523565.3,537224.0,544790.8,550247.0,562435.7,578033.8,588054.9,592030.3,612017.6,623821.3,605496.7,622466.7,631371.8,641317.3,651318.9,664793.3,677931.8,685889.3,700782.9
"44000","Rhode Island",40158.5,41788.5,43175.7,45246.1,45917.5,47611.1,49374.3,51583.2,52316.3,53518.2,52087.4,50447.1,50213.6,51467.5,51269.1,51642.0,52084.6,52208.2,53038.8,53106.3,53454.0
"45000","South Carolina",134908.0,140139.3,146525.5,150501.3,151105.2,154698.0,160138.4,162237.9,166573.9,170339.0,175090.1,174584.2,166849.7,170166.5,174127.9,175374.8,178940.4,183282.1,189263.0,194269.8,199329.3
